schema,5
run,id,implementation,workload_version,fixture_version,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,logical_id,configuration,physical_work,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,openblas,5,2,1,ns,12628d1859b25dcfbbd64eb49fc5e905f87bb4d8,true,OpenBLAS 0.3.32 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Haswell MAX_THREADS=128; compiler=15.2.0,1,0,1000000,vendor-calibrated-v1,1000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,dot-v1+4096+uniform,policy-v1,policy,vendor-cblas-v1
sample,1,1,1,2048,901300,440.087890625
case,2,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,gemv-v1+32x21+uniform,policy-v1,policy,vendor-cblas-v1
sample,2,1,1,8192,735171,89.7425537109375
case,3,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,gemm-v1+32x21x48+uniform,policy-v1,policy,vendor-cblas-v1
sample,3,1,1,512,1158098,2261.91015625
case,4,1,trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,trsm-v1+64x16+triangular+side=L+uplo=L+transA=N+diag=N,policy-v1,policy,vendor-cblas-v1
sample,4,1,1,256,823717,3217.64453125
case,5,1,gemm-tile+4x4x32+uniform+packed=4x4-v1,ok,partial,vendor-arithmetic,gemm-add-v1+4x4x32+uniform,vendor-column-major-v1,calls=1;leftDoubles=128;rightDoubles=128;outputDoubles=16;resetDoubles=16;triangleDoubles=0,vendor-cblas-v1
sample,5,1,1,2048,783051,382.34912109375
case,6,1,gemm-tile+8x4x32+uniform+packed=8x4-v1,ok,partial,vendor-arithmetic,gemm-add-v1+8x4x32+uniform,vendor-column-major-v1,calls=1;leftDoubles=256;rightDoubles=128;outputDoubles=32;resetDoubles=32;triangleDoubles=0,vendor-cblas-v1
sample,6,1,1,2048,846079,413.12451171875
case,7,1,spdot+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,spdot-v1+4096+sparse-uniform+density=0.01,policy-v1,policy,unavailable
case,8,1,spgemv+257x129+sparse-uniform+density=0.01+mode=prepared,unsupported,unsupported,prepared,spgemv-v1+257x129+sparse-uniform+density=0.01+mode=prepared,policy-v1,policy,unavailable
case,9,1,spgemv+257x129+sparse-uniform+density=0.01+mode=oneshot,unsupported,unsupported,oneshot,spgemv-v1+257x129+sparse-uniform+density=0.01+mode=oneshot,policy-v1,policy,unavailable
case,10,1,spmm+257x8x129+sparse-uniform+density=0.01+mode=prepared,unsupported,unsupported,prepared,spmm-v1+257x8x129+sparse-uniform+density=0.01+mode=prepared,policy-v1,policy,unavailable
case,11,1,spsymm+129x8+sparse-triangular+density=0.02+mode=oneshot+side=L+uplo=L,unsupported,unsupported,oneshot,spsymm-v1+129x8+sparse-triangular+density=0.02+mode=oneshot+side=L+uplo=L,policy-v1,policy,unavailable
