case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,2995.472816923775,2991.4123599026966,3001.2347137673555
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3301.3420562394813,3294.557113543092,3305.0902336332865
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3292.9829277122312,3290.6046240113133,3309.1562613490046
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1859.7006353030883,1845.292744776202,1866.0644186653735
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,988.8865919468426,983.1666273608081,992.131357150648
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,2634.0449715920204,2618.06883152565,2635.295947777792
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,2626.5384198737775,2623.4930711242214,2635.8481407816225
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,6333.341989331901,6331.455865603644,6336.665770580979
iamax+64+uniform,ok,direct,arithmetic,policy,20,2,47.02937068161921,46.96567355339217,47.24090105011373
iamax+128+uniform,ok,direct,arithmetic,policy,20,2,85.08677377452051,84.93682089583281,85.20168944837692
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,162.32994572116505,162.29031700821068,162.39420011117738
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,317.04585353541427,316.93494612500774,317.1773573554556
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,625.5932265408561,625.3958870501461,625.8552024594753
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,4267.930727334894,4260.022629149918,4271.593368162917
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,66315.3991868667,66166.29920739762,66527.95549651279
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,4565.953292566057,4564.650068430657,4569.110588986724
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,7807.2074907574,7804.667095667096,7815.119435015022
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,7533.774084252532,7529.768484027542,7549.156846473029
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,17.096796425645095,17.00629943171409,17.220819062814243
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,2432.8627129907713,2429.3536696301867,2440.0151190011707
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,11731.712347800009,11709.249941534144,11805.38231477112
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,10295.41370011359,9937.217449597776,10630.232232019547
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,5929.482693112859,5718.641992577791,6357.514294790343
