case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,10,1,1386.9618569791996,1386.1116340699232,1387.8670618763026
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3074.5025109421795,3073.810350917607,3077.2156338785226
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3060.281638020674,3059.25342528595,3061.3161049605483
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1986.1001953725468,1983.6653179018774,1987.7544653040175
nrm2+4096+uniform,ok,direct,arithmetic,policy,10,1,1093.243225101637,1085.4489749331478,1102.7336728482292
asum+4096+uniform,ok,direct,arithmetic,policy,10,1,939.9406074744334,937.779428813799,946.1685187803383
sum+4096+uniform,ok,direct,arithmetic,policy,10,1,543.416785017346,541.4558163486557,545.0393077840416
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,1,16557.288291270168,16554.431443938767,16573.278940835746
iamax+64+uniform,ok,direct,arithmetic,policy,10,1,176.509659,176.16363,177.038143
iamax+128+uniform,ok,direct,arithmetic,policy,10,1,248.79879084288746,247.08210600734665,249.0760731995511
iamax+256+uniform,ok,direct,arithmetic,policy,10,1,286.65673221722153,283.44845498154297,287.34355984675904
iamax+512+uniform,ok,direct,arithmetic,policy,10,1,561.6985233763841,556.1477293666348,563.5991144166932
iamax+1024+uniform,ok,direct,arithmetic,policy,10,1,712.4956379401561,708.9546892587161,714.7573153714231
iamax+4096+uniform,ok,direct,arithmetic,policy,10,1,1656.27419501321,1654.9219864597094,1658.0526254953766
iamax+65536+uniform,ok,direct,arithmetic,policy,10,1,20607.19956794568,20601.24390494805,20637.744264993315
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,5255.888868445262,5254.560362728348,5259.268602970167
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,5252.575913826131,5249.994830617439,5258.310792726128
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,5281.702667791427,5274.795935045078,5289.442795381452
rotmg+1+uniform,ok,direct,arithmetic,policy,10,1,90.1900445,89.092407,90.639513
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,10,1,1423.9512767047638,1423.7500320243669,1425.472167266827
dot4+4096+uniform,ok,composed,arithmetic,policy,10,1,3874.8697317266588,3872.6552871317767,3878.6475696795032
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,7317.295689686689,7314.8725551127845,7326.359558366541
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,3787.7010268338345,3783.530927932528,3798.901930750175
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1821.4523106284364,1818.8035079747353,1822.2574180942427
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,4739.451693582964,4723.459839931399,4747.857438902387
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,21583.193869896044,21482.33511949416,21590.025399206945
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,10,1,4724.360579196217,4720.9417021276595,4726.538226950354
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,20630.02828832529,20612.737858096312,20645.820926173117
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,36327.82153231663,36296.0468409586,36427.99527959332
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,17133.37759586385,17115.017837139163,17151.658250753986
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,14632.180733068899,14624.391141472013,14649.140737476127
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,10,1,29315.6464453584,29292.734136310224,29337.610164512338
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,490353.09336609335,489555.3660933661,491362.29484029487
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,10,1,152654.6564160972,152309.35155656797,152835.84054669703
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,263599.90224570676,262789.1122853368,263823.30911492737
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,258539.3009079118,258239.39559014267,258953.0972762646
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,10,1,1207179.6272727274,1206857.709090909,1207715.7636363637
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,10,1,188559.7429906542,188475.95140186916,188768.10560747664
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,401465.498997996,401156.6993987976,402308.66533066134
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,133442.76637700535,133350.6544117647,133529.75
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,150970.79917106254,150887.15900527505,150999.7731725697
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,105942.32937763713,105892.10812236287,106179.12078059072
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,124100.48854489165,123980.59814241486,124146.20309597523
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,c-tile,10,1,220.69949423156274,220.02691679268472,221.40974102045308
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,c-tile,10,1,216.41423674736455,215.03961454717916,218.70671416560674
