case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,scalar/dot,10,2,3600.939427896728,3593.873000771868,3696.6265502731435
axpy+4096+uniform,ok,direct,reset-and-arithmetic,scalar/axpy,10,2,1316.7433705346502,1310.7750752125573,1326.5656847291946
scal+4096+uniform,ok,direct,reset-and-arithmetic,scalar/scale,10,2,851.5367939675601,849.1250524513315,863.2937815372285
nrm2+4096+uniform,ok,direct,arithmetic,scalar/nrm2,10,2,3581.2053802060914,3576.0209660439305,3603.58573304315
asum+4096+uniform,ok,direct,arithmetic,scalar/asum,10,2,3556.1527479880606,3548.5638179012894,3564.2767052537847
sum+4096+uniform,ok,direct,arithmetic,scalar/sum,10,2,2181.462334562878,2178.303698790989,2217.6790392771322
iamax+64+uniform,ok,direct,arithmetic,scalar/iamax,10,2,25.21007547277814,25.19364129288886,25.397609131907732
iamax+128+uniform,ok,direct,arithmetic,scalar/iamax,10,2,45.46352914189265,45.289225743851155,46.38329268402938
iamax+256+uniform,ok,direct,arithmetic,scalar/iamax,10,2,85.02341782484413,84.84315113406464,85.40887563443226
iamax+512+uniform,ok,direct,arithmetic,scalar/iamax,10,2,164.29599425488016,163.879451346137,165.08442877422183
iamax+1024+uniform,ok,direct,arithmetic,scalar/iamax,10,2,323.87058354186235,323.49675576801684,325.54346833340645
iamax+4096+uniform,ok,direct,arithmetic,scalar/iamax,10,2,1300.5839754137296,1298.1124727668846,1302.5631344971468
iamax+65536+uniform,ok,direct,arithmetic,scalar/iamax,10,2,20790.219569596207,20683.215068210004,21162.273794416244
swap+4096+uniform,ok,direct,reset-and-arithmetic,scalar/swap,10,2,2441.683196653904,2436.1214671401467,2452.8161603546023
rot+4096+uniform,ok,direct,reset-and-arithmetic,scalar/rot,10,2,2739.625749682661,2718.7405355493997,2791.6848155123107
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,oneMKL/cblas_dgemv,10,2,297.46049420034734,293.07077990788457,332.8213798228711
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,oneMKL/cblas_dgemv,10,2,1623.9131464000402,1599.8421124116167,1726.1938692826234
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,oneMKL/cblas_dsymv,10,2,6895.179245391854,6852.141654978962,6976.930047750166
ger+129x31+uniform,ok,direct,reset-and-arithmetic,oneMKL/cblas_dger,10,2,3374.933362071808,3322.7267102382057,3495.8004084339873
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,oneMKL/cblas_dsyr,10,2,12738.626812645769,12698.505265161126,13089.752825873897
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,oneMKL/cblas_dsyr2,10,2,13270.572251351983,13065.494321148824,13317.026335040235
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,oneMKL/cblas_dtrsv,10,2,6436.979802622491,6380.349575124917,6539.142334813268
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,oneMKL/cblas_dtrmv,10,2,6334.2581202153515,6291.248318773176,6436.192689429223
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,oneMKL/cblas_dgemm,10,2,1867.05799723354,1784.0804418650193,2090.632605613245
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,oneMKL/cblas_dgemm,10,2,45265.731268702075,44921.83359497645,45876.16582684379
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,oneMKL/cblas_dgemm,10,2,14877.525827586935,14651.407854322071,15858.826603325415
