case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,scalar/dot,5,1,2621.1819374618394,2564.1275056185614,2627.936708367434
axpy+4096+uniform,ok,direct,reset-and-arithmetic,scalar/axpy,5,1,3597.2272436424796,3585.6589517175817,3638.836194445968
scal+4096+uniform,ok,direct,reset-and-arithmetic,scalar/scale,5,1,2990.9532573021415,2986.115560417822,3008.9116549522682
nrm2+4096+uniform,ok,direct,arithmetic,scalar/nrm2,5,1,2335.270263050926,2316.9690842575924,2372.3705592009755
asum+4096+uniform,ok,direct,arithmetic,scalar/asum,5,1,2312.0770185307742,2307.2299092370235,2344.677720525669
sum+4096+uniform,ok,direct,arithmetic,scalar/sum,5,1,2320.0608369855568,2311.318454617991,2326.007238919019
iamax+64+uniform,ok,direct,arithmetic,scalar/iamax,5,1,68.76873,68.527224,72.331071
iamax+128+uniform,ok,direct,arithmetic,scalar/iamax,5,1,138.978199,138.488808,139.230351
iamax+256+uniform,ok,direct,arithmetic,scalar/iamax,5,1,289.33450680903877,288.64990108247736,293.1408458816042
iamax+512+uniform,ok,direct,arithmetic,scalar/iamax,5,1,574.846221180424,572.421752042228,582.8388659282041
iamax+1024+uniform,ok,direct,arithmetic,scalar/iamax,5,1,1148.6166592156997,1144.5802698396324,1151.7683265128328
iamax+4096+uniform,ok,direct,arithmetic,scalar/iamax,5,1,4585.20342470451,4571.249971422692,4608.405500560115
iamax+65536+uniform,ok,direct,arithmetic,scalar/iamax,5,1,73322.05484460694,73012.64972577697,73691.09067641682
swap+4096+uniform,ok,direct,reset-and-arithmetic,scalar/swap,5,1,4790.3305685198175,4746.994172127778,4856.857712862428
rot+4096+uniform,ok,direct,reset-and-arithmetic,scalar/rot,5,1,5539.538177029337,5514.466866541511,5658.142368797108
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,oneMKL/cblas_dgemv,5,1,346.9967045972768,338.4973596965551,368.4318461493916
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,oneMKL/cblas_dgemv,5,1,611.0649367320741,605.2452228131303,617.1393544837704
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,oneMKL/cblas_dsymv,5,1,1289.8450694265878,1284.0178194908717,1301.4457444073028
ger+129x31+uniform,ok,direct,reset-and-arithmetic,oneMKL/cblas_dger,5,1,1417.1874889593917,1413.3625417776616,1428.6299046798047
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,oneMKL/cblas_dsyr,5,1,4512.501278135957,4508.124284583192,4524.613301662708
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,oneMKL/cblas_dsyr2,5,1,4970.89612228951,4905.2997167415515,4979.329727485837
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,oneMKL/cblas_dtrsv,5,1,1262.5590919095682,1228.8491714618117,1268.8339967927554
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,oneMKL/cblas_dtrmv,5,1,1154.9239838427545,1145.0369407107346,1182.0510610384829
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,oneMKL/cblas_dgemm,5,1,1151.4277006746286,1140.9412191707427,1215.466824521682
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,oneMKL/cblas_dgemm,5,1,28267.84485190409,28249.329901269393,28538.872355430183
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,oneMKL/cblas_dgemm,5,1,8333.268798797544,8326.759425493716,8373.116613085049
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,oneMKL/cblas_dsymm,5,1,19135.54725316942,19064.624279677297,19169.078755282368
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,oneMKL/cblas_dsymm,5,1,25710.774372898886,25638.197957072665,25740.548099301785
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,oneMKL/cblas_dgemmt,5,1,14212.422616471946,14161.31429395644,14272.06101254868
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,oneMKL/cblas_dsyrk,5,1,13996.319410319411,13935.968199368199,14026.243173043173
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,oneMKL/cblas_dsyr2k,5,1,23384.072759022118,23217.652852153667,23672.787660069847
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,oneMKL/cblas_dtrsm,5,1,2237.8776425297074,2236.6375005563223,2240.9980973786105
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,oneMKL/cblas_dtrsm,5,1,3018.732626637163,2996.9676155732313,3048.518255487112
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,oneMKL/cblas_dtrmm,5,1,2103.7992200263507,2095.566903820817,2136.5386139657444
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,oneMKL/cblas_dtrmm,5,1,3169.1563513278397,3155.499391044398,3189.0517533176217
spdot+4096+sparse-uniform+density=0.01,ok,direct,arithmetic,scalar/dotDense,5,1,40.480315,40.385709,40.697934
spdot-raw+64+sparse-uniform+density=0.125,ok,direct,arithmetic,scalar/dotDense,5,1,27.70021,27.604015,27.858996
spdot-raw+4096+sparse-uniform+density=0.0625,ok,direct,arithmetic,scalar/dotDense,5,1,493.32917898389843,488.2864941401252,496.8905352482009
spdot-raw+65536+sparse-uniform+density=0.015625,ok,direct,arithmetic,scalar/dotDense,5,1,1963.440831440703,1961.2146835193048,1992.9224943221093
spdot-raw+262144+sparse-uniform+density=0.03125,ok,direct,arithmetic,scalar/dotDense,5,1,15490.817649325627,15434.983121387284,15571.366628131022
spdot-sparse+4096+sparse-uniform+density=0.01,ok,direct,arithmetic,scalar/dotSparse,5,1,105.524598,105.3691,105.855137
spaxpy+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,scalar/axpy,5,1,655.5130124835208,654.3108217639686,656.1036213603294
spaxpy-raw+64+sparse-uniform+density=0.125,ok,direct,reset-and-arithmetic,scalar/axpy,5,1,33.512538,33.305764,33.815692
spaxpy-raw+4096+sparse-uniform+density=0.0625,ok,direct,reset-and-arithmetic,scalar/axpy,5,1,1143.542977488118,1142.4541537410707,1144.706138828016
