case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,oneMKL/cblas_ddot,10,2,2941.5494349200517,2808.2881539066007,3020.4382766316808
axpy+4096+uniform,ok,direct,reset-and-arithmetic,oneMKL/cblas_daxpy,10,2,4434.069466891119,4372.672296263929,4494.019811976935
scal+4096+uniform,ok,direct,reset-and-arithmetic,oneMKL/cblas_dscal,10,2,2976.114775235177,2913.851346629786,2991.8209894066845
nrm2+4096+uniform,ok,direct,arithmetic,oneMKL/cblas_dnrm2,10,2,2045.98574950179,1993.3910637874415,2075.822204936735
asum+4096+uniform,ok,direct,arithmetic,oneMKL/cblas_dasum,10,2,1172.9231786391183,1152.9971656210573,1267.709917135472
sum+4096+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
iamax+64+uniform,ok,direct,arithmetic,oneMKL/cblas_idamax,10,2,132.05438436159744,126.50594419503325,145.58337634880775
iamax+128+uniform,ok,direct,arithmetic,oneMKL/cblas_idamax,10,2,115.92539324746335,112.61594088732039,123.81558065965969
iamax+256+uniform,ok,direct,arithmetic,oneMKL/cblas_idamax,10,2,135.876210209557,133.27348417313092,147.55988486514775
iamax+512+uniform,ok,direct,arithmetic,oneMKL/cblas_idamax,10,2,179.50372428702667,175.42476187638255,181.6430584423884
iamax+1024+uniform,ok,direct,arithmetic,oneMKL/cblas_idamax,10,2,247.83881564077166,232.4466054372468,256.75193249996477
iamax+4096+uniform,ok,direct,arithmetic,oneMKL/cblas_idamax,10,2,1146.1636165333446,1129.5961325717383,1260.6833229506856
iamax+65536+uniform,ok,direct,arithmetic,oneMKL/cblas_idamax,10,2,24584.147777866587,24513.63058650667,24753.031342546892
swap+4096+uniform,ok,direct,reset-and-arithmetic,oneMKL/cblas_dswap,10,2,6425.87877213341,6309.873063358105,6451.885606597513
rot+4096+uniform,ok,direct,reset-and-arithmetic,oneMKL/cblas_drot,10,2,6637.533876883302,6528.569868639786,6739.103515625
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,oneMKL/cblas_dgemv,10,2,295.6968182333387,290.40607365639687,333.08410810594927
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,oneMKL/cblas_dgemv,10,2,1629.2652126988191,1570.5225294458996,1733.1246733920507
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,oneMKL/cblas_dsymv,10,2,6900.406768441554,6706.053882195449,7003.37119888151
ger+129x31+uniform,ok,direct,reset-and-arithmetic,oneMKL/cblas_dger,10,2,3348.357065587947,3322.2489717394187,3434.435319331333
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,oneMKL/cblas_dsyr,10,2,12763.355027201498,12668.28725155083,13152.885021997505
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,oneMKL/cblas_dsyr2,10,2,13187.307451454217,13150.058360139172,13284.652479448423
