case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,OpenBLAS/cblas_ddot,10,2,2917.7048376948833,2878.001926809979,3080.505757729502
axpy+4096+uniform,ok,direct,reset-and-arithmetic,OpenBLAS/cblas_daxpy,10,2,4676.676607045826,4593.783337922173,4706.68895369347
scal+4096+uniform,ok,direct,reset-and-arithmetic,OpenBLAS/cblas_dscal,10,2,3162.4186771404497,3101.27557653614,3196.75456068949
nrm2+4096+uniform,ok,direct,arithmetic,OpenBLAS/cblas_dnrm2,10,2,2056.426668082527,2007.5952920190805,2109.2755381439824
asum+4096+uniform,ok,direct,arithmetic,OpenBLAS/cblas_dasum,10,2,1131.4286194380722,1047.332087872984,1235.8259211021746
sum+4096+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
iamax+64+uniform,ok,direct,arithmetic,OpenBLAS/cblas_idamax,10,2,84.1298464968352,69.6759313005533,90.446463215845
iamax+128+uniform,ok,direct,arithmetic,OpenBLAS/cblas_idamax,10,2,118.69396629740694,117.39053983509481,127.32058517805092
iamax+256+uniform,ok,direct,arithmetic,OpenBLAS/cblas_idamax,10,2,159.97216043186268,152.96849727483885,183.2589128362044
iamax+512+uniform,ok,direct,arithmetic,OpenBLAS/cblas_idamax,10,2,264.5219924852209,247.35350550313007,294.021216434336
iamax+1024+uniform,ok,direct,arithmetic,OpenBLAS/cblas_idamax,10,2,377.22445474318215,344.99647707687006,389.08978726463954
iamax+4096+uniform,ok,direct,arithmetic,OpenBLAS/cblas_idamax,10,2,1547.5335286256336,1532.3424215301525,1661.4539976594208
iamax+65536+uniform,ok,direct,arithmetic,OpenBLAS/cblas_idamax,10,2,29115.767018989463,28944.50837908119,29353.763161753923
swap+4096+uniform,ok,direct,reset-and-arithmetic,OpenBLAS/cblas_dswap,10,2,6995.648445703303,6920.1086340384345,7074.552091066567
rot+4096+uniform,ok,direct,reset-and-arithmetic,OpenBLAS/cblas_drot,10,2,6691.670958781373,6599.648926698981,6745.161550126369
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,OpenBLAS/cblas_dgemv,10,2,324.3493694010595,282.46268118036335,357.6572830061998
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,OpenBLAS/cblas_dgemv,10,2,1678.4577809961752,1660.55943881993,1791.801978249982
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,OpenBLAS/cblas_dsymv,10,2,7346.607457790662,7219.3991702741705,7371.219988956378
ger+129x31+uniform,ok,direct,reset-and-arithmetic,OpenBLAS/cblas_dger,10,2,3361.2034393303647,3347.1302945207767,3514.821184150493
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,OpenBLAS/cblas_dsyr,10,2,13330.796665786285,12988.472027518172,13557.852130325815
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,OpenBLAS/cblas_dsyr2,10,2,14502.868078913692,14433.171554146553,14660.021072656764
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,OpenBLAS/cblas_dtrsv,10,2,7446.2692428974005,7377.150436287324,7482.178746308825
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,OpenBLAS/cblas_dtrmv,10,2,7212.594712235015,7120.815781983777,7267.920018861765
