case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,OpenBLAS/cblas_ddot,5,1,720.2790325118361,716.8407127429806,722.2065209617667
axpy+4096+uniform,ok,direct,reset-and-arithmetic,OpenBLAS/cblas_daxpy,5,1,1576.7117920062803,1555.7434405473844,1582.5092782870381
scal+4096+uniform,ok,direct,reset-and-arithmetic,OpenBLAS/cblas_dscal,5,1,1220.6630897663254,1214.2400926495602,1227.4518656581376
nrm2+4096+uniform,ok,direct,arithmetic,OpenBLAS/cblas_dnrm2,5,1,1192.426227647909,1191.5656497485577,1205.7668753060907
asum+4096+uniform,ok,direct,arithmetic,OpenBLAS/cblas_dasum,5,1,226.95793128897486,224.26553029112495,227.91071268510336
sum+4096+uniform,unsupported,unsupported,arithmetic,sum has no vendor entry point in the bound CBLAS surface,0,0,,,
iamax+64+uniform,ok,direct,arithmetic,OpenBLAS/cblas_idamax,5,1,39.750991,39.574594,40.02957
iamax+128+uniform,ok,direct,arithmetic,OpenBLAS/cblas_idamax,5,1,61.278898,61.166825,61.436797
iamax+256+uniform,ok,direct,arithmetic,OpenBLAS/cblas_idamax,5,1,80.321741,80.113135,81.433505
iamax+512+uniform,ok,direct,arithmetic,OpenBLAS/cblas_idamax,5,1,165.984347,164.793966,166.990465
iamax+1024+uniform,ok,direct,arithmetic,OpenBLAS/cblas_idamax,5,1,236.7235523658951,236.11675933656642,239.80036120536005
iamax+4096+uniform,ok,direct,arithmetic,OpenBLAS/cblas_idamax,5,1,669.3224663996855,668.010948005304,678.6057318771532
iamax+65536+uniform,ok,direct,arithmetic,OpenBLAS/cblas_idamax,5,1,9324.017482517482,9298.7524009324,9335.18
swap+4096+uniform,ok,direct,reset-and-arithmetic,OpenBLAS/cblas_dswap,5,1,3201.4626339627457,3189.9462394743555,3234.904535595815
