run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,accelerate,1,ns,c344bccbeda7f52d0e683eada1c06daee7c3d22a,true,Accelerate.framework; compiler=Apple LLVM 21.0.0 (clang-2100.1.1.101),1,5,200000000,vendor-calibrated,50000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,vendor-accelerate,10,1,147.61599999999999,146.80799999999999,148.64699999999999
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,1243.2937622070312,1234.5962524414062,1244.4381713867188
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,1242.9695129394531,1236.6409301757812,1243.560791015625
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,1202.239990234375,901.3824462890625,1205.13916015625
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,vendor-accelerate,10,1,908.18405151367188,901.397705078125,914.5050048828125
case,6,1,asum+4096+uniform,ok,direct,arithmetic,vendor-accelerate,10,1,204.22744750976562,203.80973815917969,205.68656921386719
case,7,1,sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,8,1,compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,9,1,iamax+4096+uniform,ok,direct,arithmetic,vendor-accelerate,10,1,592.44728088378906,589.10751342773438,596.5728759765625
case,10,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,1417.8047180175781,1412.6739501953125,1424.13330078125
case,11,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,1444.7822570800781,1309.7915649414062,1455.078125
case,12,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,1456.787109375,1447.1435546875,1459.869384765625
case,13,1,rotmg+1+uniform,ok,direct,arithmetic,vendor-accelerate,10,1,22.336500000000001,22.309999999999999,22.356000000000002
case,14,1,ssqd+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,15,1,dot4+4096+uniform,ok,composed,arithmetic,vendor-accelerate,10,1,588.45901489257812,585.01434326171875,591.85028076171875
case,16,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,vendor-accelerate,10,1,1819.3359375,1816.986083984375,1826.35498046875
case,17,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,vendor-accelerate,10,1,1409.4772338867188,1362.2665405273438,1411.1328125
case,18,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,63.794499999999999,63.348999999999997,64.841999999999999
case,19,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,734.405517578125,720.69168090820312,746.75750732421875
case,20,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,3717.7886962890625,3640.594482421875,3960.174560546875
case,21,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,636.24382019042969,633.41903686523438,642.25006103515625
case,22,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,4011.23046875,3894.256591796875,4143.402099609375
case,23,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,3844.9859619140625,3781.6162109375,3978.851318359375
case,24,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,820.59860229492188,813.42315673828125,827.972412109375
case,25,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,1976.165771484375,1970.0927734375,1983.1390380859375
case,26,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,902.05001831054688,847.99957275390625,996.734619140625
case,27,1,gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,12230.89599609375,12176.513671875,12356.689453125
case,28,1,gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,7782.073974609375,7679.8095703125,7950.3173828125
case,29,1,symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,24609.375,24511.962890625,24707.275390625
case,30,1,symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,45057.9833984375,44912.841796875,45858.642578125
case,31,1,gemmt+129x31+uniform+uplo=L+transA=N+transB=N,unsupported,unsupported,reset-and-arithmetic,unavailable,0,0,,,
case,32,1,syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,10596.98486328125,10316.162109375,10736.572265625
case,33,1,syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,18342.6513671875,17724.365234375,18363.28125
case,34,1,trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,3048.980712890625,3019.0887451171875,3060.0128173828125
case,35,1,trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,2948.974609375,2942.56591796875,2965.8050537109375
case,36,1,trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,2136.993408203125,2113.2965087890625,2198.6846923828125
case,37,1,trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,3063.65966796875,3024.139404296875,3136.810302734375
case,38,1,gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-accelerate,10,1,77.989000000000004,77.617000000000004,79.486000000000004
case,39,1,gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-accelerate,10,1,83.611500000000007,82.805000000000007,84.332999999999998
case,40,1,packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-accelerate,10,1,67.603999999999999,66.709000000000003,70.817999999999998
case,41,1,packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-accelerate,10,1,87.522999999999996,84.558999999999997,93.004000000000005
case,42,1,gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-accelerate,10,1,111.64449999999999,109.31999999999999,115.34399999999999
case,43,1,gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-accelerate,10,1,113.79000000000001,110.179,118.86499999999999
case,44,1,gemm-tile+8x4x32+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-accelerate,10,1,117.16249999999999,116.527,118.30200000000001
case,45,1,gemm-tile+7x2x31+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-accelerate,10,1,104.30799999999999,103.57899999999999,106.071
case,46,1,packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-accelerate,10,1,70.829499999999996,70.198999999999998,72.701999999999998
case,47,1,packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-accelerate,10,1,64.6875,63.929000000000002,64.914000000000001
case,48,1,gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-accelerate,10,1,148.52799999999999,147.601,150.65799999999999
case,49,1,gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-accelerate,10,1,137.33800000000002,135.84700000000001,141.36600000000001
case,50,1,pack-left+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,51,1,pack-left+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,52,1,pack-right+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,53,1,pack-right+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,54,1,pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,unsupported,unsupported,layout,unavailable,0,0,,,
case,55,1,pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,unsupported,unsupported,layout,unavailable,0,0,,,
case,56,1,pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,unsupported,unsupported,layout,unavailable,0,0,,,
case,57,1,pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,unsupported,unsupported,layout,unavailable,0,0,,,
case,58,1,write-left+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,59,1,write-left+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,60,1,write-right+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,61,1,write-right+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,62,1,clear-left-padding+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,63,1,clear-left-padding+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,64,1,clear-right-padding+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,65,1,clear-right-padding+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,66,1,pack-left+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,67,1,pack-left+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,68,1,pack-right+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,69,1,pack-right+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,70,1,pack-symmetric-left+8x8+uniform+packed=8x4+uplo=L,unsupported,unsupported,layout,unavailable,0,0,,,
case,71,1,pack-symmetric-right+4x4+uniform+packed=8x4+uplo=U,unsupported,unsupported,layout,unavailable,0,0,,,
case,72,1,pack-triangular-left+8x8+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,layout,unavailable,0,0,,,
case,73,1,pack-triangular-right+4x4+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,layout,unavailable,0,0,,,
case,74,1,write-left+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,75,1,write-left+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,76,1,write-right+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,77,1,write-right+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,78,1,clear-left-padding+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,79,1,clear-left-padding+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,80,1,clear-right-padding+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,81,1,clear-right-padding+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,82,1,spdot+4096+sparse-uniform+density=0.01,ok,direct,arithmetic,vendor-accelerate,10,1,21.338000000000001,20.991,21.518999999999998
case,83,1,spdot-raw+64+sparse-uniform+density=0.125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,84,1,spdot-raw+4096+sparse-uniform+density=0.0625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,85,1,spdot-raw+65536+sparse-uniform+density=0.015625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,86,1,spdot-raw+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,87,1,spdot-sparse+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,88,1,spaxpy+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,585.61134338378906,471.62246704101562,755.54656982421875
case,89,1,spaxpy-raw+64+sparse-uniform+density=0.125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,90,1,spaxpy-raw+4096+sparse-uniform+density=0.0625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,91,1,spaxpy-raw+65536+sparse-uniform+density=0.015625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,92,1,spaxpy-raw+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,93,1,spnrm2+4096+sparse-uniform+density=0.01,ok,direct,arithmetic,vendor-accelerate,10,1,14.858000000000001,14.846,15.052
case,94,1,spnrm2-indexed+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,95,1,spnrm2-indexed+4096+sparse-uniform+density=0.5,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,96,1,spnrm2-indexed+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,97,1,spasum+4096+sparse-uniform+density=0.01,ok,direct,arithmetic,vendor-accelerate,10,1,12.7685,12.756,12.794
case,98,1,spscatter+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,99,1,spscatter-raw+64+sparse-uniform+density=0.125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,100,1,spscatter-raw+4096+sparse-uniform+density=0.0625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,101,1,spscatter-raw+65536+sparse-uniform+density=0.015625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,102,1,spscatter-raw+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,103,1,spgather+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,104,1,spgather-zero+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,105,1,spgemv+257x129+sparse-uniform+density=0.01+mode=prepared,ok,direct,prepared,vendor-accelerate,10,1,1131.8130493164062,1119.7052001953125,1133.2550048828125
case,106,1,spgemv+257x129+sparse-uniform+density=0.01+mode=oneshot,ok,direct,oneshot,vendor-accelerate,10,1,14495.42236328125,14182.0068359375,14692.138671875
case,107,1,spmm+257x8x129+sparse-uniform+density=0.01+mode=prepared,ok,direct,prepared,vendor-accelerate,10,1,5017.486572265625,4991.119384765625,5084.8388671875
case,108,1,spmm+257x8x129+sparse-uniform+density=0.01+mode=oneshot,ok,direct,oneshot,vendor-accelerate,10,1,18659.97314453125,18344.23828125,19187.3779296875
case,109,1,spgemm+129x97x65+sparse-uniform+density=0.01+mode=prepared,unsupported,unsupported,prepared,unavailable,0,0,,,
case,110,1,spgemm+129x97x65+sparse-uniform+density=0.01+mode=oneshot,unsupported,unsupported,oneshot,unavailable,0,0,,,
case,111,1,spsymv+129+sparse-triangular+density=0.02+mode=oneshot+uplo=L,unsupported,unsupported,oneshot,unavailable,0,0,,,
case,112,1,spsymm+129x8+sparse-triangular+density=0.02+mode=oneshot+side=L+uplo=L,unsupported,unsupported,oneshot,unavailable,0,0,,,
case,113,1,sptrsv+129+sparse-triangular+density=0.02+mode=oneshot+uplo=L+transA=N+diag=N,unsupported,unsupported,oneshot,unavailable,0,0,,,
case,114,1,sptrmv+129+sparse-triangular+density=0.02+mode=oneshot+uplo=U+transA=T+diag=U,unsupported,unsupported,oneshot,unavailable,0,0,,,
case,115,1,sptrsm+129x8+sparse-triangular+density=0.02+mode=oneshot+side=L+uplo=L+transA=N+diag=N,unsupported,unsupported,oneshot,unavailable,0,0,,,
case,116,1,sptrmm+129x8+sparse-triangular+density=0.02+mode=oneshot+side=L+uplo=U+transA=T+diag=U,unsupported,unsupported,oneshot,unavailable,0,0,,,
case,117,1,spsyrk-dense+129x65+sparse-uniform+density=0.02+uplo=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,118,1,spsyrk-sparse+129x65+sparse-uniform+density=0.02+uplo=L,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,119,1,spadd+129x65+sparse-uniform+density=0.02,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,120,1,sparse-slices-scatter+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
case,121,1,sparse-slices-scatter-checked+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
case,122,1,sparse-slices-gather+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
case,123,1,sparse-slices-gather-clear+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
case,124,1,sparse-slices-clear+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
case,125,1,sparse-slices-clear-local+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
case,126,1,sparse-slices-reduce-dot-checked+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
