candidate,logical_id,base_case,candidate_case,base_configuration,candidate_configuration,base_kernel,candidate_kernel,base_median_ns,candidate_median_ns,candidate_min_ns,candidate_max_ns,base_over_candidate
./jvm-scalar.csv,dot+4096+uniform,dot+4096+uniform,dot+4096+uniform,policy,policy,vendor-cblas,policy,605.21316528320312,2145.6726125921386,2143.2421607942774,2152.2048225669246,0.28206221290770861
./jvm-scalar.csv,axpy+4096+uniform,axpy+4096+uniform,axpy+4096+uniform,policy,policy,vendor-cblas,policy,715.67726135253906,767.75125214084539,763.50454105132667,773.4740379303995,0.93217335609274488
./jvm-scalar.csv,axpy-arithmetic+4096+uniform,axpy-arithmetic+4096+uniform,axpy-arithmetic+4096+uniform,policy,policy,vendor-cblas,policy,721.06361389160156,768.95653403426172,765.3211256212561,774.29825410235696,0.93771699956641996
./jvm-scalar.csv,scal+4096+uniform,scal+4096+uniform,scal+4096+uniform,policy,policy,vendor-cblas,policy,565.08636474609375,687.18328756755056,682.98993373693759,713.78939318783068,0.82232262479250906
./jvm-scalar.csv,nrm2+4096+uniform,nrm2+4096+uniform,nrm2+4096+uniform,policy,policy,vendor-cblas,policy,3688.0340576171875,2068.8368325309075,2065.0593206951025,2075.1438136448578,1.7826606717483071
./jvm-scalar.csv,asum+4096+uniform,asum+4096+uniform,asum+4096+uniform,policy,policy,vendor-cblas,policy,260.25485992431641,2065.9262572897587,2063.3373364702175,2070.9167307502712,0.12597490302763217
./jvm-scalar.csv,sum+4096+uniform,sum+4096+uniform,sum+4096+uniform,policy,policy,vendor-cblas,policy,222.503662109375,1933.9862805688085,1931.2651582094043,1938.2095317185697,0.11504924535655651
./jvm-scalar.csv,iamax+4096+uniform,iamax+4096+uniform,iamax+4096+uniform,policy,policy,vendor-cblas,policy,292.19436645507812,646.2358348416783,638.9775308927409,650.0931119695598,0.45214819528951533
./jvm-scalar.csv,swap+4096+uniform,swap+4096+uniform,swap+4096+uniform,policy,policy,vendor-cblas,policy,1433.3839416503906,1497.6762355399915,1485.0258482335391,1753.4383948174677,0.95707196764965685
./jvm-scalar.csv,rot+4096+uniform,rot+4096+uniform,rot+4096+uniform,policy,policy,vendor-cblas,policy,1293.7126159667969,1867.4831550190079,1854.9454294388925,1882.6578752461296,0.69275731483298386
./jvm-scalar.csv,rotm+4096+uniform,rotm+4096+uniform,rotm+4096+uniform,policy,policy,vendor-cblas,policy,1939.4378662109375,1796.5557288868763,1784.109110554067,1808.3007550081049,1.0795311467530091
./jvm-scalar.csv,rotmg+1+uniform,rotmg+1+uniform,rotmg+1+uniform,policy,policy,vendor-cblas,policy,24.330500000000001,4.3368591223104751,4.3163948228685172,4.3537353295783401,5.6101660934371909
./jvm-scalar.csv,dot4+4096+uniform,dot4+4096+uniform,dot4+4096+uniform,policy,policy,vendor-cblas,policy,2066.1239624023438,2883.9753706869037,2872.7245483942907,3056.0014068740165,0.71641525909086923
./jvm-scalar.csv,axpy4+4096+uniform,axpy4+4096+uniform,axpy4+4096+uniform,policy,policy,vendor-cblas,policy,2461.7996215820312,3160.5012445966677,3138.2779554147742,3186.2893368815176,0.77892695843446746
./jvm-scalar.csv,dot-axpy+4096+uniform,dot-axpy+4096+uniform,dot-axpy+4096+uniform,policy,policy,vendor-cblas,policy,1301.7387390136719,2826.8205102560864,2803.9035070153659,2853.5538632936159,0.46049571746447571
./jvm-scalar.csv,gemv+32x21+uniform,gemv+32x21+uniform,gemv+32x21+uniform,policy,policy,vendor-cblas,policy,131.15300000000002,109.34497355736022,109.04081828999404,109.68416575233657,1.1994424227575466
./jvm-scalar.csv,gemv+129x31+uniform+transA=T,gemv+129x31+uniform+transA=T,gemv+129x31+uniform+transA=T,policy,policy,vendor-cblas,policy,606.44149780273438,584.44901247243718,583.34529793016929,586.74098475626272,1.0376294336391481
./jvm-scalar.csv,symv+129+uniform+uplo=U,symv+129+uniform+uplo=U,symv+129+uniform+uplo=U,policy,policy,vendor-cblas,policy,1150.054931640625,3005.518552209563,2992.2578016843563,3043.5069844950008,0.38264775667251849
./jvm-scalar.csv,ger+129x31+uniform,ger+129x31+uniform,ger+129x31+uniform,policy,policy,vendor-cblas,policy,693.81523132324219,1142.0276090987124,1137.4847154290796,1146.3243677304069,0.60752929771181341
./jvm-scalar.csv,syr+129+uniform+uplo=L,syr+129+uniform+uplo=L,syr+129+uniform+uplo=L,policy,policy,vendor-cblas,policy,3827.9571533203125,4535.0921434175843,4456.8189051559521,4656.2936442838454,0.84407483514449955
./jvm-scalar.csv,syr2+129+uniform+uplo=U,syr2+129+uniform+uplo=U,syr2+129+uniform+uplo=U,policy,policy,vendor-cblas,policy,5025.9246826171875,5733.4549307499292,5631.314798927614,5821.7984599647671,0.87659617862554684
./jvm-scalar.csv,trsv+129+triangular+diag=N+transA=N+uplo=L,trsv+129+triangular+uplo=L+transA=N+diag=N,trsv+129+triangular+uplo=L+transA=N+diag=N,policy,policy,vendor-cblas,policy,1853.6834716796875,2012.9656020128778,1996.193023501098,2030.8626356558075,0.92087190651747097
./jvm-scalar.csv,trmv+129+triangular+diag=U+transA=T+uplo=U,trmv+129+triangular+uplo=U+transA=T+diag=U,trmv+129+triangular+uplo=U+transA=T+diag=U,policy,policy,vendor-cblas,policy,1923.5076904296875,2045.091870070828,2036.6654028160274,2057.7352059411373,0.94054830424956426
./jvm-scalar.csv,gemm+32x21x48+uniform,gemm+32x21x48+uniform,gemm+32x21x48+uniform,policy,policy,vendor-cblas,policy,1519.4435119628906,6604.3998780203692,6557.2653137683419,7226.5903501458943,0.23006534129158984
./jvm-scalar.csv,gemm+129x31x257+uniform+transA=T,gemm+129x31x257+uniform+transA=T,gemm+129x31x257+uniform+transA=T,policy,policy,vendor-cblas,policy,49166.50390625,167548.41260399154,166269.02056962025,168554.4686985173,0.29344655160927913
./jvm-scalar.csv,gemm+65x127x33+uniform+transB=T,gemm+65x127x33+uniform+transB=T,gemm+65x127x33+uniform+transB=T,policy,policy,vendor-cblas,policy,13322.509765625,42468.345782906952,42226.777433993397,43081.089542892922,0.31370446670393187
./jvm-scalar.csv,symm+129x31+uniform+side=L+uplo=L,symm+129x31+uniform+side=L+uplo=L,symm+129x31+uniform+side=L+uplo=L,policy,policy,vendor-cblas,policy,25340.9423828125,84641.647011384892,84316.713483146072,85221.978358513676,0.2993909414286795
./jvm-scalar.csv,symm+31x129+uniform+side=R+uplo=U,symm+31x129+uniform+side=R+uplo=U,symm+31x129+uniform+side=R+uplo=U,policy,policy,vendor-cblas,policy,29506.9580078125,84064.818295561243,83597.377902321852,84768.931743421053,0.3510024598408073
./jvm-scalar.csv,gemmt+129x31+uniform+transA=N+transB=N+uplo=L,gemmt+129x31+uniform+uplo=L+transA=N+transB=N,gemmt+129x31+uniform+uplo=L+transA=N+transB=N,policy,policy,vendor-cblas,policy,36325.8056640625,60663.447342732637,60549.888533178113,60772.599074341917,0.5988087926957264
./jvm-scalar.csv,syrk+129x31+uniform+transA=N+uplo=L,syrk+129x31+uniform+uplo=L+transA=N,syrk+129x31+uniform+uplo=L+transA=N,policy,policy,vendor-cblas,policy,15103.94287109375,46624.57426286125,46366.662761314037,46822.563832174106,0.32394811341204627
./jvm-scalar.csv,syr2k+129x31+uniform+transA=T+uplo=U,syr2k+129x31+uniform+uplo=U+transA=T,syr2k+129x31+uniform+uplo=U+transA=T,policy,policy,vendor-cblas,policy,24511.474609375,96064.708454413892,95758.553646075248,96843.552789303823,0.2551558736162361
./jvm-scalar.csv,trsm+64x16+triangular+diag=N+side=L+transA=N+uplo=L,trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,policy,policy,vendor-cblas,policy,3520.9503173828125,9978.9567564897661,9873.2724580454105,10030.202141434263,0.35283751631581922
./jvm-scalar.csv,trsm+17x64+triangular+diag=U+side=R+transA=T+uplo=U,trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,policy,policy,vendor-cblas,policy,3062.1337890625,9499.7614226589139,9483.1782924737017,9591.1381341613778,0.32233796753660271
./jvm-scalar.csv,trmm+64x16+triangular+diag=N+side=L+transA=T+uplo=U,trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,policy,policy,vendor-cblas,policy,1997.4441528320312,7928.905003521746,7907.7952560240965,7958.2449134240142,0.25191929427138243
./jvm-scalar.csv,trmm+17x64+triangular+diag=U+side=R+transA=N+uplo=L,trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,policy,policy,vendor-cblas,policy,2799.0875244140625,9938.1207781048688,9852.4948498059694,11155.672951298529,0.28165159056839612
./jvm-scalar.csv,gemm+257x3x1+uniform,gemm+257x3x1+uniform,gemm+257x3x1+uniform,policy,policy,vendor-cblas,policy,296.45252227783203,1552.1956454909921,1547.6780366669614,1555.7942457554298,0.19098914697963726
./jvm-scalar.csv,gemm+3x257x33+uniform,gemm+3x257x33+uniform,gemm+3x257x33+uniform,policy,policy,vendor-cblas,policy,3071.71630859375,10808.353330138289,10761.889782742364,10839.943744838976,0.28419836165315743
./jvm-scalar.csv,gemm+127x5x65+uniform,gemm+127x5x65+uniform,gemm+127x5x65+uniform,policy,policy,vendor-cblas,policy,2964.5156860351562,13923.671285646977,13854.636675461741,14120.042350094111,0.21291192712162677
./jvm-scalar.csv,trsm+65x1+triangular+diag=N+side=L+transA=N+uplo=L,trsm+65x1+triangular+side=L+uplo=L+transA=N+diag=N,trsm+65x1+triangular+side=L+uplo=L+transA=N+diag=N,policy,policy,vendor-cblas,policy,712.85438537597656,776.40069735596649,770.41892077900332,783.72848954323092,0.91815268559598551
./jvm-scalar.csv,trsm+65x33+triangular+diag=U+side=L+transA=T+uplo=U,trsm+65x33+triangular+side=L+uplo=U+transA=T+diag=U,trsm+65x33+triangular+side=L+uplo=U+transA=T+diag=U,policy,policy,vendor-cblas,policy,7963.287353515625,27976.598467191787,27864.531186578271,28106.143182122309,0.28464101391218766
./jvm-scalar.csv,gemm-add+15x7x31+uniform,gemm-block+15x7x31+uniform+packed=4x4+timing=prepacked-compute,gemm-block+15x7x31+uniform+packed=4x4+timing=prepacked-compute,column-major,packed=4x4,vendor-cblas,portable-tile,311.17534637451172,720.32846162597491,709.67663514123467,732.45954127128607,0.43199090824775316
./jvm-scalar.csv,gemm-add+32x16x65+uniform,gemm-block+32x16x65+uniform+packed=4x4+timing=prepacked-compute,gemm-block+32x16x65+uniform+packed=4x4+timing=prepacked-compute,column-major,packed=4x4,vendor-cblas,portable-tile,1484.5161437988281,4911.1570059515634,4874.3270368737385,4958.6028460543339,0.30227421807118443
./jvm-scalar.csv,gemm-add+64x64x31+uniform,gemm-block+64x64x31+uniform+packed=4x4+timing=prepacked-compute,gemm-block+64x64x31+uniform+packed=4x4+timing=prepacked-compute,column-major,packed=4x4,vendor-cblas,portable-tile,5203.155517578125,22522.851153067306,22418.352365415987,22707.801477997986,0.23101673416997767
./jvm-scalar.csv,gemm-add+64x64x32+uniform,gemm-block+64x64x32+uniform+packed=4x4+timing=prepacked-compute,gemm-block+64x64x32+uniform+packed=4x4+timing=prepacked-compute,column-major,packed=4x4,vendor-cblas,portable-tile,5436.798095703125,23193.109452235192,23028.280574750464,23356.167167977786,0.23441436806478588
