elapsed_s,cpu_percent
1.006,11.13
2.016,10.05
3.024,10.04
4.027,30.96
5.034,23.63
6.044,13.60
7.055,13.47
8.058,15.75
9.066,13.73
10.076,14.09
11.084,15.39
12.094,13.88
13.105,14.14
14.110,14.64
15.117,17.05
16.124,13.47
17.134,13.83
18.144,15.46
19.153,13.52
20.160,13.63
21.169,15.41
22.177,13.80
23.184,13.52
24.194,16.17
25.203,14.09
26.213,13.51
27.217,14.97
28.220,14.26
29.230,18.79
30.234,13.63
31.245,15.29
32.251,13.55
33.261,13.78
34.269,15.16
35.280,13.69
36.284,13.86
37.294,15.56
38.301,13.10
39.310,14.07
40.317,15.25
41.323,16.33
42.329,13.89
43.339,13.56
44.341,15.15
45.351,14.07
46.358,13.35
47.367,15.35
48.378,13.49
49.387,13.51
50.398,15.33
51.399,13.25
52.409,13.66
53.420,15.15
54.430,14.68
55.434,13.56
56.445,13.80
57.451,14.96
58.454,13.66
59.465,13.56
60.475,15.09
61.477,13.73
62.488,13.62
63.489,15.25
64.492,13.86
65.502,13.70
66.512,15.06
67.516,13.76
68.517,14.11
69.528,18.42
70.538,13.79
71.547,14.10
72.551,13.83
73.558,15.38
74.567,13.63
75.574,13.48
76.584,15.87
77.591,13.90
78.599,13.83
79.608,15.38
80.616,13.43
81.626,13.69
82.634,15.21
83.636,15.63
84.645,14.48
85.651,14.47
86.660,16.29
87.668,14.21
88.674,13.91
89.685,16.01
90.691,13.27
91.701,13.64
92.711,15.11
93.719,13.33
94.724,13.76
95.734,15.16
96.744,13.89
97.753,15.94
98.763,14.83
99.764,14.64
100.772,14.30
101.782,13.75
102.791,15.31
103.801,14.91
104.812,14.24
105.818,15.42
106.824,13.63
107.834,13.88
108.844,14.64
109.849,13.09
110.851,13.01
111.861,14.36
112.866,13.17
113.874,13.89
114.884,13.39
115.895,14.88
116.901,12.92
117.911,13.17
118.921,14.87
119.931,13.12
120.934,12.96
121.944,14.88
122.951,13.29
123.961,12.91
124.967,14.79
125.976,12.91
126.986,13.08
127.989,13.42
128.999,14.98
130.009,13.51
131.017,16.80
132.028,18.31
133.034,13.51
134.042,14.81
135.053,16.45
136.062,15.36
137.067,13.15
138.078,14.34
139.088,13.51
140.098,13.02
141.101,16.45
142.111,17.91
143.114,23.03
144.124,18.53
145.134,15.00
146.144,13.47
147.151,12.84
148.160,16.45
149.167,13.26
150.177,13.54
151.188,15.76
152.198,14.43
153.208,13.17
154.218,14.94
155.229,13.31
156.234,12.84
157.239,14.16
158.249,14.93
159.259,13.00
160.269,13.10
161.277,15.08
162.284,13.53
163.294,13.43
164.301,15.15
165.311,13.12
166.319,12.98
167.329,15.31
168.331,13.49
169.341,12.98
170.351,14.09
171.361,15.08
172.371,14.36
173.382,15.71
174.388,17.46
175.391,13.61
176.401,14.74
177.411,16.58
178.419,13.27
179.424,12.90
180.434,15.41
