run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-c/c/c-sparse/packed-4x4,1,ns,c344bccbeda7f52d0e683eada1c06daee7c3d22a,true,kotlin-2.4.10/jvm/Homebrew/25.0.4.1/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy
sample,1,1,1,565383,210093709,371.5953769391722
sample,1,1,2,550078,206075417,374.6294470965936
sample,1,1,3,563503,210022875,372.7094176960903
sample,1,1,4,566494,210021750,370.7395841791793
sample,1,1,5,553161,205608542,371.6974660180309
sample,1,1,6,565042,210024459,371.69707561561796
sample,1,1,7,546791,203184208,371.59391431095247
sample,1,1,8,565544,210018250,371.35616326934775
sample,1,1,9,559836,209879792,374.89513357483264
sample,1,1,10,559690,210019583,375.2426932766353
sample,1,2,11,559230,208515542,372.86186721027127
sample,1,2,12,569921,210029875,368.52454112061145
sample,1,2,13,565514,209449042,370.36933126324016
sample,1,2,14,560699,209926541,374.4014899259674
sample,1,2,15,564219,210023041,372.2367396347872
sample,1,2,16,567538,210030250,370.0725766380401
sample,1,2,17,566274,209410042,369.8033849337953
sample,1,2,18,544935,202261833,371.16689696936334
sample,1,2,19,567499,210029125,370.0960266009279
sample,1,2,20,550709,205705042,373.52765616686855
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,2,1,1,269148,210080542,780.5391160253838
sample,2,1,2,261938,204815875,781.9250166069834
sample,2,1,3,260866,203860792,781.4770495196768
sample,2,1,4,258596,202513417,783.1266415567139
sample,2,1,5,267760,209853875,783.7387025694652
sample,2,1,6,269058,210022542,780.5846397431037
sample,2,1,7,268554,210036083,782.0999985105417
sample,2,1,8,268399,210021000,782.4954638430098
sample,2,1,9,268088,210020958,783.4030542210021
sample,2,1,10,260086,203812666,783.6356666641034
sample,2,2,11,268493,210024917,782.2360992651578
sample,2,2,12,266437,208147209,781.2248636638304
sample,2,2,13,268482,209913208,781.8520720197257
sample,2,2,14,269609,210021625,778.9859574420735
sample,2,2,15,268976,210023209,780.8250884837308
