run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,jvm-scalar/scalar/scalar/packed-4x4,1,ns,c344bccbeda7f52d0e683eada1c06daee7c3d22a,true,kotlin-2.4.10/jvm/Homebrew/25.0.4.1/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
run,2,jvm-scalar/scalar/scalar/packed-4x4,1,ns,c344bccbeda7f52d0e683eada1c06daee7c3d22a,true,kotlin-2.4.10/jvm/Homebrew/25.0.4.1,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,20,2,2145.6726125921386,2143.2421607942774,2152.2048225669246
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,767.75125214084539,763.50454105132667,773.4740379303995
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,768.95653403426172,765.3211256212561,774.29825410235696
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,687.18328756755056,682.98993373693759,713.78939318783068
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,2068.8368325309075,2065.0593206951025,2075.1438136448578
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,20,2,2065.9262572897587,2063.3373364702175,2070.9167307502712
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,20,2,1933.9862805688085,1931.2651582094043,1938.2095317185697
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,2844.4062778098169,2840.5832966246353,2856.4312138728324
case,9,1,iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,646.2358348416783,638.9775308927409,650.0931119695598
case,10,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1497.6762355399915,1485.0258482335391,1753.4383948174677
case,11,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1867.4831550190079,1854.9454294388925,1882.6578752461296
case,12,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1796.5557288868763,1784.109110554067,1808.3007550081049
case,13,1,rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,4.3368591223104751,4.3163948228685172,4.3537353295783401
case,14,1,ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,2262.0045778151452,2260.2116818694494,2264.3830115247365
case,15,1,dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,2883.9753706869037,2872.7245483942907,3056.0014068740165
case,16,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,3160.5012445966677,3138.2779554147742,3186.2893368815176
case,17,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,2826.8205102560864,2803.9035070153659,2853.5538632936159
case,18,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,109.34497355736022,109.04081828999404,109.68416575233657
case,19,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,584.44901247243718,583.34529793016929,586.74098475626272
case,20,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,3005.518552209563,2992.2578016843563,3043.5069844950008
case,21,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1142.0276090987124,1137.4847154290796,1146.3243677304069
case,22,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,4535.0921434175843,4456.8189051559521,4656.2936442838454
case,23,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,5733.4549307499292,5631.314798927614,5821.7984599647671
case,24,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,2012.9656020128778,1996.193023501098,2030.8626356558075
case,25,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,2045.091870070828,2036.6654028160274,2057.7352059411373
case,26,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,6604.3998780203692,6557.2653137683419,7226.5903501458943
case,27,1,gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,167548.41260399154,166269.02056962025,168554.4686985173
case,28,1,gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,20,2,42468.345782906952,42226.777433993397,43081.089542892922
case,29,1,symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,84641.647011384892,84316.713483146072,85221.978358513676
case,30,1,symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,84064.818295561243,83597.377902321852,84768.931743421053
case,31,1,gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,20,2,60663.447342732637,60549.888533178113,60772.599074341917
case,32,1,syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,20,2,46624.57426286125,46366.662761314037,46822.563832174106
case,33,1,syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,96064.708454413892,95758.553646075248,96843.552789303823
case,34,1,trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,9978.9567564897661,9873.2724580454105,10030.202141434263
case,35,1,trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,9499.7614226589139,9483.1782924737017,9591.1381341613778
case,36,1,trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,7928.905003521746,7907.7952560240965,7958.2449134240142
case,37,1,trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,9938.1207781048688,9852.4948498059694,11155.672951298529
case,38,1,gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,portable-tile,20,2,64.421423142634367,64.077528399559753,64.845354693160658
case,39,1,gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,portable-tile,20,2,62.272655798737048,62.059786216715374,62.531038037002702
case,40,1,packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,portable-solve,20,2,28.139089397383565,27.779618980596613,28.50890829828273
case,41,1,packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,portable-solve,20,2,6.7233409078288613,6.4005260567533018,7.0730379735412585
case,42,1,gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,raw-tile,portable-tile,20,2,143.72181142099652,142.74218085207298,144.10239740026864
case,43,1,gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,raw-tile,portable-tile,20,2,47.589232547494042,47.386586839424155,47.953135947964597
case,44,2,gemm-tile+8x4x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,45,2,gemm-tile+7x2x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,46,2,packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
