run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,jvm-simd/simd(2 lanes)/simd-sparse/packed-4x4,1,ns,c344bccbeda7f52d0e683eada1c06daee7c3d22a,true,kotlin-2.4.10/jvm/Homebrew/25.0.4.1/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
run,2,jvm-simd/simd(2 lanes)/simd-sparse/packed-4x4,1,ns,c344bccbeda7f52d0e683eada1c06daee7c3d22a,true,kotlin-2.4.10/jvm/Homebrew/25.0.4.1,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,20,2,442.46987690223023,439.78147457911047,448.89916582422677
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,681.35957876176826,678.44783746245037,685.54773562610569
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,680.71564094420592,678.90284646664463,683.96103139101558
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,694.78559119854322,690.51542445620612,698.04494496882137
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,406.98747565705992,405.16206341091703,415.20020283213762
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,20,2,382.17242859073576,381.66591804613694,382.4557675462957
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,20,2,301.75917709974976,298.46926254844362,306.41470520831967
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,2890.4499268708405,2867.5727877042355,2949.2312012918628
case,9,1,iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,658.86812941115045,656.94884202492369,667.74870060304738
case,10,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1499.3539522270296,1449.879654558257,1543.303771796398
case,11,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1702.8207336463997,1684.7355248592194,1717.0791229274992
case,12,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1367.7156924919459,1250.1579890356491,1467.7181429409957
case,13,1,rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,4.2879581893198413,4.2797603463664968,4.3070373800452026
case,14,1,ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,472.19301584616466,470.35440452568542,477.1577957349557
case,15,1,dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,1864.6868071549561,1843.8342313234875,1893.8552760782536
case,16,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,2175.1031099369857,2116.7420821099049,2198.8278366497484
case,17,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,1715.3215184603803,1692.7864155140728,1744.4814452293813
case,18,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,66.489113015920552,66.345068202451131,66.736432795233057
case,19,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,482.57141090573487,481.65636778241196,483.57915689087105
case,20,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,2693.1741783653192,2686.21541944313,2711.669317204161
case,21,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,836.8432251630893,834.87964240142787,859.0389827488184
case,22,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,4533.9875924517091,4291.5704888562032,5527.1867466708773
case,23,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,5246.3110025090409,5205.4345304483604,6610.3815309077172
case,24,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,1360.2021288444494,1359.1046306961575,1363.7839096133243
case,25,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,1161.242717833908,1158.5629933638936,1172.0648140397868
case,26,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,4172.8844579545848,4079.3791710367868,4275.5147231543624
case,27,1,gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,96712.991102681233,96336.485557083914,96953.257037378862
case,28,1,gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,20,2,24022.514950778022,23750.326081952117,24267.070327887846
case,29,1,symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,50429.506076445665,50091.274677065565,50738.798309178746
case,30,1,symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,50629.294728544548,50445.690759155957,50799.113422007256
case,31,1,gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,20,2,61409.626565253137,61211.398131932285,61626.662070988561
case,32,1,syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,20,2,28372.899690952538,28135.42660487938,28604.526889040164
case,33,1,syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,59849.820046131143,59679.663920454543,59996.001142530702
