run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-simd/simd(2 lanes)/simd-sparse/packed-4x4,1,ns,c344bccbeda7f52d0e683eada1c06daee7c3d22a,true,kotlin-2.4.10/jvm/Homebrew/25.0.4.1/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy
sample,1,1,1,461059,204590666,443.7407490147682
sample,1,1,2,475865,210023416,441.3508368970191
sample,1,1,3,477560,210022041,439.78147457911047
sample,1,1,4,470134,208211542,442.87701378755844
sample,1,1,5,469688,209299542,445.613986305803
sample,1,1,6,459630,204737625,445.4400822400627
sample,1,1,7,474076,210018625,443.0062373965356
sample,1,1,8,475530,210021375,441.657466405905
sample,1,1,9,473599,210026458,443.4689642503468
sample,1,1,10,472400,208081125,440.4765558848434
sample,1,2,11,454361,200348416,440.9454508639606
sample,1,2,12,467887,210034084,448.89916582422677
sample,1,2,13,476231,210026125,441.01733192505316
sample,1,2,14,461472,203526500,441.03759274668886
sample,1,2,15,475572,210023584,441.62310649071014
sample,1,2,16,475015,210025042,442.1440207151353
sample,1,2,17,474286,210020375,442.8137769194115
sample,1,2,18,474301,210018459,442.79573308932515
sample,1,2,19,447007,200476792,448.48691854937397
sample,1,2,20,476148,210019583,441.08046867780604
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,2,1,1,309085,210021417,679.4940453273372
sample,2,1,2,309402,210027625,678.8179294251491
sample,2,1,3,309419,210023208,678.7663588855241
sample,2,1,4,309514,210079667,678.7404350045555
sample,2,1,5,309590,210040666,678.4478374624504
sample,2,1,6,308876,210022583,679.9575978709903
sample,2,1,7,303232,205841709,678.8258132387083
sample,2,1,8,309495,210023958,678.6021034265497
sample,2,1,9,294024,200208875,680.9269821511169
sample,2,1,10,309175,210016208,679.279398398965
sample,2,2,11,306354,210020291,685.5477356261057
sample,2,2,12,306422,210026583,685.4161352644393
sample,2,2,13,306966,210023667,684.1919528547136
sample,2,2,14,305430,208818041,683.6854303768457
sample,2,2,15,299196,204448375,683.3258967365874
sample,2,2,16,307314,210024208,683.4189395862213
sample,2,2,17,307713,210021583,682.5242449945241
sample,2,2,18,308053,210028125,681.7921753724197
sample,2,2,19,306522,210032041,685.2103307429809
sample,2,2,20,307396,210082500,683.4262644927064
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,3,1,1,305374,208863916,683.9610313910156
sample,3,1,2,307424,209376167,681.0664326792963
sample,3,1,3,300082,204516417,681.5351037383115
sample,3,1,4,299294,203661917,680.4744398484434
sample,3,1,5,296990,202975166,683.4410788242028
sample,3,1,6,297560,203441000,683.6974055652641
sample,3,1,7,308104,210025208,681.6698517383741
sample,3,1,8,307127,209743041,682.9195772432903
sample,3,1,9,307648,210028083,682.6895770490951
sample,3,1,10,298005,202966792,681.0851898458079
sample,3,2,11,299613,203903625,680.5566681018514
sample,3,2,12,309106,210017917,679.4365589797675
sample,3,2,13,304545,206831541,679.1493572378466
sample,3,2,14,300018,203841167,679.4297908792139
sample,3,2,15,302528,205798667,680.2632053892532
sample,3,2,16,309366,210029458,678.9028464666446
sample,3,2,17,308527,210021291,680.7225656101411
sample,3,2,18,302698,206049167,680.7087162782708
sample,3,2,19,309030,210028750,679.6387082160308
sample,3,2,20,309141,210023208,679.3767504148592
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,4,1,1,295523,204838792,693.1399315789296
sample,4,1,2,300484,208352916,693.39104910744
sample,4,1,3,287679,200228375,696.0131778822924
sample,4,1,4,301723,210038500,696.1302254054216
sample,4,1,5,299654,206915709,690.5154244562061
sample,4,1,6,301928,209313666,693.2568890596434
sample,4,1,7,294773,204418458,693.477550521927
sample,4,1,8,293314,204075584,695.7580749640317
sample,4,1,9,302619,209940375,693.7448573949422
sample,4,1,10,302054,209850708,694.7456679931403
sample,4,2,11,301529,210025333,696.5344394734835
sample,4,2,12,302182,210024417,695.0262325353594
sample,4,2,13,302668,209937541,693.6231811754134
sample,4,2,14,296643,206292458,695.4233135452379
sample,4,2,15,302840,210025375,693.5192676000528
sample,4,2,16,296675,206294000,695.3535013061431
sample,4,2,17,293470,204855250,698.0449449688214
sample,4,2,18,301740,210024792,696.0455756611652
sample,4,2,19,302281,210028250,694.8112848640834
sample,4,2,20,297852,206935625,694.7598975330029
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy
sample,5,1,1,501123,203429083,405.9464103623262
sample,5,1,2,517574,210017666,405.77321503784964
sample,5,1,3,517855,210026375,405.5698506338647
sample,5,1,4,506344,210023583,414.78438176417615
sample,5,1,5,515781,210020875,407.19001863193876
sample,5,1,6,515214,210020917,407.6382182937575
sample,5,1,7,518365,210021833,405.162063410917
sample,5,1,8,516601,210030333,406.56199465351403
sample,5,1,9,500955,203534125,406.29223183719097
sample,5,1,10,511875,210027084,410.3093216117216
sample,5,2,11,514533,210024875,408.1854322268931
sample,5,2,12,506764,210021042,414.43559921383525
sample,5,2,13,499059,206296916,413.3717977233153
sample,5,2,14,515695,210018583,407.25347928523644
sample,5,2,15,515442,210021417,407.45887413132806
sample,5,2,16,503050,204288208,406.0992108140344
sample,5,2,17,516592,210024500,406.5577864155852
sample,5,2,18,491846,200075542,406.784932682181
sample,5,2,19,505837,210023625,415.2002028321376
sample,5,2,20,517048,210020709,406.19189901131034
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy
sample,6,1,1,533958,203885667,381.83839740204286
sample,6,1,2,547674,209028500,381.66591804613694
sample,6,1,3,549956,210022250,381.88918749863626
sample,6,1,4,549244,210021667,382.3831794248094
sample,6,1,5,550199,210020833,381.7179475062659
sample,6,1,6,550015,210025042,381.85329854640327
sample,6,1,7,549133,210019083,382.4557675462957
sample,6,1,8,541879,206939291,381.8920663100065
sample,6,1,9,549319,210021834,382.3312756340123
sample,6,1,10,549962,210026166,381.89214163887686
sample,6,2,11,549347,210021000,382.3102701935207
sample,6,2,12,541864,207139875,382.27281199710626
sample,6,2,13,545998,208721208,382.27467499880953
sample,6,2,14,543338,207601166,382.0847538732796
sample,6,2,15,550069,210024625,381.8150541113933
sample,6,2,16,549205,210026209,382.4186032537941
sample,6,2,17,535600,204754542,382.2900336071695
sample,6,2,18,529825,202380250,381.9756523380361
sample,6,2,19,531825,203332666,382.3300258543694
sample,6,2,20,549424,210022875,382.26010330819184
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy
sample,7,1,1,698344,210022667,300.7438554637829
sample,7,1,2,670923,203981292,304.0308530189008
sample,7,1,3,682524,206313667,302.28045753702435
sample,7,1,4,699619,209889708,300.0057288324073
sample,7,1,5,703653,210018792,298.4692625484436
sample,7,1,6,696169,210022167,301.6827336465715
sample,7,1,7,696959,210023042,301.3420330320722
sample,7,1,8,695823,210024167,301.835620552928
sample,7,1,9,698351,210028166,300.74871518763484
sample,7,1,10,666420,202828292,304.35504936826624
sample,7,2,11,684349,205193750,299.8378751192739
sample,7,2,12,697372,210040666,301.18884325725725
sample,7,2,13,665006,201575167,303.1178169821024
sample,7,2,14,699281,210022500,300.3406355957047
sample,7,2,15,684310,208008958,303.96890005991435
sample,7,2,16,685077,209917667,306.4147052083197
sample,7,2,17,688377,210029709,305.1085509829643
sample,7,2,18,660867,201286583,304.5795644206777
sample,7,2,19,673186,203358542,302.08373614424545
sample,7,2,20,686975,206870250,301.13213726845953
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy
sample,8,1,1,72557,210026708,2894.64432101658
sample,8,1,2,72861,210023125,2882.5177392569412
sample,8,1,3,72908,210030333,2880.7583941405605
sample,8,1,4,73261,210081250,2867.5727877042355
sample,8,1,5,71642,208510458,2910.4499874375365
sample,8,1,6,71215,210029500,2949.231201291863
sample,8,1,7,71559,210021625,2934.9435430903172
sample,8,1,8,71723,207425209,2892.0319702187585
sample,8,1,9,72679,209025958,2876.0158780390484
sample,8,1,10,72772,209963334,2885.2214313197383
sample,8,2,11,71523,210035000,2936.607804482474
sample,8,2,12,70775,203235250,2871.5683504062167
sample,8,2,13,72227,210022750,2907.814944549822
sample,8,2,14,72701,210023584,2888.8678835229225
sample,8,2,15,72570,209959417,2893.198525561527
sample,8,2,16,70217,201714042,2872.7237278721677
sample,8,2,17,72966,210026083,2878.410259572952
