case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,10,1,370.95390951809526,368.0539979289797,374.63668360118282
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,845.71711710182331,843.31286286626153,849.66620547991715
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,718.25268952704653,717.06109582925285,719.43273302033526
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,764.94499447632086,762.78473706140267,768.34074793292075
nrm2+4096+uniform,ok,direct,arithmetic,policy,10,1,433.92373593675342,431.23977455366838,436.71946266452369
asum+4096+uniform,ok,direct,arithmetic,policy,10,1,270.38510944791085,269.58117449421127,272.80085008351722
sum+4096+uniform,ok,direct,arithmetic,policy,10,1,196.63104150000001,195.59133399999999,197.348792
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,1,4788.1904761904761,4764.7063333333335,4877.833333333333
iamax+4096+uniform,ok,direct,arithmetic,policy,10,1,3681.618066284117,3675.7200397263296,3715.8892996395202
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1759.7099149499809,1743.8641552511415,1796.8221705183171
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1389.0079735017505,1341.1949955378595,1451.5285714285715
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1339.7649452643179,1303.4975735728558,1358.4506714996051
rotmg+1+uniform,ok,direct,arithmetic,policy,10,1,14.128083499999999,13.991,14.538417000000001
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,10,1,378.19055315071705,377.38385198313961,378.52898871808856
dot4+4096+uniform,ok,composed,arithmetic,policy,10,1,1297.8819378298365,1287.6684064873214,1313.4758334405972
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,2165.0511852202535,2134.4639699648783,2205.6120426745351
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,1280.8195613396783,1277.2861402141784,1300.9500486184004
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,10,1,252.63934235516967,252.36515423192577,253.117800212943
