run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,openblas,1,ns,c344bccbeda7f52d0e683eada1c06daee7c3d22a,true,OpenBLAS 0.3.34 DYNAMIC_ARCH NO_AFFINITY USE_OPENMP vortexm4 MAX_THREADS=56; compiler=Apple LLVM 21.0.0 (clang-2100.1.1.101),1,5,200000000,vendor-calibrated,50000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,vendor-cblas
sample,1,1,1,262144,161999000,617.97714233398438
sample,1,1,2,262144,160234000,611.24420166015625
sample,1,1,3,262144,159743000,609.37118530273438
sample,1,1,4,262144,157886000,602.28729248046875
sample,1,1,5,262144,152448000,581.54296875
sample,1,1,6,262144,152749000,582.69119262695312
sample,1,1,7,262144,151906000,579.47540283203125
sample,1,1,8,262144,152395000,581.34078979492188
sample,1,1,9,262144,159420000,608.1390380859375
sample,1,1,10,262144,161918000,617.66815185546875
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,2,1,1,262144,187221000,714.19143676757812
sample,2,1,2,262144,187889000,716.73965454101562
sample,2,1,3,262144,187650000,715.82794189453125
sample,2,1,4,262144,188546000,719.24591064453125
sample,2,1,5,262144,187571000,715.52658081054688
sample,2,1,6,262144,186988000,713.3026123046875
sample,2,1,7,262144,187229000,714.22195434570312
sample,2,1,8,262144,188012000,717.2088623046875
sample,2,1,9,262144,187492000,715.2252197265625
sample,2,1,10,262144,188149000,717.73147583007812
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,3,1,1,262144,189628000,723.3734130859375
sample,3,1,2,262144,189497000,722.87368774414062
sample,3,1,3,262144,188784000,720.15380859375
sample,3,1,4,262144,188583000,719.38705444335938
sample,3,1,5,262144,188182000,717.85736083984375
sample,3,1,6,262144,188809000,720.24917602539062
sample,3,1,7,262144,189236000,721.8780517578125
sample,3,1,8,262144,189638000,723.41156005859375
sample,3,1,9,262144,189275000,722.02682495117188
sample,3,1,10,262144,188753000,720.03555297851562
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,4,1,1,262144,148690000,567.20733642578125
sample,4,1,2,262144,148999000,568.38607788085938
sample,4,1,3,262144,148639000,567.01278686523438
sample,4,1,4,262144,148108000,564.9871826171875
sample,4,1,5,262144,148160000,565.185546875
sample,4,1,6,262144,148098000,564.94903564453125
sample,4,1,7,262144,148071000,564.84603881835938
sample,4,1,8,262144,148016000,564.63623046875
sample,4,1,9,262144,148914000,568.06182861328125
sample,4,1,10,262144,148061000,564.80789184570312
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,vendor-cblas
sample,5,1,1,32768,120825000,3687.286376953125
sample,5,1,2,32768,120892000,3689.3310546875
sample,5,1,3,32768,120855000,3688.201904296875
sample,5,1,4,32768,120858000,3688.29345703125
sample,5,1,5,32768,120816000,3687.01171875
sample,5,1,6,32768,120899000,3689.544677734375
sample,5,1,7,32768,120840000,3687.744140625
sample,5,1,8,32768,120844000,3687.8662109375
sample,5,1,9,32768,120841000,3687.774658203125
sample,5,1,10,32768,120869000,3688.629150390625
case,6,1,asum+4096+uniform,ok,direct,arithmetic,vendor-cblas
sample,6,1,1,524288,136268000,259.91058349609375
sample,6,1,2,524288,136243000,259.86289978027344
sample,6,1,3,524288,136980000,261.26861572265625
sample,6,1,4,524288,136629000,260.59913635253906
sample,6,1,5,524288,136083000,259.55772399902344
sample,6,1,6,524288,136237000,259.85145568847656
sample,6,1,7,524288,136821000,260.96534729003906
sample,6,1,8,524288,137002000,261.31057739257812
sample,6,1,9,524288,136712000,260.7574462890625
sample,6,1,10,524288,135977000,259.35554504394531
case,7,1,sum+4096+uniform,ok,direct,arithmetic,vendor-cblas
sample,7,1,1,524288,116261000,221.75025939941406
sample,7,1,2,524288,116401000,222.01728820800781
sample,7,1,3,524288,116503000,222.21183776855469
sample,7,1,4,524288,116491000,222.18894958496094
sample,7,1,5,524288,117233000,223.60420227050781
sample,7,1,6,524288,118485000,225.99220275878906
sample,7,1,7,524288,117759000,224.60746765136719
sample,7,1,8,524288,116889000,222.94807434082031
sample,7,1,9,524288,116809000,222.79548645019531
sample,7,1,10,524288,116145000,221.52900695800781
case,8,1,compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable
case,9,1,iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas
sample,9,1,1,524288,153103000,292.02079772949219
sample,9,1,2,524288,153096000,292.0074462890625
sample,9,1,3,524288,153545000,292.86384582519531
sample,9,1,4,524288,154416000,294.525146484375
sample,9,1,5,524288,154419000,294.53086853027344
sample,9,1,6,524288,153672000,293.1060791015625
sample,9,1,7,524288,153285000,292.36793518066406
sample,9,1,8,524288,152982000,291.79000854492188
sample,9,1,9,524288,153071000,291.95976257324219
sample,9,1,10,524288,152700000,291.25213623046875
case,10,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,10,1,1,131072,186236000,1420.867919921875
sample,10,1,2,131072,190818000,1455.8258056640625
sample,10,1,3,131072,189010000,1442.0318603515625
sample,10,1,4,131072,187889000,1433.4793090820312
sample,10,1,5,131072,190667000,1454.6737670898438
sample,10,1,6,131072,185747000,1417.1371459960938
sample,10,1,7,131072,185999000,1419.0597534179688
sample,10,1,8,131072,188752000,1440.0634765625
sample,10,1,9,131072,187864000,1433.28857421875
sample,10,1,10,131072,187580000,1431.121826171875
case,11,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,11,1,1,131072,168516000,1285.675048828125
sample,11,1,2,131072,169128000,1290.34423828125
sample,11,1,3,131072,172275000,1314.3539428710938
