case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,4051.34381377241,4045.5577566402,4054.9190831038395
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1740.3768927800456,1734.566128263976,1747.1991675901122
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1739.2393220405024,1733.801069824206,1745.7006262756659
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1006.5606468674514,1003.4883456252852,1016.8711956025679
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,4067.964950739895,4060.90008108656,4076.457920892908
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,4024.8626591289953,4018.149807399085,4031.3411377941707
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,2469.2195742249874,2466.613452207965,2473.415299060801
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,3722.5877747797467,3709.646131619404,3867.630002512126
iamax+64+uniform,ok,direct,arithmetic,policy,20,2,25.0377708418303,24.998942190168286,25.261467128563986
iamax+128+uniform,ok,direct,arithmetic,policy,20,2,47.718536560638114,47.658801108232474,48.08591017280433
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,92.95111685742506,92.82163382603923,94.09486675083986
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,183.45250866860124,183.09110589570093,203.96404758871932
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,364.27140348075227,363.7535380851903,365.3317952920605
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,1475.8575346260423,1473.0088190042918,1479.8628457328798
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,23491.659314681187,23432.587925587926,24309.83171442448
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2796.239052939577,2773.717861647424,2818.1640442480366
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3718.6735116502296,3680.136775712105,3747.319277221234
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3917.3286897488447,3906.944178690669,3926.9675338679003
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,12.207582658477268,12.120650797767672,12.379423575951762
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,4113.340260004035,4107.368713708271,4117.366881180994
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,6005.097331809633,5996.727226463105,6015.841048454971
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,4719.5615926306855,4647.403630539242,4810.86718581008
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,4710.130914697813,4701.336691559814,4725.345571742261
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,258.6975828531391,258.18868004866965,259.66168905123504
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,1352.6409953709842,1350.945668026035,1356.1705808636748
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,5890.387744475558,5252.034187809933,6353.018145481077
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2276.5861111501354,2273.740617048346,2343.6361296361297
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,7202.652568625202,7170.163212713412,7247.900992250308
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,10764.517024655623,10725.366177573096,10860.02575642555
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,4185.456228253696,4164.452304238468,4828.116862764008
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,3582.6589086854865,3562.8554572796356,3608.482560340321
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,12087.289546955046,12046.495125180549,13336.948955144417
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,293142.7807017544,292611.47299270076,319965.2277070064
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,20,2,79277.4468840328,78892.52897122585,79656.65328031809
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,151629.25274091138,151142.67018867924,152271.79619771862
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,150443.0754465021,149984.06217228464,153779.3540706605
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,20,2,173268.0103806228,172528.61465517242,174575.14472537054
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,20,2,84975.32141093646,84855.521407376,86060.10705073086
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,180883.978452268,180525.8250676285,190689.24262607042
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,18552.60084441874,18427.5485267035,18984.233614720666
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,21123.577707086817,20897.753913587978,23996.070743405275
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,15339.05833476373,15217.535964111923,15527.4906625339
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,19195.106755659413,19095.170575896263,19320.061776061775
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,portable-tile,20,2,128.10756861042273,127.98003511854748,128.54882279428858
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,portable-tile,20,2,124.81790559075546,124.47122367674291,127.27912005975169
packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,portable-solve,20,2,50.4044179981422,47.20700782781497,53.73237836929702
packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,portable-solve,20,2,13.922716551946014,13.893166050800222,13.950073601971994
gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,raw-tile,portable-tile,20,2,481.87885711674096,481.13041920717046,484.62153850603244
gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,raw-tile,portable-tile,20,2,107.65079454904476,105.99593939438877,109.66757835357234
gemm-tile+8x4x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-tile+7x2x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-left+4x32+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,159.51581404060911,149.55372712300596,174.73470512376718
pack-left+3x31+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,165.136469664822,164.56413724753816,165.77263940618928
pack-right+32x4+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,169.19019189194316,164.18232293864804,173.4827033544458
pack-right+31x2+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,153.35530067856874,149.76525491387392,158.04138236052344
pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,ok,unsupported,packing-only,portable-layout,20,2,34.10575886023708,33.93431995576033,34.39492090658459
pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,ok,unsupported,packing-only,portable-layout,20,2,36.58458868879031,36.45664763677526,36.87232127922802
pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,unsupported,packing-only,portable-layout,20,2,33.69289432209737,33.606728852031836,33.91562323615127
pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,ok,unsupported,packing-only,portable-layout,20,2,36.84799972597229,36.701083185589,38.23291787936488
write-left+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,90.95785276076181,69.74932757560504,112.5765923062601
write-left+4x32+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,85.7027180655823,83.17356794793831,89.21744385080596
write-right+31x2+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,90.81910249833604,89.40995249440138,92.94025161613263
write-right+32x4+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,116.92069018232498,99.41928307201538,134.41751157640428
clear-left-padding+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,76.80094765205561,76.68216966431012,76.9600186322728
clear-left-padding+4x32+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,7.600087905836889,7.579071057832901,7.632772283395499
