case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,759.1583829980716,752.5040293645815,771.570421096848
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1600.5924688779278,1535.4616552654988,1668.6904011604643
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1663.9753171507366,1590.2177023258762,1677.8061833545705
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1292.9795461826304,1287.7674541324254,1331.8207617476012
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,417.1667036499857,414.3337846230282,419.2645423774171
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,278.7167525187706,231.30190110819063,325.5942410242787
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,202.51768276583852,201.5855031129212,215.20936921399587
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,3721.46558302431,3711.3520946534873,3825.9995798560053
iamax+64+uniform,ok,direct,arithmetic,policy,20,2,25.396689909447403,25.363125920611203,25.78312380589715
iamax+128+uniform,ok,direct,arithmetic,policy,20,2,47.89081194024675,47.83307946888596,48.08562378022472
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,61.32493632895545,60.90407037878264,62.69906080726344
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,123.98943731853879,123.31539731375638,132.24304401849335
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,159.96121053497978,142.5041687286606,179.25809660591713
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,513.4691675231834,507.5422484492841,560.566177294318
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,10272.695848514395,10222.148904662206,10318.886931437697
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2844.787576454589,2838.6661750942967,2869.2933266432515
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3631.1467329033353,3611.5065237399167,3654.0977403811053
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3204.992124084706,3183.4592940054063,3221.4168878593377
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,12.7072197753964,12.422777048081054,13.173315073516997
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,725.4072192520545,724.0627346853137,735.6615797405079
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,1856.8430900919643,1852.9631669057424,1871.801142899898
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,3251.71488264626,2645.266758299852,3847.939187110667
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,2201.6386126972193,2113.5324024233214,2243.763925788913
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,98.11936623803305,94.7363816033951,101.55877074648258
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,1061.083523051529,1046.768201077575,1070.940281976511
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,3749.4828400948645,3691.172178468008,3827.2408161704243
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1409.4524872023208,1374.7290395713108,1444.8185328463992
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,6063.248822555272,5983.257496487189,6176.689465724251
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,7890.728280555802,7788.477313409604,7992.775475163712
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,2330.8853995442896,2312.8254311091605,2350.8025017618043
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,1850.747457611782,1843.7918742919248,1858.8126346682518
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,4621.772562953118,4579.525877644368,4673.9920879428655
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,101006.87091228936,100441.74322968906,102080.9607543323
