case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,10,1,659.632236063356,655.4262476085637,663.6625463781138
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1855.3418061007637,1848.5204766279685,1860.7563220950842
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1748.9068711132788,1744.8735781350706,1754.500270001916
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1284.1370169120955,1277.1092984373995,1298.9595202880844
nrm2+4096+uniform,ok,direct,arithmetic,policy,10,1,788.4869027273514,786.8498460302584,788.9220542950076
asum+4096+uniform,ok,direct,arithmetic,policy,10,1,290.54970441312713,287.7928802682255,316.44343217927417
sum+4096+uniform,ok,direct,arithmetic,policy,10,1,253.11122648455154,248.30179237858286,255.50439462794182
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,1,6195.214062596648,6184.411950269066,6608.715500711325
iamax+64+uniform,ok,direct,arithmetic,policy,10,1,50.18672,49.688402,50.279876
iamax+128+uniform,ok,direct,arithmetic,policy,10,1,104.502762,104.328241,105.099941
iamax+256+uniform,ok,direct,arithmetic,policy,10,1,128.64955750000001,128.376481,128.97049
iamax+512+uniform,ok,direct,arithmetic,policy,10,1,303.394544737401,302.93037865226495,303.9399814921569
iamax+1024+uniform,ok,direct,arithmetic,policy,10,1,404.26549147541573,399.0430297106099,415.35961771802204
iamax+4096+uniform,ok,direct,arithmetic,policy,10,1,1033.3562269777688,1023.2316588475506,1034.5394566623545
iamax+65536+uniform,ok,direct,arithmetic,policy,10,1,12564.15842145015,12545.15993202417,12624.177555387714
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3275.05255586615,3268.8864041325423,3290.34180112141
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3405.711157891148,3377.354662757598,3427.45722467486
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3640.5697160998398,3634.4835790395564,3657.7314078236755
rotmg+1+uniform,ok,direct,arithmetic,policy,10,1,40.923088,40.362185,42.012909
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,10,1,997.3894064319878,993.3828723808762,1011.6793161760291
dot4+4096+uniform,ok,composed,arithmetic,policy,10,1,1614.3400299364862,1609.372782070472,1618.0779481370605
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,3161.3258794762583,3143.225508755324,3184.676194983436
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,2033.7520968531899,2026.134219011469,2048.6794314517774
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,10,1,506.8949779308043,505.4479945598042,507.79762825665995
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,1809.3772505750367,1807.4500268791144,1814.6360920411382
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,6726.93875903817,6715.012611400706,6734.901563813688
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2248.5015439151907,2244.757343351132,2252.4080172115887
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,7965.574507947777,7935.7484715812725,7974.729065593815
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,13333.246340981012,13302.291007383967,13362.497362869199
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,5188.2338938800585,5180.430341191226,5200.167984847321
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,4576.21939093321,4568.893690160341,4579.814373053408
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,10,1,11656.730084622119,11621.27359206303,11680.2609279253
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,217958.80660888407,215350.64138678223,222793.9588299025
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,10,1,58327.660765687964,57968.88514680484,58758.69890616005
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,122937.14978514425,122474.70595457336,123308.17618170657
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,121976.0643292683,121700.96707317073,123478.95853658537
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,10,1,230020.63588850177,227258.0406504065,237450.87340301974
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,10,1,71961.58150413819,71811.39906441166,74030.77509895645
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,154508.5115919629,154186.85625965998,155254.29211746523
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,35452.62234231042,35261.8148476258,35663.308291991496
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,40225.634209997996,40152.31298935957,40600.634009235095
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,32026.742361222205,31918.028315469524,32149.145096784516
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,37203.7226555246,37128.22618384401,37326.4800371402
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,c-tile,10,1,74.5322605,74.113896,74.775614
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,c-tile,10,1,74.77794750000001,72.750417,80.813897
packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,c-tile,10,1,62.605039500000004,62.181275,62.776695
packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,c-tile,10,1,45.383471,45.064332,45.728752
gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,raw-tile,c-tile,10,1,117.60477900000001,117.448,119.978833
gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,raw-tile,c-tile,10,1,104.04739699999999,103.830074,104.305859
gemm-tile+8x4x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-tile+7x2x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-left+4x32+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,396.04134160685567,395.4609428134777,401.3032638005393
pack-left+3x31+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,370.7881408196398,370.4058056894047,371.55498073686596
pack-right+32x4+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,390.856016683923,390.1890831504559,392.9812296043364
pack-right+31x2+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,342.2086562164484,341.67699205497104,342.78537599312864
pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,ok,unsupported,packing-only,portable-layout,10,1,104.802654,101.573923,104.956057
pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,ok,unsupported,packing-only,portable-layout,10,1,103.98640950000001,103.593474,106.607392
pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,unsupported,packing-only,portable-layout,10,1,113.027561,111.065264,117.995918
pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,ok,unsupported,packing-only,portable-layout,10,1,116.380484,116.162376,116.637196
write-left+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,173.9137775,172.591648,176.269432
write-left+4x32+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,219.6887560432729,218.46787892916814,220.5178592243518
write-right+31x2+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,132.5892445,132.358858,132.945686
write-right+32x4+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,192.30966,191.312274,193.272742
clear-left-padding+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,234.43843210072237,233.66777926224498,238.1111014243337
clear-left-padding+4x32+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,54.626189,54.320218,54.833813
clear-right-padding+31x2+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,240.03023964778595,239.374125361267,240.42371413585164
clear-right-padding+32x4+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,55.7457065,55.441964,56.167422
pack-left+7x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-left+8x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-right+31x2+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-right+32x4+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-symmetric-left+8x8+uniform+packed=8x4+uplo=L,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-symmetric-right+4x4+uniform+packed=8x4+uplo=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-triangular-left+8x8+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-triangular-right+4x4+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-left+7x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-left+8x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-right+31x2+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-right+32x4+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-left-padding+7x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-left-padding+8x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-right-padding+31x2+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-right-padding+32x4+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot+4096+sparse-uniform+density=0.01,ok,direct,arithmetic,policy,10,1,51.970291,51.787156,52.378566
spdot-raw+64+sparse-uniform+density=0.125,ok,unsupported,arithmetic,policy,10,1,37.881879,37.719649,37.972437
spdot-raw+4096+sparse-uniform+density=0.0625,ok,unsupported,arithmetic,policy,10,1,359.23077067544773,358.1464045460318,360.62117653792563
spdot-raw+65536+sparse-uniform+density=0.015625,ok,unsupported,arithmetic,policy,10,1,1560.1025163057861,1555.3856415684688,1561.7058965458195
spdot-raw+262144+sparse-uniform+density=0.03125,ok,unsupported,arithmetic,policy,10,1,11883.23140888572,11875.145402708482,11909.584224281301
spdot-sparse+4096+sparse-uniform+density=0.01,ok,unsupported,arithmetic,policy,10,1,117.1174145,114.256286,119.848006
spaxpy+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,policy,10,1,786.2305229102108,784.9661852696408,788.5007815393011
spaxpy-raw+64+sparse-uniform+density=0.125,ok,unsupported,reset-and-arithmetic,policy,10,1,46.894606,46.697238,49.840648
spaxpy-raw+4096+sparse-uniform+density=0.0625,ok,unsupported,reset-and-arithmetic,policy,10,1,1113.2253750210687,1111.6495477274004,1117.6157312208552
spaxpy-raw+65536+sparse-uniform+density=0.015625,ok,unsupported,reset-and-arithmetic,policy,10,1,14049.689900976191,14013.334644286819,14104.645550951613
spaxpy-raw+262144+sparse-uniform+density=0.03125,ok,unsupported,reset-and-arithmetic,policy,10,1,156569.1696708464,156368.72962382445,156764.73981191224
spnrm2+4096+sparse-uniform+density=0.01,ok,direct,arithmetic,policy,10,1,37.4185405,37.306809,37.780454
spnrm2-indexed+4096+sparse-uniform+density=0.01,ok,unsupported,arithmetic,policy,10,1,86.96095399999999,86.560994,87.788254
spnrm2-indexed+4096+sparse-uniform+density=0.5,ok,unsupported,arithmetic,policy,10,1,3182.487828596024,3175.484257679861,3193.445184842736
spnrm2-indexed+262144+sparse-uniform+density=0.03125,ok,unsupported,arithmetic,policy,10,1,12656.773618312887,12638.245352219552,12785.973125079045
spasum+4096+sparse-uniform+density=0.01,ok,direct,arithmetic,policy,10,1,34.274773999999994,34.231907,34.717948
spscatter+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,policy,10,1,773.9820146673488,772.7562095911438,775.7356970091632
spscatter-raw+64+sparse-uniform+density=0.125,ok,unsupported,reset-and-arithmetic,policy,10,1,45.325627,45.022965,45.668333
spscatter-raw+4096+sparse-uniform+density=0.0625,ok,unsupported,reset-and-arithmetic,policy,10,1,1261.3169396152466,1258.996628838241,1266.74689821612
spscatter-raw+65536+sparse-uniform+density=0.015625,ok,unsupported,reset-and-arithmetic,policy,10,1,14031.323869610937,13995.756677181913,14085.389554854539
spscatter-raw+262144+sparse-uniform+density=0.03125,ok,unsupported,reset-and-arithmetic,policy,10,1,166683.25479566306,166480.98748957465,166959.9149291076
spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,policy,10,1,804.4284149793251,803.154202013939,808.0990018883194
spgather-zero+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,policy,10,1,794.5053830268853,793.7498947619237,795.3069218855486
spgemv+257x129+sparse-uniform+density=0.01+mode=prepared,ok,direct,prepared,policy,10,1,1264.9796178667293,1262.6245740502193,1269.1186186853142
spgemv+257x129+sparse-uniform+density=0.01+mode=oneshot,ok,direct,oneshot,policy,10,1,1264.0033777580802,1262.1116907784356,1268.2944316059388
spmm+257x8x129+sparse-uniform+density=0.01+mode=prepared,ok,direct,prepared,policy,10,1,5252.307772692399,5230.293817296754,5300.390671710892
spmm+257x8x129+sparse-uniform+density=0.01+mode=oneshot,ok,direct,oneshot,policy,10,1,5237.427875422374,5215.083715325982,5274.555936820599
spgemm+129x97x65+sparse-uniform+density=0.01+mode=prepared,ok,partial,prepared,policy,10,1,2921.2172034745176,2752.0139749404257,3081.5930048428013
spgemm+129x97x65+sparse-uniform+density=0.01+mode=oneshot,ok,partial,oneshot,policy,10,1,2768.176324478004,2755.3832961389135,3063.3083213597874
spsymv+129+sparse-triangular+density=0.02+mode=oneshot+uplo=L,ok,direct,oneshot,policy,10,1,897.536295907375,895.8898041949179,904.0122887378132
spsymm+129x8+sparse-triangular+density=0.02+mode=oneshot+side=L+uplo=L,ok,direct,oneshot,policy,10,1,4234.485589925625,4207.221137592968,4259.845545977011
sptrsv+129+sparse-triangular+density=0.02+mode=oneshot+uplo=L+transA=N+diag=N,ok,direct,oneshot,policy,10,1,1469.9847540536757,1463.516881413869,1488.1895668957795
sptrmv+129+sparse-triangular+density=0.02+mode=oneshot+uplo=U+transA=T+diag=U,ok,direct,oneshot,policy,10,1,790.5265038360035,788.7005859846402,791.5833138796456
sptrsm+129x8+sparse-triangular+density=0.02+mode=oneshot+side=L+uplo=L+transA=N+diag=N,ok,direct,oneshot,policy,10,1,6083.111856352261,5944.120698989413,6142.618864292589
sptrmm+129x8+sparse-triangular+density=0.02+mode=oneshot+side=L+uplo=U+transA=T+diag=U,ok,direct,oneshot,policy,10,1,5507.357160412912,5391.820580042602,5551.550303129608
