case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,7152837.821428571,6974687.931034483,9223972.227272727
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2733.6705700388356,2709.8956804333106,2769.861049632048
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2724.0257731839474,2615.591277983246,2840.0398773876764
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2092.693660249939,2081.88497747818,2097.397761686699
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,6895996.066666666,6764467.866666666,8907797.173913043
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,912.9448919662434,881.0239487215609,975.7039230885485
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,689.8118109346801,687.7154968298424,691.364430550278
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,6309.99659161057,6304.526743526743,6317.1423072068665
iamax+64+uniform,ok,direct,arithmetic,policy,20,2,35.18322985051643,35.091835848996055,35.29757351343572
iamax+128+uniform,ok,direct,arithmetic,policy,20,2,61.53591526523788,61.40886224340934,62.1385401549602
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,8336.224047253349,8241.936290256157,11370.236112688855
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,21684.274642758923,21410.918600919886,28739.563612866168
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,32029.06555364917,31599.01988950276,43933.70741878841
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,94588.49031190926,93849.93295827473,117893.85041224971
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,1354127.8974696174,1305627.6103896103,1751527.2869565217
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,5139.907561131979,5135.9692623476585,5143.108369953486
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1.4436003035714287E7,1.4071064933333334E7,1.7595966666666668E7
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1.078855397368421E7,1.038788095E7,1.34183423125E7
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,34.23565788935801,32.81142262295082,38.45880497254075
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,6867316.416666666,6765861.266666667,9135335.318181818
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,2.83700131875E7,2.7504929875E7,3.5904084833333336E7
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,2.20633316E7,2.16275485E7,2.912320014285714E7
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,96560.95377438291,94941.08013276434,131348.27952755906
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1129810.3665492288,1115586.1555555556,1314020.3725490195
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,6616978.338709677,6509412.387096774,8216839.346153846
