case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,10,1,1350.5438005208052,1349.796153637498,1351.304555688168
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2361.307180851064,2359.947234042553,2363.600744680851
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2403.8286856661857,2402.623556998557,2405.936856661857
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1960.9172171151922,1959.452213881103,1965.862365001274
nrm2+4096+uniform,ok,direct,arithmetic,policy,10,1,1070.302750772719,1069.312087571256,1071.1117902482326
asum+4096+uniform,ok,direct,arithmetic,policy,10,1,706.3350307483032,706.0185375426863,707.3931035948592
sum+4096+uniform,ok,direct,arithmetic,policy,10,1,603.8290734253767,603.3029752887641,604.4610581516126
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,1,7903.154957126487,7898.789228276762,7911.447544157743
iamax+64+uniform,ok,direct,arithmetic,policy,10,1,97.4767305,97.314456,97.569751
iamax+128+uniform,ok,direct,arithmetic,policy,10,1,164.7258995,164.555605,164.928317
iamax+256+uniform,ok,direct,arithmetic,policy,10,1,203.6388690798649,203.47443717716817,203.9720544831477
iamax+512+uniform,ok,direct,arithmetic,policy,10,1,464.56229346897857,463.66770783054244,465.4972037092043
iamax+1024+uniform,ok,direct,arithmetic,policy,10,1,622.9513517641667,622.3533913336222,624.1150051589293
iamax+4096+uniform,ok,direct,arithmetic,policy,10,1,1683.8316243565007,1682.4629656154423,1685.2260651966938
iamax+65536+uniform,ok,direct,arithmetic,policy,10,1,21506.773763440862,21499.65870967742,21530.38935483871
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,4584.520595175369,4581.474445029896,4589.528601864791
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,4591.853152824904,4585.68189374445,4599.099719900712
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,4395.406084714386,4391.432916078985,4403.426040197462
rotmg+1+uniform,ok,direct,arithmetic,policy,10,1,49.47181,49.060333,49.850535
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,10,1,1424.5817825801103,1423.7212074436154,1425.6315496098105
dot4+4096+uniform,ok,composed,arithmetic,policy,10,1,3117.0391590259446,3114.052592118211,3128.0173536808234
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,4086.144484167518,4080.872625127681,4097.038692543411
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,2804.426400426583,2802.0894841715312,2807.834895599461
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1011.3326697258383,1010.8899507733094,1012.0194022979201
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,2899.1665967571635,2895.9380505373388,2902.0655510074203
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,12525.822436058175,12516.026078234705,12540.194897191575
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3476.4938540978474,3473.3223338780904,3485.4326297854586
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,11903.409740414383,11894.48249583234,11921.920219099786
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,19929.026268656715,19911.12776119403,19940.174825870647
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,8781.67326449912,8773.57781195079,8789.592618629174
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,8388.025708289613,8380.02274921301,8403.643735571879
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,10,1,23777.893206197856,23758.615613825983,23793.199404052444
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,435917.0065502183,435717.8689956332,436176.3144104803
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,10,1,119293.52535799523,118987.64200477327,119508.62589498807
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,257533.30719794345,257366.7879177378,257788.02185089973
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,231118.3177623991,230938.62860438292,231420.58938869665
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,10,1,459629.95599022007,459484.4303178484,460057.2151589242
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,10,1,140737.06114605174,140693.97763801538,140849.74772886094
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,302393.36605783866,301962.2389649924,302648.96803652967
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,58271.189027939465,58227.74796274738,58325.6944121071
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,68766.64118053159,68732.6258198136,68834.36658612358
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,54145.70868271572,54099.03435217744,54201.3262104409
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,65190.865472312704,65155.93843648209,65255.77524429967
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,c-tile,10,1,160.97220049999999,160.256367,161.331246
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,c-tile,10,1,160.45414849999997,160.188637,160.900806
packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,c-tile,10,1,91.3166415,90.970151,91.616058
packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,c-tile,10,1,68.783198,68.465611,68.968763
gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,raw-tile,c-tile,10,1,204.87424896301187,204.6101589060363,205.74641781677457
gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,raw-tile,c-tile,10,1,192.938349,192.65945,193.146676
gemm-tile+8x4x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-tile+7x2x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-left+4x32+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,723.3263576874022,722.7908972983942,724.0430785842658
pack-left+3x31+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,664.8997373365863,664.6840429473037,665.3593515851587
pack-right+32x4+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,795.9288854089398,795.3854423002202,797.0556216222581
pack-right+31x2+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,633.6396849047852,633.124811762538,634.5644105705263
pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,ok,unsupported,packing-only,portable-layout,10,1,226.58141521630017,226.34432065516043,226.75110724875452
pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,ok,unsupported,packing-only,portable-layout,10,1,210.12932734254593,209.90024398526685,210.40513152738956
pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,unsupported,packing-only,portable-layout,10,1,223.55565607172875,223.38252276123941,223.71223118744635
pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,ok,unsupported,packing-only,portable-layout,10,1,238.64705924464096,238.5023361865513,238.72951064169962
