run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,jvm-simd/simd(8 lanes)/simd-sparse/packed-16x4,1,ns,f8409263880a223460fbb03f6cb82e9d3be19fa2,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
run,2,jvm-simd/simd(8 lanes)/simd-sparse/packed-16x4,1,ns,f8409263880a223460fbb03f6cb82e9d3be19fa2,false,kotlin-2.4.10/jvm/Ubuntu/25.0.4,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,20,2,759.1583829980716,752.5040293645815,771.570421096848
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1600.5924688779278,1535.4616552654988,1668.6904011604643
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1663.9753171507366,1590.2177023258762,1677.8061833545705
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1292.9795461826304,1287.7674541324254,1331.8207617476012
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,417.1667036499857,414.3337846230282,419.2645423774171
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,20,2,278.7167525187706,231.30190110819063,325.5942410242787
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,20,2,202.51768276583852,201.5855031129212,215.20936921399587
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,3721.46558302431,3711.3520946534873,3825.9995798560053
case,9,1,iamax+64+uniform,ok,direct,arithmetic,policy,20,2,25.396689909447403,25.363125920611203,25.78312380589715
case,10,1,iamax+128+uniform,ok,direct,arithmetic,policy,20,2,47.89081194024675,47.83307946888596,48.08562378022472
case,11,1,iamax+256+uniform,ok,direct,arithmetic,policy,20,2,61.32493632895545,60.90407037878264,62.69906080726344
case,12,1,iamax+512+uniform,ok,direct,arithmetic,policy,20,2,123.98943731853879,123.31539731375638,132.24304401849335
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,159.96121053497978,142.5041687286606,179.25809660591713
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,513.4691675231834,507.5422484492841,560.566177294318
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,10272.695848514395,10222.148904662206,10318.886931437697
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2844.787576454589,2838.6661750942967,2869.2933266432515
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3631.1467329033353,3611.5065237399167,3654.0977403811053
