run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,native/c/c-sparse/packed-4x4,1,ns,f8409263880a223460fbb03f6cb82e9d3be19fa2,false,kotlin-native-2.4.10,1,5,200000000,native-calibrated,50000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,10,1,659.632236063356,655.4262476085637,663.6625463781138
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1855.3418061007637,1848.5204766279685,1860.7563220950842
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1748.9068711132788,1744.8735781350706,1754.500270001916
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1284.1370169120955,1277.1092984373995,1298.9595202880844
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,10,1,788.4869027273514,786.8498460302584,788.9220542950076
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,10,1,290.54970441312713,287.7928802682255,316.44343217927417
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,10,1,253.11122648455154,248.30179237858286,255.50439462794182
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,1,6195.214062596648,6184.411950269066,6608.715500711325
case,9,1,iamax+64+uniform,ok,direct,arithmetic,policy,10,1,50.18672,49.688402,50.279876
case,10,1,iamax+128+uniform,ok,direct,arithmetic,policy,10,1,104.502762,104.328241,105.099941
case,11,1,iamax+256+uniform,ok,direct,arithmetic,policy,10,1,128.64955750000001,128.376481,128.97049
case,12,1,iamax+512+uniform,ok,direct,arithmetic,policy,10,1,303.394544737401,302.93037865226495,303.9399814921569
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,policy,10,1,404.26549147541573,399.0430297106099,415.35961771802204
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,policy,10,1,1033.3562269777688,1023.2316588475506,1034.5394566623545
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,policy,10,1,12564.15842145015,12545.15993202417,12624.177555387714
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3275.05255586615,3268.8864041325423,3290.34180112141
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3405.711157891148,3377.354662757598,3427.45722467486
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3640.5697160998398,3634.4835790395564,3657.7314078236755
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,policy,10,1,40.923088,40.362185,42.012909
case,20,1,ssqd+4096+uniform,ok,unsupported,arithmetic,policy,10,1,997.3894064319878,993.3828723808762,1011.6793161760291
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,policy,10,1,1614.3400299364862,1609.372782070472,1618.0779481370605
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,3161.3258794762583,3143.225508755324,3184.676194983436
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,2033.7520968531899,2026.134219011469,2048.6794314517774
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,10,1,506.8949779308043,505.4479945598042,507.79762825665995
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,1809.3772505750367,1807.4500268791144,1814.6360920411382
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,6726.93875903817,6715.012611400706,6734.901563813688
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2248.5015439151907,2244.757343351132,2252.4080172115887
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,7965.574507947777,7935.7484715812725,7974.729065593815
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,13333.246340981012,13302.291007383967,13362.497362869199
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,5188.2338938800585,5180.430341191226,5200.167984847321
case,31,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,4576.21939093321,4568.893690160341,4579.814373053408
