run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,onemkl,1,ns,f8409263880a223460fbb03f6cb82e9d3be19fa2,false,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,721.68831062316895,721.33868408203125,725.83683395385742
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1490.7555351257324,1488.5412139892578,1503.4681777954102
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1491.4657974243164,1487.8791427612305,1494.2561340332031
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1118.2707061767578,1100.1077346801758,1122.039192199707
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,1296.0851249694824,1294.770263671875,1300.3349533081055
case,6,1,asum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,265.55150318145752,263.73631286621094,269.1060791015625
case,7,1,sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,8,1,compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,9,1,iamax+64+uniform,ok,direct,arithmetic,vendor-cblas,10,1,83.872128000000004,83.418701999999996,84.339613999999997
case,10,1,iamax+128+uniform,ok,direct,arithmetic,vendor-cblas,10,1,116.174846,112.98524500000001,119.90058000000001
case,11,1,iamax+256+uniform,ok,direct,arithmetic,vendor-cblas,10,1,118.3450845,114.801832,120.393231
case,12,1,iamax+512+uniform,ok,direct,arithmetic,vendor-cblas,10,1,88.838900999999993,88.628669000000002,88.935715999999999
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,vendor-cblas,10,1,126.83233300000001,126.44864099999999,127.32212199999999
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,284.83108520507812,283.64078712463379,286.53694343566895
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,vendor-cblas,10,1,4676.0106506347656,4664.6902770996094,4699.6993408203125
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2783.6682968139648,2778.8639678955078,2794.9387054443359
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3539.1173400878906,3529.6548767089844,3562.6499328613281
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3541.3438873291016,3527.6354064941406,3561.2256774902344
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,vendor-cblas,10,1,39.038120500000005,38.919801,39.210701999999998
case,20,1,ssqd+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,vendor-cblas,10,1,2245.4016418457031,2242.7547607421875,2249.8681793212891
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,3667.9721527099609,3658.6246948242188,3695.2708129882812
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,2124.1025466918945,2121.6203460693359,2131.2372741699219
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,113.100129,112.13949599999999,115.302852
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,468.73184013366699,466.89849853515625,471.56767272949219
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1395.4287071228027,1388.0993576049805,1399.0993576049805
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1273.0767059326172,1271.5066070556641,1275.5982055664062
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,4930.0151977539062,4908.1132202148438,4951.0777893066406
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,5248.6632843017578,5210.7894592285156,5267.7019653320312
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1163.3903160095215,1162.438850402832,1165.6504516601562
case,31,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1070.7181587219238,1068.0479888916016,1073.1598281860352
case,32,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1202.2716598510742,1197.7797470092773,1206.1402053833008
case,33,1,gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,38544.94921875,38431.328369140625,39287.486083984375
case,34,1,gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,10871.398834228516,10817.195983886719,10896.938903808594
