run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,openblas,1,ns,f8409263880a223460fbb03f6cb82e9d3be19fa2,false,OpenBLAS 0.3.32 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY SapphireRapids MAX_THREADS=128; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,725.39598083496094,725.063232421875,725.85456466674805
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1596.6087417602539,1594.6098937988281,1600.0928955078125
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1597.3308639526367,1596.4887542724609,1599.8981628417969
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1277.0525321960449,1272.8851852416992,1281.8391189575195
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,1276.9159889221191,1275.3166351318359,1278.2075805664062
case,6,1,asum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,239.9214448928833,239.17272758483887,242.22386169433594
case,7,1,sum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,228.083984375,227.79940032958984,231.8223705291748
case,8,1,compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,9,1,iamax+64+uniform,ok,direct,arithmetic,vendor-cblas,10,1,35.66621,35.469473999999998,35.799351999999999
case,10,1,iamax+128+uniform,ok,direct,arithmetic,vendor-cblas,10,1,56.499791500000001,56.308371000000001,56.827804999999998
case,11,1,iamax+256+uniform,ok,direct,arithmetic,vendor-cblas,10,1,77.685323499999996,77.590243999999998,77.800541999999993
case,12,1,iamax+512+uniform,ok,direct,arithmetic,vendor-cblas,10,1,171.34713449999998,171.12028699999999,171.51049599999999
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,vendor-cblas,10,1,248.26320743560791,247.88302993774414,250.22499656677246
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,729.2363166809082,728.37925720214844,730.04328918457031
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,vendor-cblas,10,1,10170.700103759766,10162.353820800781,10179.328186035156
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3435.5955047607422,3432.179931640625,3439.9452514648438
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3583.2803192138672,3576.6686401367188,3598.8870544433594
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,4848.2981719970703,4839.3770141601562,4851.7057495117188
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,vendor-cblas,10,1,36.743458500000003,36.706578,36.918244999999999
case,20,1,ssqd+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,vendor-cblas,10,1,2313.8810501098633,2311.8159942626953,2320.7418823242188
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,4042.5472106933594,4036.7699279785156,4047.8280944824219
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,2183.5095443725586,2179.6064910888672,2189.4147033691406
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,137.98754350000002,137.71169699999999,138.366491
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,557.20099067687988,554.34779357910156,558.996826171875
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1840.3280639648438,1834.60595703125,1844.5464172363281
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1324.9566459655762,1322.9510192871094,1326.4256439208984
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,5194.4626770019531,5182.7237548828125,5215.632080078125
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,7120.7686462402344,7074.27587890625,7208.6029052734375
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2196.3861312866211,2193.4914703369141,2198.8346099853516
case,31,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1902.1025314331055,1897.9873962402344,1906.9198455810547
case,32,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1075.8827056884766,1073.526611328125,1079.9550704956055
case,33,1,gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,51939.727783203125,51833.494140625,52151.8662109375
case,34,1,gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,10401.566558837891,10383.839172363281,10428.05810546875
case,35,1,symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,29009.765747070312,28933.54248046875,29104.23583984375
case,36,1,symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,40276.267578125,40138.0830078125,40423.334228515625
case,37,1,gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,36861.181640625,36809.294677734375,36994.26611328125
case,38,1,syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,21470.402038574219,21230.293334960938,21564.9677734375
case,39,1,syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,29365.608642578125,29182.656982421875,29496.475341796875
case,40,1,trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,6751.2781372070312,6714.4400024414062,6778.1869506835938
case,41,1,trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,5315.6288146972656,5298.9795837402344,5325.93017578125
case,42,1,trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3434.2154388427734,3416.7734375,3498.4068603515625
case,43,1,trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3150.9237213134766,3131.8340454101562,3179.5089721679688
case,44,1,gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,145.7507315,145.51168699999999,146.07955899999999
case,45,1,gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,144.179115,143.77095700000001,144.57704899999999
case,46,1,packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas,10,1,203.29978847503662,202.57362174987793,204.01581954956055
case,47,1,packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas,10,1,176.71077299999999,176.203574,176.99500699999999
case,48,1,gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas,10,1,269.02980422973633,268.76620292663574,269.60429573059082
case,49,1,gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas,10,1,242.95271873474121,242.19278907775879,243.24970817565918
case,50,1,gemm-tile+8x4x32+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,145.93037049999998,145.64177000000001,146.268857
case,51,1,gemm-tile+7x2x31+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,117.52045150000001,117.35940600000001,117.827988
case,52,1,packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas,10,1,224.69540405273438,224.02454948425293,225.9000186920166
case,53,1,packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas,10,1,184.83132999999998,183.748887,185.514161
case,54,1,gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas,10,1,292.41125965118408,291.91665840148926,292.77388191223145
case,55,1,gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas,10,1,240.83664321899414,240.4797191619873,241.15055656433105
case,56,1,pack-left+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,57,1,pack-left+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,58,1,pack-right+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,59,1,pack-right+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,60,1,pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,unsupported,unsupported,layout,unavailable,0,0,,,
case,61,1,pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,unsupported,unsupported,layout,unavailable,0,0,,,
case,62,1,pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,unsupported,unsupported,layout,unavailable,0,0,,,
case,63,1,pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,unsupported,unsupported,layout,unavailable,0,0,,,
case,64,1,write-left+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,65,1,write-left+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,66,1,write-right+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,67,1,write-right+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,68,1,clear-left-padding+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,69,1,clear-left-padding+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,70,1,clear-right-padding+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
