case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,1644.4408711605786,1635.0143211934055,1663.709923092912
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1807.6941417901905,1806.6796381234426,1808.2446119228996
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1806.9638924776896,1806.3455952047807,1807.9191670054659
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1099.0470101164235,1097.3532260361771,1100.8622658635202
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,580.5116527227842,580.2186836702739,580.6964712710388
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,1939.0286203317833,1405.933638267077,2476.1769835968234
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,1371.5193551386005,1370.3098168121896,1375.2839066634592
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,4917.512508130745,4915.997076598044,4921.066642075495
iamax+64+uniform,ok,direct,arithmetic,policy,20,2,28.03404131880257,27.926834732878174,28.27269919367521
iamax+128+uniform,ok,direct,arithmetic,policy,20,2,52.74163315930143,52.64067758531835,52.989578598147645
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,102.07224114515331,101.92785968518722,102.23460693123634
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,200.99064177120601,200.8779795606955,201.13014544029107
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,398.58742266071613,398.39564207168837,398.85554935416997
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,2798.102945795473,2796.3810654855884,2812.914894514175
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,43107.14526178118,41800.55363105176,43629.30111038537
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2636.561946107445,2634.5586643668776,2638.716033755274
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,5325.989362028013,5207.636243076683,5400.596850733391
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,4638.149774573085,4631.077540168767,4660.4971819833245
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,10.883008661230576,10.820086517760698,10.914631225629154
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,1472.7515041047395,1465.6456690029954,1479.8867028193156
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,7600.064586866369,6092.82145901839,8849.668684547743
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,5101.23093765874,4299.4387689402065,5110.656791889062
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,5581.601844836893,5570.059767493603,5747.047889587099
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,283.9726525674788,282.8332939920988,285.2035430646697
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,1534.3803081199806,1524.006035375061,1540.1377362556177
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,7097.906416073178,7089.847393969458,7101.434031227821
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2304.5099647823063,2303.352724722008,2307.250126745633
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,7640.864668061261,7456.793753024832,7825.622045090455
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,11596.887517385258,11590.116809446632,11621.204413472706
