case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,3165.915221656172,3164.5989090046646,3171.939361501165
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1887.8640449669374,1886.604104991232,1889.4911997431684
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1888.2366925737015,1887.3732090812198,1889.5324577223414
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1115.4116277498879,1113.7689910054323,1117.6747862125976
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,3144.0386914897126,3142.229459798995,3146.845950621167
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,3139.747169619335,3139.3095962606267,3141.300040791992
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,3134.0892475424416,3132.91833539478,3142.80617196702
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,4917.31032519679,4916.3811512664915,4920.535805188449
iamax+64+uniform,ok,direct,arithmetic,policy,20,2,28.25301899899894,28.22320632810359,28.401461492956244
iamax+128+uniform,ok,direct,arithmetic,policy,20,2,52.66260092506065,52.572794302130525,52.76406146304447
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,102.4425214955885,102.30462664229547,102.55261865638741
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,201.30732198578562,201.19884689456188,201.4291190708628
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,398.95586897440614,398.7728152440117,399.2901172489205
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,1591.9055427194698,1591.369386278143,1592.8629072661772
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,25528.526662467193,25481.34291528873,25580.86256226849
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2698.451217766495,2694.827377265505,2705.5669762976786
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,5184.994311312252,5173.072880349165,5190.714571065398
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,4745.3614812878595,4741.027906095279,4749.377640782454
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,10.935363400796346,10.863076034375961,11.185474059419965
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,3162.5758335448054,3161.6510775453453,3166.8876205533597
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,4997.546039756177,4993.438036534239,5002.401548838371
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,6191.62152890078,6187.108974557146,6197.033847392543
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,3957.536079935522,3956.895275948666,3960.622919346858
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,282.3289871355315,282.2068058507525,282.7545856328611
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,1529.56091255613,1521.7375773799565,1534.6578535957328
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,7107.986400990998,7103.598722044729,7117.124915597569
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2301.0262555830604,2299.5985211211005,2303.2082729093295
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,7386.08414430265,7366.760104542443,7409.822584822585
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,11059.937688373371,11054.842018105543,11083.59646693986
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,5050.785326072148,5046.871396504325,5055.851292286703
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,5006.055931916668,5002.182286328525,5012.650844146085
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,14439.42578519142,14411.388232752413,14495.180442964678
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,358934.9480286738,358195.2732142857,359513.7307001795
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,20,2,96451.7027887401,96170.04132628544,96709.41497584542
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,183614.1338276474,183433.17231897343,183849.09366391186
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,180944.54977612465,180858.19223826716,181398.76721014493
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,20,2,139569.75662482565,139491.1901114206,139712.6741102582
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,20,2,104744.17425431711,104644.91113434396,104861.70979570456
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,217749.22717391304,217176.54663774403,218454.34023991277
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,22297.4760794156,22244.323964004,22347.832719151313
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,22411.76627884374,22357.64359088879,22429.58551894194
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,19549.37489773959,19491.03711279953,19584.710176125245
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,24026.629959715392,23978.57669740151,24068.89595862401
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,portable-tile,20,2,156.38106921049447,155.67301680906317,157.36469368800445
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,portable-tile,20,2,152.2674406942928,152.082734944777,152.954245818084
packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,portable-solve,20,2,52.47052604357153,52.231539754244494,52.755729646575894
packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,portable-solve,20,2,15.860195881046847,15.623966387533555,16.272403390308146
gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,raw-tile,portable-tile,20,2,372.7241626683655,371.524910460481,374.0394926222368
gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,raw-tile,portable-tile,20,2,131.60018443899952,131.494598818167,131.77049723349415
gemm-tile+8x4x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-tile+7x2x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-left+4x32+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,185.45906310662946,180.6078240416483,191.92907203482088
pack-left+3x31+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,203.9950749742905,201.35638707340266,208.33775177131434
pack-right+32x4+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,193.8109535625547,187.89625099158386,198.86011707181333
pack-right+31x2+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,20,2,211.81631996212272,206.6887925958827,214.19340557500834
pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,ok,unsupported,packing-only,portable-layout,20,2,41.917223576788686,41.846578773848975,41.993834970884215
pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,ok,unsupported,packing-only,portable-layout,20,2,42.60854887486833,42.48980560513405,42.73148104452877
pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,unsupported,packing-only,portable-layout,20,2,42.9056230718741,42.772087596071245,43.14117977560793
pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,ok,unsupported,packing-only,portable-layout,20,2,39.47863900069987,39.28490238242905,39.53300957140464
write-left+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,96.47257318054199,96.39623442290312,96.52154880920568
write-left+4x32+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,120.2189912267824,119.17711830994975,120.32261636197534
write-right+31x2+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,113.88729469205703,113.06977214640538,117.82915932822571
write-right+32x4+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,135.987487024244,135.55666638212887,136.45944523058563
clear-left-padding+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,87.68656060163893,87.64446777588849,87.815172405926
clear-left-padding+4x32+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,10.465583967596107,10.441488577595058,10.487180976159088
clear-right-padding+31x2+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,100.95819180309428,99.96302226387533,101.71413561545492
clear-right-padding+32x4+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,20,2,10.474636690802168,10.445057491088312,10.497849649128982
pack-left+7x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-left+8x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-right+31x2+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-right+32x4+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-symmetric-left+8x8+uniform+packed=8x4+uplo=L,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-symmetric-right+4x4+uniform+packed=8x4+uplo=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-triangular-left+8x8+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-triangular-right+4x4+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-left+7x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-left+8x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-right+31x2+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-right+32x4+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-left-padding+7x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-left-padding+8x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-right-padding+31x2+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-right-padding+32x4+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot+4096+sparse-uniform+density=0.01,ok,direct,arithmetic,policy,20,2,30.044345005358245,29.955803043713104,30.256749320958804
spdot-raw+64+sparse-uniform+density=0.125,ok,unsupported,arithmetic,policy,20,2,14.606501969942425,14.524995938033927,14.691099853125428
spdot-raw+4096+sparse-uniform+density=0.0625,ok,unsupported,arithmetic,policy,20,2,260.2792648650627,260.0648489803133,260.50801040454303
spdot-raw+65536+sparse-uniform+density=0.015625,ok,unsupported,arithmetic,policy,20,2,1063.5320481896217,1062.2743251493032,1064.8542951559432
spdot-raw+262144+sparse-uniform+density=0.03125,ok,unsupported,arithmetic,policy,20,2,14132.455049562004,12039.587895560102,16532.3736472532
spdot-sparse+4096+sparse-uniform+density=0.01,ok,unsupported,arithmetic,policy,20,2,96.70449517149946,95.8425127690602,98.21359330032705
