case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,732.3470669179045,652.3622932328376,768.044195650672
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1917.5738662299116,1879.5842740950843,1955.418479216744
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1905.2644635403894,1875.8571361612373,1935.8293895714423
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1230.1029951270539,1227.2700453254663,1233.6479146758732
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,537.9050183223826,537.7335044204982,538.3353275533234
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,531.5569548207804,531.4296281938607,531.7837052076579
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,314.9940851834668,300.59213080080036,329.06647334704326
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,4918.022111197751,4916.111266705975,5006.814241562616
iamax+64+uniform,ok,direct,arithmetic,policy,20,2,28.152458697286825,27.97961018852955,28.291315258496113
iamax+128+uniform,ok,direct,arithmetic,policy,20,2,52.84067888908763,52.75780022943829,53.160053534918184
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,86.516098697556,83.4390081175174,89.05135102183208
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,203.77564655906468,198.80141765059432,213.12484730885518
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,278.5592299457217,275.23507962074746,282.0815269072605
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,732.9532951895545,728.8240731982391,745.5767271860178
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,13647.953263106661,13585.238676430703,13737.001166861144
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2763.759729267107,2752.0822708287537,2776.8550971985183
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,5202.378449425476,5183.5945392845115,5220.363120050021
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3348.748036796219,3299.4509274206835,3400.687646519213
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,10.845767986723306,10.792561477970555,11.20086643112547
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,958.0801481627152,942.6182106820173,966.2024287783679
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,3191.00999773115,2635.0334531379594,3729.586786093369
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,4258.543916488236,3944.1379317134642,4618.02225656165
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,3033.7537972700784,2988.7803709727964,3077.86359860953
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,129.41518963604108,127.63270878364287,130.18952514811275
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,1124.5485965448765,1083.0941980741438,1177.6912034748216
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,5249.988357751583,5224.507374246261,5278.635438096745
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1495.97383260325,1492.8393899411856,1497.8320957528033
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,5293.09618146462,5291.710077478383,5297.137755777325
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,7358.410176932948,7255.232406366702,7461.307904548844
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,3173.4991424519685,3156.846695062313,3189.63188599847
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,2295.6597284591744,2293.6643015165237,2299.7053776532207
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,7557.350478500588,7506.279015680096,7565.08529122913
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,159258.07950420538,158605.48890649763,161261.31400966184
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,20,2,45939.32943952244,45572.361193350036,46288.031452358926
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,84834.16638406104,84648.5076142132,85007.24320882853
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,86929.53603599526,86456.22980561556,87185.8175087108
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,20,2,139317.57853030818,139252.53546592488,139403.89972144846
