case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,10,1,850.7567974349463,850.0923820122198,851.6494412395485
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1807.4171158422268,1806.7749405105278,1809.8496538794348
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1814.7234674978542,1813.8485431630302,1816.3836653566427
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1190.4985662550462,1189.682973165519,1191.1615174542865
nrm2+4096+uniform,ok,direct,arithmetic,policy,10,1,691.9054112830568,690.7139124101197,692.4474043032059
asum+4096+uniform,ok,direct,arithmetic,policy,10,1,556.6523830831529,555.9586278199146,557.4480930054168
sum+4096+uniform,ok,direct,arithmetic,policy,10,1,409.2769499731587,408.43274881255394,410.0655131379397
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,1,9908.980948813984,9892.657428214732,10055.571385767791
iamax+64+uniform,ok,direct,arithmetic,policy,10,1,134.249395,132.037083,137.108379
iamax+128+uniform,ok,direct,arithmetic,policy,10,1,189.2347545,187.055915,192.501559
iamax+256+uniform,ok,direct,arithmetic,policy,10,1,209.72497873755833,208.43970097849336,210.80347293564847
iamax+512+uniform,ok,direct,arithmetic,policy,10,1,397.6016075652931,396.4181632867542,398.6523300476103
iamax+1024+uniform,ok,direct,arithmetic,policy,10,1,469.93706302657915,469.6424172601592,471.8357142857143
iamax+4096+uniform,ok,direct,arithmetic,policy,10,1,989.9587115298428,989.3531005136741,991.8040946184874
iamax+65536+uniform,ok,direct,arithmetic,policy,10,1,12642.819867549668,12630.436959949542,12801.480731630401
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3188.204633603561,3186.90820219361,3190.502193609919
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3723.2150225721,3709.868167742417,3738.3779054583442
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3502.7751936628956,3501.3600643502896,3506.441236644692
rotmg+1+uniform,ok,direct,arithmetic,policy,10,1,65.22586150000001,65.095647,65.482511
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,10,1,1085.7305642743688,1084.4094499287135,1088.0272840128587
dot4+4096+uniform,ok,composed,arithmetic,policy,10,1,2444.4822647155424,2443.7261005486016,2446.445340534491
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,3682.24570955578,3680.965547686931,3683.845231306907
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,2465.3908894402,2455.3136744368844,2493.3141779862935
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1053.8860029928246,1043.0055837858704,1058.7505908977946
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,3359.7829558304493,3348.5836445876025,3979.6261693451665
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,13408.559773655183,13387.977723658763,13588.66026788912
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,10,1,3283.2375526586393,3279.250207317478,3289.7949215510666
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,13384.79501142934,13353.29501142934,13533.847855318005
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,23738.334712208958,23679.60784777213,23900.216877437655
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,11366.897674681117,11286.818602551079,11652.2377807879
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,9223.635328622233,9200.566578910904,9304.177543762413
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,10,1,18147.72773270125,18136.46649649011,18193.973653022153
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,294246.7459499263,293769.98379970546,294528.6818851252
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,10,1,98689.69720419371,98600.60059910135,98769.90264603095
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,159831.01690821256,159692.52576489534,159952.65136876007
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,158302.64808917197,158219.53184713377,158479.82643312102
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,10,1,604327.3653136531,601377.6273062731,667279.3690036901
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,10,1,120280.64471299094,120209.2755287009,120535.73474320241
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,250662.5916561315,250495.2806573957,250873.1618204804
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,79783.09101701622,78234.1052631579,79974.05579738821
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,85735.65260285474,84141.13769941225,90573.93198992443
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,58231.79036950829,58183.50160023276,58259.11608961303
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,67419.5263515811,67342.88031281877,67862.79836790207
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,c-tile,10,1,154.207518,153.777779,155.306678
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,c-tile,10,1,152.6862215,152.292923,154.538755
packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,c-tile,10,1,130.2409955,128.961217,130.587937
packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,c-tile,10,1,102.0499595,101.195177,103.559918
gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,raw-tile,c-tile,10,1,223.59355553455242,223.32719922498438,224.15150288160606
gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,raw-tile,c-tile,10,1,203.308493,202.82981,203.794324
gemm-tile+8x4x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-tile+7x2x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-left+4x32+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,565.8430747973418,565.6398900280593,567.0801855139433
pack-left+3x31+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,524.8216968844431,524.6646842763364,524.9700896113369
pack-right+32x4+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,567.8843029933497,567.5645449002453,568.067206443288
pack-right+31x2+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,489.029613275564,488.80468477606263,489.4452780412399
pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,ok,unsupported,packing-only,portable-layout,10,1,183.168535,182.227212,184.156739
pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,ok,unsupported,packing-only,portable-layout,10,1,190.269345,189.524744,192.02758
pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,unsupported,packing-only,portable-layout,10,1,183.503755,182.989484,184.467366
pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,ok,unsupported,packing-only,portable-layout,10,1,192.1315625,191.724762,193.171469
write-left+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,269.34721578093047,268.838375108038,269.8715164323208
write-left+4x32+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,313.2682480772388,312.38694858744935,315.47618491342837
write-right+31x2+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,216.7165423983197,215.77295785217342,219.7029853749746
write-right+32x4+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,310.4802072318435,310.0655055847926,310.96316898531074
clear-left-padding+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,356.55382672215705,356.33912259320607,356.92375608891035
clear-left-padding+4x32+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,86.08657099999999,83.703339,86.749077
clear-right-padding+31x2+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,337.6764505197732,337.466198020294,337.97715253369114
clear-right-padding+32x4+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,89.609323,88.50941,91.374772
pack-left+7x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-left+8x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-right+31x2+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-right+32x4+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-symmetric-left+8x8+uniform+packed=8x4+uplo=L,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-symmetric-right+4x4+uniform+packed=8x4+uplo=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-triangular-left+8x8+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-triangular-right+4x4+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-left+7x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-left+8x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-right+31x2+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-right+32x4+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-left-padding+7x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-left-padding+8x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-right-padding+31x2+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-right-padding+32x4+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot+4096+sparse-uniform+density=0.01,ok,direct,arithmetic,policy,10,1,139.879839,137.795774,151.395738
spdot-raw+64+sparse-uniform+density=0.125,ok,unsupported,arithmetic,policy,10,1,80.7443175,77.382522,81.344045
