case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,vendor-accelerate,10,1,147.61599999999999,146.80799999999999,148.64699999999999
axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,1243.2937622070312,1234.5962524414062,1244.4381713867188
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,1242.9695129394531,1236.6409301757812,1243.560791015625
scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,1202.239990234375,901.3824462890625,1205.13916015625
nrm2+4096+uniform,ok,direct,arithmetic,vendor-accelerate,10,1,908.18405151367188,901.397705078125,914.5050048828125
asum+4096+uniform,ok,direct,arithmetic,vendor-accelerate,10,1,204.22744750976562,203.80973815917969,205.68656921386719
sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
iamax+4096+uniform,ok,direct,arithmetic,vendor-accelerate,10,1,592.44728088378906,589.10751342773438,596.5728759765625
swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,1417.8047180175781,1412.6739501953125,1424.13330078125
rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,1444.7822570800781,1309.7915649414062,1455.078125
rotm+4096+uniform,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,1456.787109375,1447.1435546875,1459.869384765625
rotmg+1+uniform,ok,direct,arithmetic,vendor-accelerate,10,1,22.336500000000001,22.309999999999999,22.356000000000002
ssqd+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
dot4+4096+uniform,ok,composed,arithmetic,vendor-accelerate,10,1,588.45901489257812,585.01434326171875,591.85028076171875
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,vendor-accelerate,10,1,1819.3359375,1816.986083984375,1826.35498046875
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,vendor-accelerate,10,1,1409.4772338867188,1362.2665405273438,1411.1328125
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,63.794499999999999,63.348999999999997,64.841999999999999
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,734.405517578125,720.69168090820312,746.75750732421875
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,3717.7886962890625,3640.594482421875,3960.174560546875
ger+129x31+uniform,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,636.24382019042969,633.41903686523438,642.25006103515625
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,4011.23046875,3894.256591796875,4143.402099609375
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,3844.9859619140625,3781.6162109375,3978.851318359375
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,820.59860229492188,813.42315673828125,827.972412109375
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,1976.165771484375,1970.0927734375,1983.1390380859375
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,902.05001831054688,847.99957275390625,996.734619140625
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,12230.89599609375,12176.513671875,12356.689453125
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,7782.073974609375,7679.8095703125,7950.3173828125
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,24609.375,24511.962890625,24707.275390625
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,vendor-accelerate,10,1,45057.9833984375,44912.841796875,45858.642578125
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,unsupported,unsupported,reset-and-arithmetic,unavailable,0,0,,,
