case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,2145.6726125921386,2143.2421607942774,2152.2048225669246
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,767.75125214084539,763.50454105132667,773.4740379303995
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,768.95653403426172,765.3211256212561,774.29825410235696
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,687.18328756755056,682.98993373693759,713.78939318783068
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,2068.8368325309075,2065.0593206951025,2075.1438136448578
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,2065.9262572897587,2063.3373364702175,2070.9167307502712
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,1933.9862805688085,1931.2651582094043,1938.2095317185697
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,2844.4062778098169,2840.5832966246353,2856.4312138728324
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,646.2358348416783,638.9775308927409,650.0931119695598
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1497.6762355399915,1485.0258482335391,1753.4383948174677
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1867.4831550190079,1854.9454294388925,1882.6578752461296
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1796.5557288868763,1784.109110554067,1808.3007550081049
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,4.3368591223104751,4.3163948228685172,4.3537353295783401
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,2262.0045778151452,2260.2116818694494,2264.3830115247365
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,2883.9753706869037,2872.7245483942907,3056.0014068740165
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,3160.5012445966677,3138.2779554147742,3186.2893368815176
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,2826.8205102560864,2803.9035070153659,2853.5538632936159
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,109.34497355736022,109.04081828999404,109.68416575233657
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,584.44901247243718,583.34529793016929,586.74098475626272
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,3005.518552209563,2992.2578016843563,3043.5069844950008
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1142.0276090987124,1137.4847154290796,1146.3243677304069
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,4535.0921434175843,4456.8189051559521,4656.2936442838454
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,5733.4549307499292,5631.314798927614,5821.7984599647671
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,2012.9656020128778,1996.193023501098,2030.8626356558075
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,2045.091870070828,2036.6654028160274,2057.7352059411373
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,6604.3998780203692,6557.2653137683419,7226.5903501458943
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,167548.41260399154,166269.02056962025,168554.4686985173
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,20,2,42468.345782906952,42226.777433993397,43081.089542892922
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,84641.647011384892,84316.713483146072,85221.978358513676
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,84064.818295561243,83597.377902321852,84768.931743421053
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,20,2,60663.447342732637,60549.888533178113,60772.599074341917
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,20,2,46624.57426286125,46366.662761314037,46822.563832174106
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,96064.708454413892,95758.553646075248,96843.552789303823
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,9978.9567564897661,9873.2724580454105,10030.202141434263
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,9499.7614226589139,9483.1782924737017,9591.1381341613778
