case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,442.46987690223023,439.78147457911047,448.89916582422677
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,681.35957876176826,678.44783746245037,685.54773562610569
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,680.71564094420592,678.90284646664463,683.96103139101558
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,694.78559119854322,690.51542445620612,698.04494496882137
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,406.98747565705992,405.16206341091703,415.20020283213762
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,382.17242859073576,381.66591804613694,382.4557675462957
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,301.75917709974976,298.46926254844362,306.41470520831967
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,2890.4499268708405,2867.5727877042355,2949.2312012918628
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,658.86812941115045,656.94884202492369,667.74870060304738
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1499.3539522270296,1449.879654558257,1543.303771796398
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1702.8207336463997,1684.7355248592194,1717.0791229274992
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1367.7156924919459,1250.1579890356491,1467.7181429409957
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,4.2879581893198413,4.2797603463664968,4.3070373800452026
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,472.19301584616466,470.35440452568542,477.1577957349557
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,1864.6868071549561,1843.8342313234875,1893.8552760782536
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,2175.1031099369857,2116.7420821099049,2198.8278366497484
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,1715.3215184603803,1692.7864155140728,1744.4814452293813
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,66.489113015920552,66.345068202451131,66.736432795233057
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,482.57141090573487,481.65636778241196,483.57915689087105
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,2693.1741783653192,2686.21541944313,2711.669317204161
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,836.8432251630893,834.87964240142787,859.0389827488184
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,4533.9875924517091,4291.5704888562032,5527.1867466708773
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,5246.3110025090409,5205.4345304483604,6610.3815309077172
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,1360.2021288444494,1359.1046306961575,1363.7839096133243
