run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,openblas,1,ns,b94e4414b480f01ec8efa500408af0c8ca8d832f,false,OpenBLAS 0.3.32 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Nehalem MAX_THREADS=128; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,1499.8987693786621,1492.9694213867188,1510.9741668701172
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3005.2410736083984,2994.6795349121094,3025.0210418701172
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3020.3678283691406,3000.8579864501953,3035.6041107177734
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1967.9168090820312,1949.5605926513672,1986.3844604492188
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,1399.6186027526855,1389.7272186279297,1410.4679946899414
case,6,1,asum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,717.15789413452148,713.68619918823242,723.56125259399414
case,7,1,sum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,1379.0214614868164,1371.8348846435547,1391.4279022216797
case,8,1,compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,9,1,iamax+64+uniform,ok,direct,arithmetic,vendor-cblas,10,1,53.453970999999996,52.679490000000001,55.126449000000001
case,10,1,iamax+128+uniform,ok,direct,arithmetic,vendor-cblas,10,1,87.734468500000006,87.028476999999995,89.362144999999998
case,11,1,iamax+256+uniform,ok,direct,arithmetic,vendor-cblas,10,1,110.8195985,109.976725,111.955253
case,12,1,iamax+512+uniform,ok,direct,arithmetic,vendor-cblas,10,1,227.17423152923584,224.99513053894043,229.86932754516602
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,vendor-cblas,10,1,315.54806613922119,311.82523155212402,317.22376251220703
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,864.50706481933594,858.20362091064453,868.56036376953125
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,vendor-cblas,10,1,11634.650573730469,11490.190795898438,11817.304992675781
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,4663.4032745361328,4639.2639770507812,4702.7763061523438
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,4844.8764953613281,4816.0388793945312,4958.8449096679688
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,8021.4688415527344,7950.1803588867188,8157.482666015625
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,vendor-cblas,10,1,93.644649000000001,93.050886000000006,94.147406000000004
case,20,1,ssqd+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,vendor-cblas,10,1,6098.8190307617188,6018.9824829101562,6196.2102661132812
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,8281.2854309082031,8236.17724609375,8365.8766479492188
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,4203.9050903320312,4177.7405700683594,4238.9933166503906
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,340.42984676361084,338.01876831054688,343.79760360717773
case,25,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1648.18798828125,1633.5291290283203,1666.37841796875
case,26,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3778.9445648193359,3727.7222900390625,3804.4812927246094
case,27,1,ger+129x31+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2768.996452331543,2760.5485534667969,2799.2380981445312
case,28,1,syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,8154.8804626464844,8046.3350830078125,8215.0501708984375
case,29,1,syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,11503.574523925781,11378.636901855469,11570.709899902344
case,30,1,trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3842.64990234375,3797.9370727539062,3915.745849609375
case,31,1,trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,4324.9327697753906,4297.1614685058594,4363.2035522460938
case,32,1,gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,7644.5436096191406,7472.3849487304688,10015.107482910156
case,33,1,gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,203119.48828125,200981.740234375,204557.3125
case,34,1,gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,57941.5595703125,56588.88134765625,58306.32958984375
case,35,1,symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,106794.61328125,105782.080078125,106985.8955078125
case,36,1,symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,100683.4560546875,99303.369140625,102405.662109375
case,37,1,gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,76363.628173828125,76056.7275390625,76973.06787109375
case,38,1,syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,60620.45849609375,60062.53857421875,61210.32763671875
case,39,1,syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,107451.58349609375,106458.037109375,108812.431640625
case,40,1,trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,8807.5520935058594,8710.8426513671875,8869.7821044921875
case,41,1,trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,9953.5797119140625,9893.1195068359375,9981.2049560546875
case,42,1,trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,8650.152587890625,8503.9169311523438,8735.9969482421875
case,43,1,trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,9741.9063720703125,9645.6652221679688,9808.9118041992188
case,44,1,gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,451.79331970214844,449.27817153930664,454.64241409301758
case,45,1,gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,356.40700912475586,353.61813163757324,360.99906158447266
case,46,1,packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas,10,1,403.53715133666992,399.27180480957031,405.0936164855957
case,47,1,packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas,10,1,276.13023948669434,273.07454109191895,278.62195205688477
case,48,1,gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas,10,1,633.91130256652832,629.44497680664062,637.98656845092773
case,49,1,gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas,10,1,506.13102340698242,500.85665893554688,511.45722579956055
case,50,1,gemm-tile+8x4x32+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,561.18943023681641,558.54254913330078,568.35655212402344
case,51,1,gemm-tile+7x2x31+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,536.95212745666504,532.82215118408203,542.35748291015625
case,52,1,packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas,10,1,333.31429672241211,331.63837242126465,335.02971839904785
case,53,1,packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas,10,1,286.1754903793335,283.71380996704102,289.85116004943848
case,54,1,gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas,10,1,762.78433227539062,758.06910705566406,774.06375122070312
case,55,1,gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas,10,1,619.58387184143066,612.67395782470703,627.78591537475586
case,56,1,pack-left+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,57,1,pack-left+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,58,1,pack-right+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,59,1,pack-right+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,60,1,pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,unsupported,unsupported,layout,unavailable,0,0,,,
case,61,1,pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,unsupported,unsupported,layout,unavailable,0,0,,,
case,62,1,pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,unsupported,unsupported,layout,unavailable,0,0,,,
case,63,1,pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,unsupported,unsupported,layout,unavailable,0,0,,,
case,64,1,write-left+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,65,1,write-left+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,66,1,write-right+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,67,1,write-right+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,68,1,clear-left-padding+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,69,1,clear-left-padding+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,70,1,clear-right-padding+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,71,1,clear-right-padding+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,72,1,pack-left+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,73,1,pack-left+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,74,1,pack-right+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,75,1,pack-right+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,76,1,pack-symmetric-left+8x8+uniform+packed=8x4+uplo=L,unsupported,unsupported,layout,unavailable,0,0,,,
case,77,1,pack-symmetric-right+4x4+uniform+packed=8x4+uplo=U,unsupported,unsupported,layout,unavailable,0,0,,,
case,78,1,pack-triangular-left+8x8+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,layout,unavailable,0,0,,,
case,79,1,pack-triangular-right+4x4+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,layout,unavailable,0,0,,,
case,80,1,write-left+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,81,1,write-left+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,82,1,write-right+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,83,1,write-right+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,84,1,clear-left-padding+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,85,1,clear-left-padding+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,86,1,clear-right-padding+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,87,1,clear-right-padding+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
case,88,1,spdot+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,89,1,spdot-raw+64+sparse-uniform+density=0.125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,90,1,spdot-raw+4096+sparse-uniform+density=0.0625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,91,1,spdot-raw+65536+sparse-uniform+density=0.015625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,92,1,spdot-raw+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,93,1,spdot-sparse+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,94,1,spaxpy+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,95,1,spaxpy-raw+64+sparse-uniform+density=0.125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,96,1,spaxpy-raw+4096+sparse-uniform+density=0.0625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
case,97,1,spaxpy-raw+65536+sparse-uniform+density=0.015625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
