run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,native/c/c-sparse/packed-4x4,1,ns,522b87b62360fff02e3777a20a9328c37516ee56,false,kotlin-native-2.4.10,1,5,200000000,native-calibrated,50000000,1
case,1,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=sorted,ok,composed,slices-cycle-v1,portable-sparse-slices,5,1,157.870868,151.847585,165.270856
case,2,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=sorted,ok,composed,slices-cycle-v1,portable-sparse-slices,5,1,158.876293,157.221834,166.735698
case,3,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=shuffled,ok,composed,slices-cycle-v1,portable-sparse-slices,5,1,170.25707,156.665756,175.770263
case,4,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-v1,portable-sparse-slices,5,1,243.519635,156.894093,308.302815
case,5,1,sparse-slices-cycle-checked+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-checked-v1,portable-sparse-slices,5,1,218.50650933301628,199.85956448400904,225.89243067114492
case,6,1,sparse-slices-reduce-dot-checked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,ok,composed,slices-ordered-dot-checked-v1,portable-sparse-slices,5,1,88.706331,87.060936,94.908756
case,7,1,sparse-slices-reduce-dot-unchecked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,ok,composed,slices-dot-v1,policy,5,1,65.016763,63.929505,70.857659
case,8,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=sorted,ok,composed,slices-cycle-v1,portable-sparse-slices,5,1,1974.5326062140678,1964.271050829165,2024.2711338494428
case,9,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=sorted,ok,composed,slices-cycle-v1,portable-sparse-slices,5,1,2343.7512400405167,2079.0462182680158,2373.6868414732203
case,10,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=shuffled,ok,composed,slices-cycle-v1,portable-sparse-slices,5,1,1953.4603560796886,1905.6194756125487,2156.5967292573087
case,11,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-v1,portable-sparse-slices,5,1,2039.9946711312107,2001.5069367171309,2788.803372908521
case,12,1,sparse-slices-cycle-checked+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-checked-v1,portable-sparse-slices,5,1,2600.9958957521035,2562.31296258294,2642.9685204186335
case,13,1,sparse-slices-reduce-dot-checked+4096+sparse-uniform+density=0.0625+timing=reuse+locality=shuffled,ok,composed,slices-ordered-dot-checked-v1,portable-sparse-slices,5,1,1161.1509587735964,1155.4131593900122,1287.3081391010887
case,14,1,sparse-slices-reduce-dot-unchecked+4096+sparse-uniform+density=0.0625+timing=reuse+locality=shuffled,ok,composed,slices-dot-v1,policy,5,1,382.0653569336916,379.94493011925357,390.77418294104257
case,15,1,sparse-slices-cycle+65536+sparse-uniform+density=0.015625+timing=reuse+compact=N+locality=sorted,ok,composed,slices-cycle-v1,portable-sparse-slices,5,1,10523.750843232145,9834.84831597986,10869.062521386322
case,16,1,sparse-slices-cycle+65536+sparse-uniform+density=0.015625+timing=reuse+compact=T+locality=sorted,ok,composed,slices-cycle-v1,portable-sparse-slices,5,1,12033.812854240188,10599.644316115924,14715.656133033901
case,17,1,sparse-slices-cycle+65536+sparse-uniform+density=0.015625+timing=reuse+compact=N+locality=shuffled,ok,composed,slices-cycle-v1,portable-sparse-slices,5,1,13966.154158764562,10709.001264336675,18378.830217646526
case,18,1,sparse-slices-cycle+65536+sparse-uniform+density=0.015625+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-v1,portable-sparse-slices,5,1,9361.408112511792,9105.969642397737,16006.865105908584
case,19,1,sparse-slices-cycle-checked+65536+sparse-uniform+density=0.015625+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-checked-v1,portable-sparse-slices,5,1,11866.542422963275,11646.284809744919,12262.350298498463
case,20,1,sparse-slices-reduce-dot-checked+65536+sparse-uniform+density=0.015625+timing=reuse+locality=shuffled,ok,composed,slices-ordered-dot-checked-v1,portable-sparse-slices,5,1,4896.220067049809,4832.25311302682,4955.134961685823
case,21,1,sparse-slices-reduce-dot-unchecked+65536+sparse-uniform+density=0.015625+timing=reuse+locality=shuffled,ok,composed,slices-dot-v1,policy,5,1,1385.517343650154,1376.677972105687,1431.8413927708166
case,22,1,sparse-slices-gather+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=sorted,ok,composed,slices-gather-v1,portable-sparse-slices,5,1,613.2899370637658,604.580073727085,620.0242045645923
case,23,1,sparse-slices-gather+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-gather-v1,portable-sparse-slices,5,1,614.1481743002153,609.0006166862978,632.0566087187109
case,24,1,sparse-slices-gather-clear+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=sorted,ok,composed,slices-refill-gather-clear-v1,portable-sparse-slices,5,1,1084.0490097511406,1080.6903634516011,1091.8340792631511
case,25,1,sparse-slices-gather-clear+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-refill-gather-clear-v1,portable-sparse-slices,5,1,1107.6042292653392,1104.1805161808727,1124.6489494740297
case,26,1,sparse-slices-clear+4096+sparse-uniform+density=0.0625+timing=reuse+locality=shuffled,ok,composed,slices-refill-clear-v1,portable-sparse-slices,5,1,837.4613070281522,832.7851818453798,839.8663686124466
