run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,onemkl,1,ns,522b87b62360fff02e3777a20a9328c37516ee56,false,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=sorted,ok,composed,slices-cycle-v1,onemkl-with-validated-bookkeeping,5,1,66.785938999999999,64.872986999999995,69.385288000000003
case,2,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=sorted,ok,composed,slices-cycle-v1,onemkl-with-validated-bookkeeping,5,1,62.856408999999999,62.006647000000001,64.702380000000005
case,3,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=shuffled,ok,composed,slices-cycle-v1,onemkl-with-validated-bookkeeping,5,1,64.644217999999995,63.700732000000002,65.143369000000007
case,4,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-v1,onemkl-with-validated-bookkeeping,5,1,64.334901000000002,63.672119000000002,64.905643999999995
case,5,1,sparse-slices-cycle-checked+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,unsupported,unsupported,slices-cycle-checked-v1,unavailable,0,0,,,
case,6,1,sparse-slices-reduce-dot-checked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,unsupported,unsupported,slices-ordered-dot-checked-v1,unavailable,0,0,,,
case,7,1,sparse-slices-reduce-dot-unchecked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,ok,composed,slices-dot-v1,onemkl-with-validated-bookkeeping,5,1,12.233292,12.005252,12.417899999999999
case,8,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=sorted,ok,composed,slices-cycle-v1,onemkl-with-validated-bookkeeping,5,1,1454.4959716796875,1446.152717590332,1458.1811218261719
case,9,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=sorted,ok,composed,slices-cycle-v1,onemkl-with-validated-bookkeeping,5,1,1496.0772399902344,1473.0460586547852,1522.3422164916992
case,10,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=shuffled,ok,composed,slices-cycle-v1,onemkl-with-validated-bookkeeping,5,1,1457.5272903442383,1454.0005416870117,1465.8374862670898
case,11,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-v1,onemkl-with-validated-bookkeeping,5,1,1502.2285995483398,1489.8689498901367,1530.213264465332
