run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,scalar-slices,1,ns,522b87b62360fff02e3777a20a9328c37516ee56,false,scalar C sparse slice reference; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=sorted,ok,composed,slices-cycle-v1,scalar-c-validated-slices,5,1,47.216875999999999,47.057195999999998,47.477387
case,2,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=sorted,ok,composed,slices-cycle-v1,scalar-c-validated-slices,5,1,47.347951999999999,47.194192999999999,48.297207
case,3,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=N+locality=shuffled,ok,composed,slices-cycle-v1,scalar-c-validated-slices,5,1,49.106259000000001,48.027847000000001,51.677849000000002
case,4,1,sparse-slices-cycle+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-v1,scalar-c-validated-slices,5,1,50.487405000000003,49.660795,53.537894999999999
case,5,1,sparse-slices-cycle-checked+64+sparse-uniform+density=0.125+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-checked-v1,scalar-c-validated-slices,5,1,63.665467,61.839767000000002,66.408586999999997
case,6,1,sparse-slices-reduce-dot-checked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,ok,composed,slices-ordered-dot-checked-v1,scalar-c-validated-slices,5,1,28.521675999999999,27.930925999999999,28.946214000000001
case,7,1,sparse-slices-reduce-dot-unchecked+64+sparse-uniform+density=0.125+timing=reuse+locality=shuffled,ok,composed,slices-dot-v1,scalar-c-validated-slices,5,1,10.472778,8.8604369999999992,10.736723
case,8,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=sorted,ok,composed,slices-cycle-v1,scalar-c-validated-slices,5,1,1469.2333755493164,1455.5152282714844,1472.7703552246094
case,9,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=sorted,ok,composed,slices-cycle-v1,scalar-c-validated-slices,5,1,1394.9634628295898,1375.5574569702148,1430.1215438842773
case,10,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=N+locality=shuffled,ok,composed,slices-cycle-v1,scalar-c-validated-slices,5,1,1503.0928802490234,1496.0618438720703,1524.6564636230469
case,11,1,sparse-slices-cycle+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-v1,scalar-c-validated-slices,5,1,1422.4193344116211,1405.3124618530273,1426.012809753418
case,12,1,sparse-slices-cycle-checked+4096+sparse-uniform+density=0.0625+timing=reuse+compact=T+locality=shuffled,ok,composed,slices-cycle-checked-v1,scalar-c-validated-slices,5,1,1562.9211578369141,1561.9000244140625,1582.3921051025391
case,13,1,sparse-slices-reduce-dot-checked+4096+sparse-uniform+density=0.0625+timing=reuse+locality=shuffled,ok,composed,slices-ordered-dot-checked-v1,scalar-c-validated-slices,5,1,760.29058837890625,752.29844665527344,770.95575714111328
case,14,1,sparse-slices-reduce-dot-unchecked+4096+sparse-uniform+density=0.0625+timing=reuse+locality=shuffled,ok,composed,slices-dot-v1,scalar-c-validated-slices,5,1,215.17574310302734,214.54853439331055,216.72485542297363
case,15,1,sparse-slices-cycle+65536+sparse-uniform+density=0.015625+timing=reuse+compact=N+locality=sorted,ok,composed,slices-cycle-v1,scalar-c-validated-slices,5,1,8473.0355224609375,8456.5582885742188,8889.51220703125
