case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,623.5567873607768,568.8789398565929,669.1362432429771
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1282.0236234569447,1259.1990019382283,1292.1079597556409
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1310.8351836747374,1293.521685726661,1394.7164157647203
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,889.2083287944295,793.7834159152309,1002.0678360595406
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,285.09014600956357,282.20559755825536,294.25544399948177
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,227.59556953083103,224.60719079889432,241.21290366747695
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,169.0582799286189,167.5468637878572,185.95333091268336
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,3069.5919819122482,3026.436293786678,3215.3344326448173
iamax+64+uniform,ok,direct,arithmetic,policy,20,2,24.003367572640315,23.872232982539444,24.673159376169153
iamax+128+uniform,ok,direct,arithmetic,policy,20,2,47.56354619052752,46.20584232196505,62.176086564624725
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,84.60152914859319,83.84629512001491,91.29618607073245
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,167.31287592270814,163.54395750766088,208.2136812819391
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,355.02261386916075,351.1289899477635,380.08638545087143
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,819.2366357581409,781.8979629304115,879.9217030991979
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,10259.0346462292,10056.790661439485,11426.011363636364
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3224.4292518268403,2467.911713556249,4023.7260406193445
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2598.999857482663,2585.50112417625,2897.8994532284887
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3371.805532014495,3314.171574797933,3590.8686850813087
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,7.685398531565472,7.5912776110483575,11.675270561948267
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,594.0872678891379,588.1928041649886,606.9238287055855
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,1425.5527355538457,1200.8607358771505,1641.1781525287488
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,2018.4183828118403,1993.617356648234,2077.6153510684694
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,1751.2294211773278,1688.4467650608,2029.6469471400158
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,225.0238788098858,223.41970708372324,228.7797536431049
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,1086.3398301742377,1054.180710322917,1123.5668019327945
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,4328.393123405354,4276.651247445504,5214.660602307037
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2185.2876594563722,2146.1005219449316,2310.717948422351
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,6727.127395267498,5776.527497906984,9228.918482240937
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,8920.224587673112,8823.423979186877,10366.4588091354
