case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,1765.6020468143975,1732.5291220111849,2155.3361483029394
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1264.410932152024,1252.3496088126683,1289.396410877047
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1281.7091716134978,1262.8517704608662,1585.1345381526105
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,944.3865584019093,936.5378217339818,956.0466801752981
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,1776.3389134126223,1732.6815339546358,2268.6483125912227
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,1762.7803126688132,1744.3256447874437,1838.2429066125344
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,1776.1865331368326,1716.196494013139,2067.677852279867
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,3146.8771595391772,3122.248072902038,3237.7110449500015
iamax+64+uniform,ok,direct,arithmetic,policy,20,2,24.437097444002546,24.184594922592574,25.767277662759714
iamax+128+uniform,ok,direct,arithmetic,policy,20,2,50.496819391685435,47.42662924259149,59.35067744867908
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,101.34822956821066,96.15789511533171,105.04967073606751
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,165.26171932131498,161.38317645445673,198.14214615967992
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,355.72012801866384,343.77013263595563,371.4220911691383
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,1297.6463054763567,1276.6757056552692,1328.829464580445
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,20091.186161756203,19521.04428836211,20818.340509620386
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2446.75895710438,2415.1555416073197,2573.296401116763
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2711.6731565558366,2606.8840968594914,2767.628656790738
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3380.194502812467,3341.954329051334,3628.5659017464873
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,7.486223320159532,7.392417953868802,8.635871636309307
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,1823.0710868416961,1810.796737811407,1852.4847386388665
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,3616.96542724182,3544.973584437673,3700.1695206746062
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,4273.230467052264,4248.229808917197,4346.1076913051975
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,2516.388375219678,2490.8832331246513,2746.1354515509197
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,227.48358036029302,225.102341671401,231.74907521934975
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,1084.547334369123,1063.6842306406154,1116.968861820841
