run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
run,1,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,1,ns,4b72bc82c21c99fbd66d7dd31261cea9236c3655,false,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
run,2,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,1,ns,4b72bc82c21c99fbd66d7dd31261cea9236c3655,false,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy,20,2,711.2256252978273,565.4162359663277,888.5840678086573
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1898.9036377358284,1438.836755823986,2462.3686380192953
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2143.5681155677057,1813.9896378601557,3088.8992340058257
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1682.0731923185444,1313.5449518711678,1973.7123724427038
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,541.2453814536595,459.171554760184,602.8090374488089
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy,20,2,692.6107303902713,585.0676541361737,822.5168221610958
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy,20,2,420.4394994072813,329.0547528727856,526.7050022960675
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,5516.049492381149,4924.582079292992,6414.054709784943
case,9,1,iamax+64+uniform,ok,direct,arithmetic,policy,20,2,47.61694660682193,38.78804820108533,58.76284821118039
case,10,1,iamax+128+uniform,ok,direct,arithmetic,policy,20,2,110.06876555702001,82.76109410500702,141.16703180723889
case,11,1,iamax+256+uniform,ok,direct,arithmetic,policy,20,2,151.1556879674609,115.81211040203067,161.89772196747313
case,12,1,iamax+512+uniform,ok,direct,arithmetic,policy,20,2,310.63907608242863,239.1666439606876,423.959161246683
case,13,1,iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,432.70840704124555,322.7663288824088,555.8323498264078
case,14,1,iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,1381.4984160072727,1040.7056643479884,1621.774292835384
case,15,1,iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,19240.70351568234,16313.759494695927,24705.195896433805
case,16,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,4029.718431431968,3380.7587465876168,5342.771046069038
case,17,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,4141.868955911044,3353.9386044328203,5192.244956548728
case,18,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3960.294584758329,3527.7093670621803,4824.842736063029
case,19,1,rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,13.496782151734411,9.99213753766796,17.7771883649743
case,20,1,ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,1128.2111593850032,906.3104736799196,1303.3347311599384
case,21,1,dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,2229.9904876038718,1554.868447868579,2925.219232729126
case,22,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,3391.160891795931,2851.1673007594864,4905.538832715017
case,23,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,2427.8480250945477,2342.50557594988,3051.982840931623
case,24,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,110.96311679682262,105.11057839795932,132.50899289029712
