case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,10,1,460.25088481430976,458.05434680121516,563.2198915915619
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1767.3422333038975,1603.586973836857,1803.2778730109258
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2061.473942216866,1671.1484886485782,2576.008696785121
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1676.4930873950766,1512.8856528179444,1738.7843690484588
nrm2+4096+uniform,ok,direct,arithmetic,policy,10,1,937.806476091529,769.6866816396999,1096.5243515505238
asum+4096+uniform,ok,direct,arithmetic,policy,10,1,292.75801373243524,274.6270685750784,328.81468760887236
sum+4096+uniform,ok,direct,arithmetic,policy,10,1,359.88451698272974,264.38877802950867,426.7865167004809
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,1,5825.532002421998,5480.329819062545,7698.205976634848
iamax+64+uniform,ok,direct,arithmetic,policy,10,1,90.6898025,46.396919,130.870249
iamax+128+uniform,ok,direct,arithmetic,policy,10,1,98.8726685,97.87187,103.14902
iamax+256+uniform,ok,direct,arithmetic,policy,10,1,117.207707,116.341864,118.052959
iamax+512+uniform,ok,direct,arithmetic,policy,10,1,262.28261311243784,260.89363872009517,263.35935441720136
iamax+1024+uniform,ok,direct,arithmetic,policy,10,1,337.8484146428974,336.7953148332291,349.8481241905777
iamax+4096+uniform,ok,direct,arithmetic,policy,10,1,782.9738216530741,775.2207681941751,802.0517841703082
iamax+65536+uniform,ok,direct,arithmetic,policy,10,1,9694.832036379554,9456.569184378191,9813.418267593988
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2480.0015805523876,2464.0422596320723,2492.8457752764416
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2199.5469655993074,2175.624167027261,2311.3600173085247
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2121.1604380685644,2110.488075512844,2144.05762878553
rotmg+1+uniform,ok,direct,arithmetic,policy,10,1,33.587022000000005,32.912693,33.961876
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,10,1,1009.836359205138,740.5829548848178,1125.3617967808707
dot4+4096+uniform,ok,composed,arithmetic,policy,10,1,1493.5576297183047,1220.7168530919157,2278.856413901463
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,2593.6566496000814,2383.3753120383108,3673.1070609812014
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,2148.046447616537,1561.4143129422737,2740.881668322553
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,10,1,554.7620389984248,531.8534951930911,860.313005811743
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,2446.768613602847,2223.6781940441883,3580.347526078662
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,7569.260139652355,6004.621452978755,9841.238597533798
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2907.909964577237,2403.492915447405,3246.9564608039427
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,10781.441065302088,7361.0783276152815,12294.514624643833
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,16532.94427184466,13833.940873786407,26613.65155339806
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,5800.31661579426,5167.186582673075,7356.890472788674
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,8342.442835044298,5417.253550836732,10382.114095532743
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,10,1,18062.243743814506,16235.787925915452,26853.636080870918
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,268215.11021897814,231487.300729927,357269.4686131387
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,10,1,76499.13711072665,64905.83823529412,92764.16955017301
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,152415.86927710843,108989.19397590362,256686.14457831325
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,142450.78535031847,121369.07898089172,147125.83439490446
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,10,1,343665.5414110429,229420.8389570552,565590.2975460123
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,10,1,85639.4443319838,68869.08451417004,108941.99696356275
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,154564.34807692308,137326.16923076924,207662.33
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,81691.77254283137,67424.71370604148,85340.41749323715
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,57255.88562808557,45586.89632473944,70686.94075699396
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,34265.58395004625,31520.40255935862,58842.67267961764
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,48482.926591883865,40839.00428901353,68941.24447377103
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,c-tile,10,1,122.3745365,92.230152,138.472965
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,c-tile,10,1,104.7813045,99.375717,179.606822
packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,c-tile,10,1,84.2827695,75.78965,129.47502
packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,c-tile,10,1,62.7584585,60.261726,67.046734
