case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,609.14485931396484,571.25322723388672,632.23115539550781
axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1453.14599609375,1328.8507690429688,1482.6538162231445
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1441.5180435180664,1360.9283676147461,1468.9956436157227
scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,930.61230850219727,886.27153778076172,1034.3286666870117
nrm2+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,1278.2196159362793,1161.410026550293,1296.2234573364258
asum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,265.42910385131836,255.18097496032715,276.29791831970215
sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
iamax+64+uniform,ok,direct,arithmetic,vendor-cblas,10,1,53.964671500000001,53.002980999999998,55.638102000000003
iamax+128+uniform,ok,direct,arithmetic,vendor-cblas,10,1,71.372901500000012,65.433813000000001,73.910428999999993
iamax+256+uniform,ok,direct,arithmetic,vendor-cblas,10,1,92.595183500000005,82.947391999999994,115.64145000000001
iamax+512+uniform,ok,direct,arithmetic,vendor-cblas,10,1,151.538352,144.14115200000001,159.47584599999999
iamax+1024+uniform,ok,direct,arithmetic,vendor-cblas,10,1,181.20224400000001,176.594191,219.99837400000001
iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,330.5437183380127,324.25516510009766,343.8939380645752
iamax+65536+uniform,ok,direct,arithmetic,vendor-cblas,10,1,5087.7190551757812,4961.3850402832031,5267.2393798828125
swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2783.1623077392578,2748.270751953125,2840.0879364013672
rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3085.0821990966797,2716.5353851318359,4031.8226623535156
rotm+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2995.2964859008789,2618.541259765625,3150.5604553222656
rotmg+1+uniform,ok,direct,arithmetic,vendor-cblas,10,1,44.355084500000004,42.838898999999998,45.246473999999999
ssqd+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
dot4+4096+uniform,ok,composed,arithmetic,vendor-cblas,10,1,2435.1478958129883,2198.0283203125,2536.1030426025391
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,3435.4642944335938,3414.1697387695312,3558.5241088867188
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,2071.9909896850586,2057.3119201660156,2175.8697052001953
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,120.42177649999999,117.508375,129.45415
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,406.13117218017578,402.04184341430664,438.48993682861328
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1020.142276763916,1002.2210464477539,1058.8460235595703
ger+129x31+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1168.5824089050293,1139.6131820678711,1298.4768829345703
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,4252.3254089355469,4231.3686828613281,4428.3333129882812
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,4567.0041656494141,4416.8563842773438,5572.2488403320312
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1046.484748840332,1042.4021301269531,1063.8766403198242
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,982.57070159912109,980.13460540771484,990.25619506835938
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1472.7210578918457,1460.9181747436523,1532.9930953979492
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,47805.863525390625,47331.496337890625,48321.866455078125
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,13903.576965332031,13503.151977539062,14696.985595703125
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,26452.70947265625,25235.14013671875,26957.7724609375
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,29086.254638671875,28704.101318359375,29605.86767578125
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,17638.527038574219,17003.716064453125,17937.8017578125
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,17393.3564453125,16436.595947265625,18146.016845703125
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,29510.239868164062,29019.726806640625,32662.859130859375
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2275.4338302612305,2173.4619903564453,2385.5037841796875
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,4328.253173828125,4295.6752014160156,4841.7926635742188
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,5114.0769500732422,2718.395263671875,6147.8528747558594
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2704.7951431274414,2647.9084777832031,2901.0802612304688
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,226.11338043212891,224.93965911865234,244.01638984680176
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,241.8152437210083,219.59137535095215,266.2326602935791
packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas,10,1,293.39823055267334,288.24328422546387,298.81974411010742
packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas,10,1,494.3701868057251,394.3762321472168,642.89878463745117
gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas,10,1,548.21431159973145,452.83496856689453,822.88713836669922
gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas,10,1,480.38812637329102,433.96258544921875,560.92112731933594
gemm-tile+8x4x32+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,290.29888820648193,247.8764476776123,488.61886596679688
gemm-tile+7x2x31+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,482.73249053955078,265.03385543823242,594.59635543823242
packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas,10,1,487.60148239135742,442.1496753692627,649.98220062255859
packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas,10,1,465.13598251342773,338.62013626098633,548.92880249023438
gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas,10,1,575.5449161529541,479.91627502441406,776.20099639892578
gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas,10,1,803.59660911560059,509.35311889648438,1140.3135643005371
pack-left+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-left+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-right+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-right+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-left-padding+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-left-padding+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-right-padding+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-right-padding+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-left+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-left+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-left+8x8+uniform+packed=8x4+uplo=L,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-right+4x4+uniform+packed=8x4+uplo=U,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-left+8x8+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-right+4x4+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-right+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-right+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-left-padding+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-left-padding+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-right-padding+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-right-padding+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
spdot+4096+sparse-uniform+density=0.01,ok,direct,arithmetic,vendor-cblas,10,1,41.038920000000005,35.515932999999997,57.200263999999997
spdot-raw+64+sparse-uniform+density=0.125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot-raw+4096+sparse-uniform+density=0.0625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot-raw+65536+sparse-uniform+density=0.015625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot-raw+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot-sparse+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spaxpy+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,864.92757797241211,793.43871307373047,928.79505920410156
spaxpy-raw+64+sparse-uniform+density=0.125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spaxpy-raw+4096+sparse-uniform+density=0.0625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spaxpy-raw+65536+sparse-uniform+density=0.015625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spaxpy-raw+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spnrm2+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spnrm2-indexed+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spnrm2-indexed+4096+sparse-uniform+density=0.5,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spnrm2-indexed+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spasum+4096+sparse-uniform+density=0.01,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spscatter+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,861.61152267456055,779.67537689208984,1009.3800048828125
spscatter-raw+64+sparse-uniform+density=0.125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spscatter-raw+4096+sparse-uniform+density=0.0625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spscatter-raw+65536+sparse-uniform+density=0.015625,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spscatter-raw+262144+sparse-uniform+density=0.03125,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spgather+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,947.35080718994141,880.68963623046875,985.42119598388672
spgather-zero+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,879.20845794677734,806.50981903076172,919.13240051269531
spgemv+257x129+sparse-uniform+density=0.01+mode=prepared,ok,direct,prepared,vendor-cblas,10,1,948.31645584106445,914.11466217041016,1002.1656494140625
spgemv+257x129+sparse-uniform+density=0.01+mode=oneshot,ok,direct,oneshot,vendor-cblas,10,1,3491.2534332275391,2283.8277893066406,4355.3809204101562
spmm+257x8x129+sparse-uniform+density=0.01+mode=prepared,ok,direct,prepared,vendor-cblas,10,1,2658.7261505126953,2525.2145385742188,3071.5380859375
spmm+257x8x129+sparse-uniform+density=0.01+mode=oneshot,ok,direct,oneshot,vendor-cblas,10,1,4127.9786529541016,3913.2028198242188,5129.3014221191406
spgemm+129x97x65+sparse-uniform+density=0.01+mode=prepared,ok,partial,prepared,vendor-cblas,10,1,2937.5892639160156,2793.1510620117188,3266.8171844482422
spgemm+129x97x65+sparse-uniform+density=0.01+mode=oneshot,ok,partial,oneshot,vendor-cblas,10,1,3558.4735870361328,3319.8331909179688,4371.1670837402344
spsymv+129+sparse-triangular+density=0.02+mode=oneshot+uplo=L,ok,direct,oneshot,vendor-cblas,10,1,1963.8776779174805,1868.4541168212891,2330.9632110595703
spsymm+129x8+sparse-triangular+density=0.02+mode=oneshot+side=L+uplo=L,ok,direct,oneshot,vendor-cblas,10,1,11191.843383789062,9288.7626953125,12673.598999023438
sptrsv+129+sparse-triangular+density=0.02+mode=oneshot+uplo=L+transA=N+diag=N,ok,direct,oneshot,vendor-cblas,10,1,2002.5784301757812,1860.6610717773438,4234.4036560058594
sptrmv+129+sparse-triangular+density=0.02+mode=oneshot+uplo=U+transA=T+diag=U,ok,direct,oneshot,vendor-cblas,10,1,4645.9413299560547,3598.5763549804688,5033.1011047363281
sptrsm+129x8+sparse-triangular+density=0.02+mode=oneshot+side=L+uplo=L+transA=N+diag=N,ok,direct,oneshot,vendor-cblas,10,1,8666.9194946289062,5901.8422241210938,9628.8077392578125
sptrmm+129x8+sparse-triangular+density=0.02+mode=oneshot+side=L+uplo=U+transA=T+diag=U,ok,direct,oneshot,vendor-cblas,10,1,14813.662536621094,13925.572875976562,15733.902709960938
spsyrk-dense+129x65+sparse-uniform+density=0.02+uplo=U,ok,direct,oneshot,vendor-cblas,10,1,12505.45654296875,10790.935668945312,16992.853881835938
spsyrk-sparse+129x65+sparse-uniform+density=0.02+uplo=L,ok,partial,oneshot,vendor-cblas,10,1,12462.244018554688,9159.1080322265625,17921.480346679688
spadd+129x65+sparse-uniform+density=0.02,ok,partial,oneshot,vendor-cblas,10,1,11791.381896972656,8416.6148681640625,14722.693359375
sparse-slices-scatter+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-scatter-checked+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-gather+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-gather-clear+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-clear+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-clear-local+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-reduce-dot-checked+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-reduce-dot-local+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-reduce-dot-unchecked+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-max+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
sparse-slices-filter+512+sparse-uniform+density=0.25,unsupported,unsupported,sparse-slices,unavailable,0,0,,,
gemm+257x3x1+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,521.3245735168457,383.56949615478516,618.63754653930664
gemm+3x257x33+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,6602.1802368164062,5645.2954711914062,6942.6193237304688
gemm+127x5x65+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,6510.6126098632812,5736.931640625,6831.6416625976562
trsm+65x1+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1804.3212432861328,1394.9998626708984,2241.7674713134766
trsm+65x33+triangular+side=L+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,8291.5888061523438,7016.529052734375,10089.960693359375
gemm-block+15x7x31+uniform+packed=4x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,726.82988357543945,555.6209716796875,954.04830932617188
gemm-block+15x7x31+uniform+packed=4x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+32x16x65+uniform+packed=4x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,2563.7642974853516,2096.5343627929688,3177.72021484375
gemm-block+32x16x65+uniform+packed=4x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+15x7x31+uniform+packed=8x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,811.22094917297363,432.06646347045898,952.61599349975586
gemm-block+15x7x31+uniform+packed=8x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+32x16x65+uniform+packed=8x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,1668.371940612793,1612.3611907958984,1713.7059936523438
gemm-block+32x16x65+uniform+packed=8x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+64x64x31+uniform+packed=4x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,6486.6709747314453,5775.4945068359375,10402.039916992188
gemm-block+64x64x31+uniform+packed=4x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+64x64x31+uniform+packed=8x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,7785.8773498535156,5982.5021362304688,8728.1378784179688
gemm-block+64x64x31+uniform+packed=8x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+64x64x32+uniform+packed=4x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,7573.4817810058594,6774.793212890625,9149.501220703125
gemm-block+64x64x32+uniform+packed=4x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+64x64x32+uniform+packed=8x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,9034.7107543945312,7463.2379760742188,10543.425903320312
gemm-block+64x64x32+uniform+packed=8x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+64x64x33+uniform+packed=4x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,8015.3506774902344,7660.1607055664062,9824.7589111328125
gemm-block+64x64x33+uniform+packed=4x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+64x64x33+uniform+packed=8x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,9001.1360168457031,7302.7093505859375,11507.879028320312
gemm-block+64x64x33+uniform+packed=8x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+64x64x63+uniform+packed=4x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,13026.41015625,11650.760986328125,14008.078125
gemm-block+64x64x63+uniform+packed=4x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+64x64x63+uniform+packed=8x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,16757.427978515625,14710.046875,19498.863647460938
gemm-block+64x64x63+uniform+packed=8x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+64x64x64+uniform+packed=4x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,16976.296813964844,14609.228149414062,19714.38671875
gemm-block+64x64x64+uniform+packed=4x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+64x64x64+uniform+packed=8x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,17104.479736328125,15170.0283203125,19464.288696289062
gemm-block+64x64x64+uniform+packed=8x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+64x64x65+uniform+packed=4x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,18004.472412109375,16057.526000976562,22130.40625
gemm-block+64x64x65+uniform+packed=4x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+64x64x65+uniform+packed=8x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,14615.929138183594,11482.140502929688,20783.426879882812
gemm-block+64x64x65+uniform+packed=8x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+128x128x64+uniform+packed=4x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,82438.261962890625,47170.109375,159922.033203125
gemm-block+128x128x64+uniform+packed=4x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
gemm-block+128x128x64+uniform+packed=8x4+timing=prepacked-compute,ok,direct,prepacked-compute,vendor-cblas,10,1,42607.244750976562,42410.05126953125,47025.107421875
gemm-block+128x128x64+uniform+packed=8x4+timing=pack-plus-compute,unsupported,unsupported,pack-plus-compute,unavailable,0,0,,,
