case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,1077.7583084106445,818.78809356689453,1115.3777160644531
axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1585.1877212524414,1526.436767578125,2181.0119171142578
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2078.2327346801758,1392.0299072265625,2227.5996856689453
scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,1730.6084823608398,1460.7789001464844,2080.3984985351562
nrm2+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,2274.5297470092773,1850.1855163574219,2627.7338409423828
asum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,282.47125816345215,245.73175811767578,302.1118106842041
sum+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,305.17022895812988,276.64005851745605,346.70355033874512
compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
iamax+64+uniform,ok,direct,arithmetic,vendor-cblas,10,1,51.789617999999997,46.842230000000001,62.418109999999999
iamax+128+uniform,ok,direct,arithmetic,vendor-cblas,10,1,84.650630000000007,70.178680999999997,118.480175
iamax+256+uniform,ok,direct,arithmetic,vendor-cblas,10,1,123.7570235,113.16702100000001,139.62978100000001
iamax+512+uniform,ok,direct,arithmetic,vendor-cblas,10,1,324.52814960479736,260.01560974121094,360.98334312438965
iamax+1024+uniform,ok,direct,arithmetic,vendor-cblas,10,1,425.13972663879395,371.01151275634766,456.58149337768555
iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas,10,1,937.84580993652344,788.25696563720703,1366.4176788330078
iamax+65536+uniform,ok,direct,arithmetic,vendor-cblas,10,1,16510.100280761719,14493.43603515625,18024.418579101562
swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,4903.1307373046875,4181.7061462402344,5052.9067993164062
rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3710.7205047607422,3182.1950073242188,4162.0896606445312
rotm+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,8772.440673828125,5973.928955078125,10173.997863769531
rotmg+1+uniform,ok,direct,arithmetic,vendor-cblas,10,1,73.095843000000002,57.383229,78.301474999999996
ssqd+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
dot4+4096+uniform,ok,composed,arithmetic,vendor-cblas,10,1,3889.5348281860352,3528.7940673828125,4518.5156097412109
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,5793.9085083007812,4909.9738159179688,6857.8113098144531
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,10,1,2949.6271820068359,2254.1998291015625,3407.3927612304688
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,232.46809005737305,170.09237670898438,302.22203826904297
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,836.61532592773438,542.63100433349609,1088.2614974975586
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3143.5433349609375,2523.6069030761719,3236.1562805175781
ger+129x31+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2158.4296569824219,1817.0768280029297,2420.8255004882812
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,6569.7302551269531,5744.6414184570312,7181.599365234375
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,9759.5113525390625,8453.2145385742188,11792.614440917969
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3479.3979339599609,2779.2591857910156,4105.1612548828125
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3051.4333114624023,2453.2545318603516,4411.8677978515625
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2847.2312698364258,2385.6505584716797,4611.9151153564453
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,80691.28662109375,77192.3818359375,98701.634765625
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,25409.568603515625,21812.337158203125,32435.332763671875
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,33479.977783203125,31720.755126953125,35862.59619140625
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,32833.147338867188,30931.96484375,37325.08251953125
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,28967.933959960938,26943.193359375,33970.6201171875
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,28464.072631835938,23246.4541015625,35172.20263671875
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,34018.112060546875,30333.0341796875,66831.474609375
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,6944.3084106445312,4685.9564208984375,9421.452880859375
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,6601.7200012207031,5259.58837890625,8838.9883422851562
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,2702.0941925048828,2464.6954040527344,3449.3015441894531
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,10,1,3249.9894638061523,2802.9733428955078,3806.7906494140625
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,257.64886093139648,211.16867637634277,289.94822883605957
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,192.209397315979,189.51805686950684,213.04684448242188
packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas,10,1,229.82489395141602,198.80082130432129,272.50860595703125
packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas,10,1,199.55627059936523,187.41848564147949,202.73727226257324
gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas,10,1,344.59639549255371,341.80930519104004,354.7705135345459
gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas,10,1,294.88316059112549,288.02696228027344,318.2533016204834
gemm-tile+8x4x32+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,275.22954559326172,243.53692436218262,326.06705474853516
gemm-tile+7x2x31+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas,10,1,242.82597541809082,229.09052085876465,256.27292251586914
packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas,10,1,255.54220485687256,248.79012680053711,263.32165145874023
