elapsed_s,cpu_percent
1.010,5.01
2.011,4.01
3.012,4.28
4.013,20.33
5.013,17.71
6.014,7.85
7.014,7.84
8.015,12.06
9.016,8.83
10.016,7.59
11.017,9.59
12.018,17.48
13.018,7.68
14.019,7.21
15.019,9.28
16.020,17.86
17.021,11.68
18.021,9.80
19.022,7.47
20.023,7.78
21.023,10.97
22.024,8.07
23.025,8.93
24.025,10.62
25.026,8.73
26.027,14.58
27.028,15.26
28.029,8.79
29.030,8.49
30.030,8.54
31.031,9.20
32.031,7.42
33.032,7.56
34.033,9.73
35.033,7.07
36.034,8.06
37.035,8.73
38.035,11.97
39.036,7.47
40.036,10.28
41.037,7.22
42.037,9.00
43.038,8.95
44.038,8.38
45.039,7.56
46.040,7.39
47.040,10.14
48.041,7.82
49.042,10.88
50.042,10.46
51.043,8.85
52.044,9.17
53.044,10.75
54.045,8.02
55.046,8.86
56.046,9.87
57.047,7.20
58.047,7.60
59.048,9.86
60.048,8.53
61.049,7.06
62.049,8.81
63.050,9.10
64.051,7.82
65.051,8.77
66.052,22.04
67.052,8.07
68.053,7.52
69.053,8.94
70.054,7.12
71.054,7.61
72.055,9.90
73.056,7.47
74.056,7.92
75.057,8.68
76.058,9.71
77.058,7.63
78.059,7.75
79.060,10.47
80.061,9.26
81.061,7.86
82.062,14.04
83.062,9.59
84.063,9.38
85.064,15.14
86.064,17.29
87.065,9.18
88.065,9.60
89.066,8.02
90.066,7.63
91.067,8.30
92.068,9.89
93.068,10.49
94.069,11.81
95.069,13.53
96.070,11.06
97.070,8.43
98.071,10.40
99.071,8.06
100.072,7.86
101.073,9.67
102.073,9.15
103.074,8.99
104.074,9.19
105.075,8.22
106.075,7.28
107.076,8.48
108.076,12.51
109.077,9.08
110.077,12.51
111.078,11.47
112.079,11.94
113.079,8.27
114.080,11.69
115.080,16.02
116.081,10.04
117.081,10.41
118.082,14.09
119.082,23.22
120.083,13.21
121.083,8.95
122.084,9.19
123.084,7.02
124.085,7.97
125.086,5.81
126.086,5.68
127.087,9.97
128.087,7.53
129.088,7.46
130.088,29.93
131.089,7.82
132.089,10.26
133.090,11.83
134.090,13.50
135.091,7.98
136.091,8.45
137.092,9.04
138.092,7.70
139.093,7.71
140.093,9.68
141.094,7.78
142.094,8.03
143.095,10.02
144.095,7.38
145.096,7.88
146.096,10.67
147.097,8.99
148.097,7.12
149.098,8.71
150.098,7.53
151.099,7.56
152.099,8.25
153.100,7.99
154.100,7.02
155.101,6.97
156.101,8.70
157.102,7.07
158.102,6.96
159.103,8.78
160.103,7.02
161.104,6.86
162.104,9.44
163.105,7.37
164.105,8.82
165.106,9.27
166.106,7.93
167.107,7.02
168.107,8.08
169.108,9.03
170.108,7.17
171.109,7.05
172.109,9.69
173.110,7.16
174.110,6.88
175.111,8.80
176.111,7.47
177.112,8.78
178.112,9.69
179.113,7.41
180.113,7.02
181.114,8.83
182.114,8.78
183.115,7.27
184.115,7.91
185.116,9.03
186.116,6.76
187.117,6.81
188.118,12.07
189.118,7.26
190.119,9.82
191.119,9.21
192.120,7.72
193.120,7.87
194.121,9.90
195.121,8.28
196.122,10.18
197.122,12.35
198.123,7.94
199.123,8.23
200.124,8.89
201.124,9.64
202.125,8.39
203.125,8.18
204.126,10.34
205.127,7.53
206.127,7.77
207.128,11.40
208.128,7.47
209.129,8.68
210.129,10.08
211.130,8.02
212.130,7.48
213.131,10.01
214.131,9.03
215.132,7.87
216.132,8.35
217.133,8.54
218.133,8.12
219.134,13.24
220.134,9.99
221.135,8.43
222.136,7.96
223.136,9.93
224.137,7.92
225.137,7.47
226.138,9.49
227.138,7.87
228.139,7.72
229.140,9.79
230.140,8.47
231.141,10.52
232.141,8.82
233.142,9.53
234.142,9.08
235.143,7.06
236.143,9.28
237.144,7.16
238.144,7.32
239.145,9.27
240.145,7.06
241.145,7.25
242.146,8.62
243.146,7.26
244.147,7.16
245.147,9.33
246.148,8.73
247.148,6.97
248.149,7.75
249.150,7.68
250.150,9.74
251.151,7.22
252.151,8.78
253.152,7.11
254.152,8.45
255.153,8.94
256.153,7.02
257.154,7.72
258.155,10.37
259.155,7.78
260.156,7.26
261.156,8.81
262.157,8.08
263.157,7.21
264.158,7.52
265.158,9.38
266.159,7.16
267.159,7.67
268.160,8.74
269.160,6.92
270.161,7.16
271.161,8.84
272.162,7.06
273.162,7.82
274.163,9.08
275.163,7.04
276.163,7.15
277.164,9.02
278.164,7.38
279.165,7.06
280.165,6.96
281.166,8.58
282.166,7.05
283.167,11.79
284.167,9.74
285.168,7.68
286.168,7.62
287.169,9.06
288.169,7.47
289.170,7.70
290.170,9.68
291.171,7.57
292.171,7.87
293.172,9.79
294.172,9.95
295.173,7.55
296.174,7.42
297.174,9.39
298.175,7.57
299.175,7.52
300.176,9.24
301.177,7.36
302.177,8.37
303.178,9.79
304.179,7.84
305.179,7.42
306.180,9.49
307.180,9.27
308.181,8.27
309.182,10.30
310.182,9.90
311.183,11.08
312.183,7.93
313.184,9.65
314.185,9.06
315.185,9.01
316.186,10.61
317.187,7.72
318.187,6.92
319.188,8.72
320.188,12.44
321.189,7.42
322.189,8.97
323.190,7.11
324.190,7.56
325.190,7.16
326.191,11.39
327.191,8.49
328.192,7.51
329.192,9.19
330.193,8.44
331.193,8.19
332.194,9.62
333.194,7.73
334.195,7.51
335.195,9.17
336.196,7.68
337.196,7.57
338.197,8.33
339.197,8.63
340.198,7.72
341.198,7.47
342.198,10.20
343.199,7.72
344.199,8.27
345.200,9.14
346.200,7.38
347.201,9.90
348.202,10.36
349.202,7.37
350.203,8.08
351.204,10.66
352.204,8.73
353.205,7.51
354.205,7.80
355.205,9.09
356.206,8.39
357.206,8.22
358.207,9.14
359.207,7.68
360.208,7.47
361.208,9.08
362.209,7.68
363.209,7.78
364.209,9.55
365.210,7.48
366.210,7.93
367.211,9.55
368.211,7.82
369.212,10.82
370.212,10.76
371.213,11.91
372.213,14.21
373.214,8.87
374.214,9.60
375.215,10.97
376.215,8.68
377.216,9.03
378.216,6.87
379.216,6.81
380.217,8.61
381.217,7.73
382.218,7.83
383.218,8.47
384.219,8.23
385.219,8.47
386.220,6.80
387.220,9.43
388.221,6.81
389.221,7.11
390.222,9.39
391.222,7.03
392.223,10.75
393.223,8.93
394.223,6.96
395.224,6.72
396.224,8.48
397.225,7.02
398.225,6.66
399.225,7.80
400.226,7.63
401.226,6.73
402.227,7.05
403.227,8.94
404.228,7.32
405.228,7.36
406.228,9.64
407.229,6.71
408.229,6.71
409.230,10.39
410.230,7.02
411.231,6.62
412.231,8.21
413.231,9.45
414.232,7.07
415.232,6.66
416.233,8.58
417.233,6.91
418.234,6.80
419.234,8.86
420.234,7.73
421.235,6.95
422.235,8.38
423.235,6.82
424.236,6.91
425.236,8.65
426.237,7.72
427.237,6.87
428.238,6.67
429.238,8.89
430.239,8.03
431.239,7.71
432.239,10.98
433.240,6.96
434.240,7.28
435.241,8.83
436.241,6.81
437.242,7.86
438.242,8.34
439.242,6.82
440.243,7.81
441.243,8.12
442.244,8.52
443.244,7.34
444.244,6.66
445.245,8.69
446.245,7.47
447.246,11.74
448.246,10.20
449.247,6.70
450.247,6.75
451.247,10.16
452.248,7.43
453.248,7.18
454.249,7.37
455.249,8.58
456.250,8.94
457.250,6.89
458.250,8.87
459.251,6.87
460.251,6.71
461.252,8.34
462.252,6.82
463.253,6.86
464.253,8.97
465.253,6.71
466.254,6.72
467.254,8.72
468.255,6.87
469.255,6.86
470.256,6.74
471.256,8.48
472.256,6.97
473.257,6.61
474.257,10.64
475.258,6.87
476.258,6.71
477.258,10.48
478.259,7.26
479.259,6.91
480.260,7.73
481.260,8.08
482.260,7.66
483.261,6.80
484.261,8.68
485.262,6.92
486.262,6.67
487.262,9.19
488.263,6.93
489.263,6.71
490.264,8.39
491.264,7.26
492.265,8.53
493.265,9.29
494.265,7.42
495.266,7.12
496.266,7.55
497.267,8.22
498.267,6.91
499.268,7.01
500.268,8.59
501.268,7.52
502.269,7.76
503.269,8.65
504.270,6.56
505.270,6.47
506.270,8.45
507.271,9.57
508.271,7.25
509.272,8.54
510.272,7.06
511.273,6.87
512.273,7.51
513.274,11.06
514.274,7.01
515.274,7.53
516.275,10.10
517.275,6.82
518.276,6.62
519.276,8.74
520.276,6.92
521.277,7.43
522.277,8.11
523.278,8.34
524.278,7.32
525.278,6.65
526.279,9.13
527.279,7.46
528.279,6.62
529.280,8.54
530.280,6.91
531.281,6.66
532.281,9.68
533.281,7.81
534.282,7.67
535.282,9.04
536.283,7.11
537.283,6.85
538.283,7.25
539.284,9.72
540.284,7.01
541.285,6.80
542.285,9.23
543.286,6.66
544.286,7.51
545.287,8.99
546.287,6.92
547.288,7.06
548.288,9.09
549.289,8.53
550.289,7.92
551.290,9.54
552.290,8.53
553.290,9.35
554.291,9.61
555.291,9.28
556.292,6.87
557.292,7.71
558.293,8.70
559.293,7.21
560.294,7.02
561.294,8.80
562.294,7.28
563.295,7.76
564.295,8.68
565.296,7.32
566.296,7.22
567.296,9.14
568.297,8.13
569.297,7.21
570.298,7.06
571.298,8.69
572.298,7.21
573.299,7.23
574.299,9.43
575.300,6.91
576.300,6.84
577.301,8.98
578.301,7.02
579.301,6.76
580.302,8.58
581.302,7.11
582.303,7.02
583.303,7.54
584.303,8.68
585.304,7.12
586.304,6.72
587.305,8.84
588.305,6.77
589.306,7.10
590.306,8.77
591.306,6.71
592.307,7.07
593.307,8.65
594.308,6.87
595.309,6.66
596.309,8.46
597.310,7.06
598.310,7.02
599.311,7.82
600.311,8.38
601.312,6.87
602.312,7.09
603.313,8.87
604.314,7.70
605.314,6.81
606.315,9.29
