run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-c/c/c-sparse/packed-4x4,1,ns,4651056efd0b86423730c3545912091ec2f5f3db,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy
sample,1,1,1,322217,200238308,621.4393033266401
sample,1,1,2,304846,200225263,656.807906287109
sample,1,1,3,294816,200223804,679.148363725171
sample,1,1,4,296243,200222712,675.8732256964721
sample,1,1,5,299424,200255879,668.8036997702255
sample,1,1,6,297122,200188939,673.760068254791
sample,1,1,7,310934,200293651,644.1677365614568
sample,1,1,8,303843,200274414,659.1378244685578
sample,1,1,9,297960,200144832,671.7171163914619
sample,1,1,10,299225,200194866,669.0445851783775
sample,1,2,11,293063,200183306,683.0726021367419
sample,1,2,12,313673,200234124,638.3530746988106
sample,1,2,13,307711,200173830,650.5254280802441
sample,1,2,14,299875,200236332,667.732661942476
sample,1,2,15,315127,200098006,634.975758979713
sample,1,2,16,311730,200185694,642.1765438039329
sample,1,2,17,304074,200147344,658.2191966429225
sample,1,2,18,307524,200172334,650.9161366267348
sample,1,2,19,300952,200187773,665.1817332996624
sample,1,2,20,311349,200287109,643.2881075577567
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,2,1,1,157127,200128713,1273.6748808288837
sample,2,1,2,151751,200152050,1318.950451726842
sample,2,1,3,147969,200114073,1352.405388966608
sample,2,1,4,160495,200195342,1247.3618617402412
sample,2,1,5,157775,200178304,1268.7580668673745
sample,2,1,6,159029,200249777,1259.2028938118206
sample,2,1,7,157974,200186420,1267.2111866509679
sample,2,1,8,157954,200150077,1267.1415538701142
sample,2,1,9,157167,200114463,1273.2600545916127
sample,2,1,10,158056,200131675,1266.2073885205243
sample,2,2,11,148353,200263306,1349.9107264430108
sample,2,2,12,151671,200105133,1319.336807959333
sample,2,2,13,152539,200141450,1312.0674057126375
sample,2,2,14,152903,200141451,1308.9439121534567
sample,2,2,15,164933,200206594,1213.8662002146325
sample,2,2,16,161846,200155822,1236.7053989595047
sample,2,2,17,156060,200232830,1283.050301166218
sample,2,2,18,166255,200275928,1204.631006586268
sample,2,2,19,163297,200153809,1225.7041403087626
sample,2,2,20,163060,200232670,1227.969275113455
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,3,1,1,171676,200252591,1166.456528577087
sample,3,1,2,172742,200285202,1159.4470481990484
sample,3,1,3,173744,200187650,1152.198924854959
sample,3,1,4,171931,200166360,1164.2249507069696
sample,3,1,5,169286,200201843,1182.6249246836715
sample,3,1,6,170087,200167724,1176.8549271843233
sample,3,1,7,170472,200270414,1174.799462668356
sample,3,1,8,170934,200209864,1171.2699872465396
sample,3,1,9,164832,200191933,1214.5210456707434
sample,3,1,10,160960,200243896,1244.0599900596421
sample,3,2,11,172598,200244495,1160.1785362518685
sample,3,2,12,171711,200182925,1165.8130521632277
sample,3,2,13,171027,200182188,1170.4712589240296
sample,3,2,14,171962,200119155,1163.7405647759388
sample,3,2,15,164361,200195561,1218.023503142473
sample,3,2,16,161002,200259714,1243.8337039291437
sample,3,2,17,160586,200146766,1246.3525213904077
sample,3,2,18,160850,200193318,1244.596319552378
sample,3,2,19,174884,200254913,1145.0728082614762
sample,3,2,20,172404,200157657,1160.9803542841235
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,4,1,1,216919,200186836,922.8644609278118
sample,4,1,2,215499,200269534,929.3292961916296
sample,4,1,3,213725,200239134,936.9008492221312
sample,4,1,4,213684,200129143,936.565877651111
sample,4,1,5,216116,200191336,926.3142756667716
sample,4,1,6,214423,200162507,933.493641073952
sample,4,1,7,212689,200165714,941.1192586358486
sample,4,1,8,212209,200240436,943.6001112111173
sample,4,1,9,213788,200221466,936.5421164892323
sample,4,1,10,213496,200255300,937.9815078502642
sample,4,2,11,208868,200138873,958.2074468085107
sample,4,2,12,208554,200180177,959.8481784094288
sample,4,2,13,207381,200193127,965.3397707600985
sample,4,2,14,206653,200179627,968.6751559377313
sample,4,2,15,207838,200194464,963.2235876018823
sample,4,2,16,207234,200188223,966.0008637578776
sample,4,2,17,208224,200283570,961.8659232365145
sample,4,2,18,207782,200153849,963.2877198217362
sample,4,2,19,207154,200218298,966.5191017310793
sample,4,2,20,207545,200144224,964.3413428413115
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy
sample,5,1,1,731926,200261704,273.6092227902821
sample,5,1,2,788926,200181358,253.73908072493492
sample,5,1,3,758296,200145610,263.9412709548778
sample,5,1,4,754711,200197992,265.26444162069987
sample,5,1,5,775513,200160935,258.1013277662657
sample,5,1,6,765645,200135636,261.3948187475919
sample,5,1,7,753503,200199189,265.6912965177312
sample,5,1,8,702415,200123279,284.9074678074927
sample,5,1,9,773107,200192917,258.94593762571026
sample,5,1,10,737520,200092661,271.30472529558523
sample,5,2,11,732913,200278024,273.26302576158423
sample,5,2,12,764203,200176878,261.9420206411124
sample,5,2,13,736158,200146436,271.87972690645216
sample,5,2,14,727732,200220767,275.1298101498903
sample,5,2,15,776541,200268666,257.898380124166
sample,5,2,16,767586,200127737,260.72353716717083
sample,5,2,17,760485,200197130,263.2492817083835
