run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-scalar/scalar/scalar/packed-4x4,1,ns,db65fbb3fdf9fcb1ea032284c73b78082bdec4bc,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy
sample,1,1,1,114621,200249065,1747.0538993727153
sample,1,1,2,115321,200111755,1735.2585825651877
sample,1,1,3,116156,200171072,1723.2951547918317
sample,1,1,4,117629,200214675,1702.0860077021823
sample,1,1,5,115687,200169648,1730.2691572951153
sample,1,1,6,116233,200220235,1722.5765058116026
sample,1,1,7,112965,200136344,1771.666834860355
sample,1,1,8,110579,200178786,1810.2784977256078
sample,1,1,9,106408,200098883,1880.4872096083002
sample,1,1,10,113959,200263389,1757.32841636027
sample,1,2,11,113628,200235570,1762.2027141197593
sample,1,2,12,114190,200223938,1753.4279534109817
sample,1,2,13,114508,200127862,1747.7194781150663
sample,1,2,14,114004,200174448,1755.8546015929267
sample,1,2,15,114214,200197395,1752.8271052585496
sample,1,2,16,113521,200178204,1763.358356603624
sample,1,2,17,114571,200277837,1748.067460352096
sample,1,2,18,114894,200187213,1742.3643793409578
sample,1,2,19,112950,200253311,1772.937680389553
sample,1,2,20,110975,200231012,1804.2893624690246
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,2,1,1,146419,200250272,1367.6522309263141
sample,2,1,2,149124,200250165,1342.8433049006196
sample,2,1,3,159482,200176956,1255.1695865364115
sample,2,1,4,149197,200150942,1341.521223617097
sample,2,1,5,150371,200179609,1331.2381310226042
sample,2,1,6,147057,200194484,1361.3393718082104
sample,2,1,7,161730,200175460,1237.7138440610895
sample,2,1,8,158104,200164268,1266.0291200728634
sample,2,1,9,157331,200177693,1272.334714709752
sample,2,1,10,156006,200110303,1282.7090176018871
sample,2,2,11,143878,200112326,1390.847287285061
sample,2,2,12,158071,200176667,1266.371864541883
sample,2,2,13,130475,200162347,1534.1049779651273
sample,2,2,14,136051,200153563,1471.1656878670499
sample,2,2,15,139239,200146757,1437.4331688679179
sample,2,2,16,143055,200192646,1399.410338680927
sample,2,2,17,146446,200197311,1367.0384373762342
sample,2,2,18,146175,200163722,1369.343061399008
sample,2,2,19,144943,200181272,1381.1034130658259
sample,2,2,20,146833,200249429,1363.7903536670913
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,3,1,1,147503,200161962,1357.0026507935431
sample,3,1,2,149184,200208152,1342.0216108966108
sample,3,1,3,146160,200165722,1369.4972769567596
sample,3,1,4,146875,200173743,1362.8850587234042
sample,3,1,5,148688,200186237,1346.3509967179598
sample,3,1,6,146052,200210655,1370.8176197518692
sample,3,1,7,159629,200223590,1254.3058592110456
sample,3,1,8,155445,200142140,1287.5431181446813
sample,3,1,9,149413,200211915,1339.989927248633
sample,3,1,10,146592,200166322,1365.4655233573455
sample,3,2,11,146542,200370595,1367.325374295424
sample,3,2,12,145575,200194318,1375.1971011506096
sample,3,2,13,146613,200182935,1365.3832538724396
sample,3,2,14,147365,200268921,1358.9992264106131
sample,3,2,15,145481,200225960,1376.3031598628
sample,3,2,16,146391,200189871,1367.5012193372543
sample,3,2,17,146635,200204189,1365.3233470863026
sample,3,2,18,146999,200211408,1361.99163259614
sample,3,2,19,147274,200198239,1359.3590110949658
sample,3,2,20,146947,200189456,1362.3242121309042
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,4,1,1,205061,200193845,976.2648431442351
sample,4,1,2,202914,200169426,986.4742008929892
sample,4,1,3,203032,200101805,985.5678168958588
sample,4,1,4,198254,200100083,1009.311706195083
sample,4,1,5,205955,200097484,971.5592435240708
sample,4,1,6,187849,200095134,1065.191371793302
sample,4,1,7,189098,200124596,1058.3115421633227
sample,4,1,8,201263,200093160,994.18750590024
sample,4,1,9,204000,200104139,980.9026421568627
sample,4,1,10,199220,200101400,1004.4242545929123
sample,4,2,11,192587,200260649,1039.8451037712825
sample,4,2,12,199800,200203510,1002.0195695695696
sample,4,2,13,212473,200163778,942.066888498774
sample,4,2,14,210944,200142749,948.7956471859831
sample,4,2,15,198186,200166377,1009.9925171303724
sample,4,2,16,196376,200158853,1019.2633162911965
sample,4,2,17,195684,200243567,1023.3006633143231
sample,4,2,18,198789,200201718,1007.1066205876583
sample,4,2,19,198004,200269822,1011.4433142764792
sample,4,2,20,198012,200228610,1011.1943215562693
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy
sample,5,1,1,119083,200246808,1681.5734235785126
sample,5,1,2,118254,200166649,1692.6839599506147
sample,5,1,3,117703,200179735,1700.7190555890675
sample,5,1,4,116238,200147863,1721.8797897417369
sample,5,1,5,116329,200160939,1720.645230338093
sample,5,1,6,115377,200156196,1734.8015289009074
sample,5,1,7,116326,200176866,1720.8265220157145
sample,5,1,8,117695,200162761,1700.6904371468627
sample,5,1,9,115892,200119948,1726.7796569219618
sample,5,1,10,117920,200079951,1696.7431394165535
sample,5,2,11,117464,200351981,1705.6458234012123
sample,5,2,12,121538,200180818,1647.0636179631063
sample,5,2,13,119247,200203138,1678.894546613332
sample,5,2,14,118792,200156217,1684.9301047208567
sample,5,2,15,116253,200281379,1722.8061125304293
sample,5,2,16,118760,200160057,1685.4164449309533
sample,5,2,17,119062,200165276,1681.185231224068
sample,5,2,18,118041,200203643,1696.0517362611297
sample,5,2,19,118894,200188810,1683.7587262603663
sample,5,2,20,119858,200170776,1670.0660448197034
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy
sample,6,1,1,116034,200114196,1724.6168881534722
sample,6,1,2,98907,200271878,2024.8503948153316
sample,6,1,3,116987,200145199,1710.8328190311745
sample,6,1,4,117802,200155993,1699.088241286226
