run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,1,ns,4651056efd0b86423730c3545912091ec2f5f3db,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy
sample,1,1,1,354246,200159691,565.0302078216832
sample,1,1,2,354401,200146949,564.747133896349
sample,1,1,3,353978,200204288,565.5839854454232
sample,1,1,4,354679,200107211,564.192441616222
sample,1,1,5,354954,200192352,563.9951993779475
sample,1,1,6,355148,200152623,563.5752503181772
sample,1,1,7,355001,200099396,563.6586826515982
sample,1,1,8,351607,200186268,569.3466512327684
sample,1,1,9,351243,200175846,569.9070045524039
sample,1,1,10,353334,200191631,566.5790187188326
sample,1,2,11,356265,200158628,561.825124556159
sample,1,2,12,384552,200201317,520.6092205995548
sample,1,2,13,362847,200233090,551.8389017960739
sample,1,2,14,382094,200305736,524.2315660544264
sample,1,2,15,377751,200246317,530.1013551254663
sample,1,2,16,374325,200147134,534.6881292994055
sample,1,2,17,372066,200245163,538.197962189504
sample,1,2,18,374241,200159479,534.8411291119893
sample,1,2,19,373877,200202384,535.4765979185668
sample,1,2,20,374548,200148121,534.3724195563719
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,2,1,1,166637,200207586,1201.459375768887
sample,2,1,2,163309,200436353,1227.3441941350445
sample,2,1,3,166227,200195087,1204.3475909449128
sample,2,1,4,162934,200214137,1228.805141959321
sample,2,1,5,180032,200250487,1112.3049624511198
sample,2,1,6,175796,200143567,1138.4989817743294
sample,2,1,7,175103,200197849,1143.3147861544348
sample,2,1,8,169691,200267735,1180.1906701003588
sample,2,1,9,157663,200214638,1269.8898156193907
sample,2,1,10,178734,200245039,1120.3522497118622
sample,2,2,11,177425,200203446,1128.3835197970973
sample,2,2,12,177548,200153403,1127.3199529141416
sample,2,2,13,176882,200183508,1131.7347610271254
sample,2,2,14,169390,200181728,1181.7800814687998
sample,2,2,15,165127,200168030,1212.2065440539707
sample,2,2,16,165136,200179710,1212.2112077318088
sample,2,2,17,165619,200173720,1208.6398299711989
sample,2,2,18,164978,200102549,1212.9044418043618
sample,2,2,19,165120,200189866,1212.3901768410853
sample,2,2,20,165080,200169661,1212.5615519748
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,3,1,1,178233,200095606,1122.6630646401059
sample,3,1,2,177933,200099219,1124.5762112705345
sample,3,1,3,177756,200088040,1125.6331150565945
sample,3,1,4,176651,200091315,1132.6927953988372
sample,3,1,5,176949,200096958,1130.817116796365
sample,3,1,6,177291,200089633,1128.5944182163787
sample,3,1,7,177234,200132909,1129.2015583917307
sample,3,1,8,174967,200159482,1143.984191304646
sample,3,1,9,177113,200249188,1130.629530299865
sample,3,1,10,175474,200186514,1140.8329097188187
sample,3,2,11,175911,200131405,1137.6855625856256
sample,3,2,12,175502,200231028,1140.9045367004364
sample,3,2,13,169198,200185694,1183.1445643565526
sample,3,2,14,163811,200145807,1221.809322939241
sample,3,2,15,165296,200151612,1210.867849191753
sample,3,2,16,165843,200174016,1207.009135145891
sample,3,2,17,164739,200099115,1214.6432538743102
sample,3,2,18,165031,200113959,1212.584053905024
sample,3,2,19,164547,200236005,1216.89246841328
sample,3,2,20,165832,200193761,1207.2082649910753
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,4,1,1,162219,200147099,1233.8079941313904
sample,4,1,2,162224,200194207,1234.0603548180293
sample,4,1,3,161035,200175711,1243.0571676964635
sample,4,1,4,162966,200149877,1228.1695384313293
sample,4,1,5,161459,200241146,1240.1981060207236
sample,4,1,6,162501,200142548,1231.6388699146466
sample,4,1,7,163230,200186699,1226.408742265515
sample,4,1,8,163458,200311982,1225.464535232292
sample,4,1,9,163842,200187056,1221.829909302865
sample,4,1,10,160724,200168794,1245.4194395360992
sample,4,2,11,166146,200253543,1205.2865732548482
sample,4,2,12,166424,200152223,1202.6644173917223
sample,4,2,13,179578,200211518,1114.900032297943
sample,4,2,14,178521,200165503,1121.2434559519609
sample,4,2,15,169859,200241824,1178.8708517064154
