run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,native/c/c-sparse/packed-4x4,1,ns,4651056efd0b86423730c3545912091ec2f5f3db,true,kotlin-native-2.4.10,1,5,200000000,native-calibrated,50000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,policy
sample,1,1,1,299291,202723818,677.346856403968
sample,1,1,2,299291,202445509,676.4169620870657
sample,1,1,3,299291,203393082,679.5830212067854
sample,1,1,4,299291,202769256,677.498675202395
sample,1,1,5,299291,202577915,676.8593609563936
sample,1,1,6,299291,203164250,678.8184409153633
sample,1,1,7,299291,202857052,677.792021811548
sample,1,1,8,299291,205268237,685.8483449218319
sample,1,1,9,299291,201912453,674.6358995091733
sample,1,1,10,299291,204047594,681.769896187991
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,2,1,1,146340,198345752,1355.376192428591
sample,2,1,2,146340,198872723,1358.977196938636
sample,2,1,3,146340,197949665,1352.6695708623754
sample,2,1,4,146340,198539112,1356.6974989749897
sample,2,1,5,146340,204967499,1400.6252494191608
sample,2,1,6,146340,199042442,1360.136955036217
sample,2,1,7,146340,198972298,1359.6576329096624
sample,2,1,8,146340,198316952,1355.1793904605713
sample,2,1,9,146340,198420431,1355.886504031707
sample,2,1,10,146340,201609209,1377.676704933716
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,3,1,1,150084,200976860,1339.095839663122
sample,3,1,2,150084,202721019,1350.7170584472694
sample,3,1,3,150084,198477549,1322.4430918685537
sample,3,1,4,150084,198003129,1319.2820620452546
sample,3,1,5,150084,202317761,1348.03017643453
sample,3,1,6,150084,199282865,1327.8088603715253
sample,3,1,7,150084,199073753,1326.4155606193865
sample,3,1,8,150084,202091192,1346.520561818715
sample,3,1,9,150084,198398026,1321.9132352549238
sample,3,1,10,150084,198105408,1319.9635404173662
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,4,1,1,177038,202837971,1145.7312610851907
sample,4,1,2,177038,201497461,1138.159383861092
sample,4,1,3,177038,200342839,1131.637495904834
sample,4,1,4,177038,200549550,1132.8051039889742
sample,4,1,5,177038,201189509,1136.4199154983676
sample,4,1,6,177038,201249359,1136.7579785130877
sample,4,1,7,177038,202450064,1143.5401665179227
sample,4,1,8,177038,202482959,1143.7259740846598
sample,4,1,9,177038,201710599,1139.3632948858437
sample,4,1,10,177038,201250215,1136.7628136332312
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,policy
sample,5,1,1,299043,199458322,666.9887675016637
sample,5,1,2,299043,202029258,675.5859792738837
sample,5,1,3,299043,200163641,669.3473547282498
sample,5,1,4,299043,198781499,664.7254709188979
sample,5,1,5,299043,200856872,671.6655196744281
sample,5,1,6,299043,199217141,666.1822580699097
sample,5,1,7,299043,200137307,669.2592938139331
sample,5,1,8,299043,199885137,668.4160371585357
sample,5,1,9,299043,199008035,665.4830074604655
sample,5,1,10,299043,200626574,670.8954030022438
case,6,1,asum+4096+uniform,ok,direct,arithmetic,policy
sample,6,1,1,742956,246390693,331.63564598711093
sample,6,1,2,742956,241593774,325.17911424095104
sample,6,1,3,742956,244784285,329.47346141628844
sample,6,1,4,742956,242415525,326.2851703196421
sample,6,1,5,742956,241191128,324.6371629006294
sample,6,1,6,742956,240603857,323.8467109761547
sample,6,1,7,742956,242214003,326.0139268005104
sample,6,1,8,742956,241707172,325.3317450831543
sample,6,1,9,742956,241802341,325.4598401520413
sample,6,1,10,742956,244427260,328.99291478903194
case,7,1,sum+4096+uniform,ok,direct,arithmetic,policy
sample,7,1,1,780748,200675300,257.02954090180185
sample,7,1,2,780748,201179977,257.67594281381446
sample,7,1,3,780748,201723133,258.3716295142607
sample,7,1,4,780748,198726074,254.53292739782876
sample,7,1,5,780748,202836496,259.7976504582785
sample,7,1,6,780748,201211552,257.7163848002172
sample,7,1,7,780748,173312027,221.982031334054
sample,7,1,8,780748,160361701,205.39495586283923
sample,7,1,9,780748,161942299,207.41942214389277
sample,7,1,10,780748,161334272,206.64064717424827
case,8,1,compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy
sample,8,1,1,38060,201614737,5297.28683657383
sample,8,1,2,38060,200662238,5272.260588544404
sample,8,1,3,38060,204076605,5361.97070415134
sample,8,1,4,38060,201845502,5303.350026274304
sample,8,1,5,38060,201799124,5302.131476615869
sample,8,1,6,38060,201049076,5282.4244876510775
sample,8,1,7,38060,202353349,5316.693352601156
sample,8,1,8,38060,200191821,5259.900709406201
sample,8,1,9,38060,199776792,5248.9961114030475
sample,8,1,10,38060,190179308,4996.828901734104
case,9,1,iamax+4096+uniform,ok,direct,arithmetic,policy
sample,9,1,1,51640,199148907,3856.485418280403
sample,9,1,2,51640,197530856,3825.1521301316807
sample,9,1,3,51640,197934366,3832.966034082107
sample,9,1,4,51640,198166455,3837.4603989155694
sample,9,1,5,51640,197901551,3832.330577072037
sample,9,1,6,51640,198871638,3851.1161502711075
sample,9,1,7,51640,199019779,3853.9848760650657
sample,9,1,8,51640,198767029,3849.090414407436
sample,9,1,9,51640,198876559,3851.2114446165765
sample,9,1,10,51640,197398895,3822.5967273431447
case,10,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,10,1,1,78979,199012168,2519.811190316413
sample,10,1,2,78979,200081927,2533.3560440116994
sample,10,1,3,78979,198885224,2518.2038769799565
sample,10,1,4,78979,198955702,2519.096240772864
sample,10,1,5,78979,199635017,2527.6974512212105
sample,10,1,6,78979,199217568,2522.411881639423
sample,10,1,7,78979,198179634,2509.2699831600803
sample,10,1,8,78979,197749577,2503.8247762063334
sample,10,1,9,78979,197894562,2505.660517352714
sample,10,1,10,78979,196583364,2489.058661163094
case,11,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,11,1,1,84672,200860002,2372.2127976190477
sample,11,1,2,84672,203473471,2403.078597411187
sample,11,1,3,84672,201150030,2375.638109410431
sample,11,1,4,84672,200705406,2370.3869756235827
sample,11,1,5,84672,200337460,2366.041430461073
sample,11,1,6,84672,200977084,2373.5955687830688
sample,11,1,7,84672,201564259,2380.530269746788
sample,11,1,8,84672,199787946,2359.5515164399094
sample,11,1,9,84672,202443258,2390.9114937641725
sample,11,1,10,84672,199719768,2358.7463151927436
case,12,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy
sample,12,1,1,74991,199822423,2664.618727580643
sample,12,1,2,74991,208605962,2781.7466362630184
sample,12,1,3,74991,207044517,2760.9248709845183
sample,12,1,4,74991,206856710,2758.4204771239215
sample,12,1,5,74991,207642211,2768.8950807430224
sample,12,1,6,74991,207789764,2770.8626901894895
sample,12,1,7,74991,208560331,2781.1381499113227
sample,12,1,8,74991,206242061,2750.2241735674947
sample,12,1,9,74991,207255685,2763.7407822272007
sample,12,1,10,74991,208499328,2780.3246789614755
case,13,1,rotmg+1+uniform,ok,direct,arithmetic,policy
sample,13,1,1,1000000,30967883,30.967883
sample,13,1,2,1000000,30636087,30.636087
sample,13,1,3,1000000,30596052,30.596052
sample,13,1,4,1000000,30309766,30.309766
sample,13,1,5,1000000,30496407,30.496407
sample,13,1,6,1000000,31350364,31.350364
sample,13,1,7,1000000,32081752,32.081752
sample,13,1,8,1000000,30459488,30.459488
sample,13,1,9,1000000,31503486,31.503486
sample,13,1,10,1000000,31960215,31.960215
case,14,1,ssqd+4096+uniform,ok,unsupported,arithmetic,policy
sample,14,1,1,307907,200927739,652.5598281299224
sample,14,1,2,307907,200846794,652.2969403098988
sample,14,1,3,307907,200345150,650.6677340885398
sample,14,1,4,307907,201692045,655.042090631262
sample,14,1,5,307907,201642030,654.8796552205698
sample,14,1,6,307907,201567859,654.638767549942
sample,14,1,7,307907,202170555,656.5961637767248
sample,14,1,8,307907,203313149,660.3070050372353
sample,14,1,9,307907,205573866,667.649212262144
sample,14,1,10,307907,212025060,688.6009736706213
case,15,1,dot4+4096+uniform,ok,composed,arithmetic,policy
sample,15,1,1,115649,199214435,1722.57810270733
sample,15,1,2,115649,199090892,1721.5098444430994
sample,15,1,3,115649,198521785,1716.5888593935097
sample,15,1,4,115649,198881841,1719.7022110005275
sample,15,1,5,115649,198829022,1719.2454928274346
sample,15,1,6,115649,199426353,1724.4105266798674
sample,15,1,7,115649,198863974,1719.5477176629283
sample,15,1,8,115649,198089493,1712.8508936523447
sample,15,1,9,115649,197748850,1709.905403418966
sample,15,1,10,115649,199245655,1722.8480574842843
case,16,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy
sample,16,1,1,92451,200374048,2167.354036192145
sample,16,1,2,92451,200150897,2164.9403143286713
sample,16,1,3,92451,199321553,2155.969681236547
sample,16,1,4,92451,199157939,2154.1999437539885
sample,16,1,5,92451,199430912,2157.152567305924
sample,16,1,6,92451,199945766,2162.7215065277824
sample,16,1,7,92451,198950351,2151.9545597127126
