run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,onemkl,1,ns,4651056efd0b86423730c3545912091ec2f5f3db,true,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,vendor-cblas
sample,1,1,1,262144,492594894,1879.1003952026367
sample,1,1,2,262144,491507654,1874.9529037475586
sample,1,1,3,262144,477144790,1820.1629257202148
sample,1,1,4,262144,454228322,1732.743537902832
sample,1,1,5,262144,468654480,1787.7749633789062
sample,1,1,6,262144,490531551,1871.2293663024902
sample,1,1,7,262144,431824989,1647.2816047668457
sample,1,1,8,262144,349508575,1333.2694053649902
sample,1,1,9,262144,282989538,1079.519416809082
sample,1,1,10,262144,275320330,1050.2637100219727
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,2,1,1,65536,148041235,2258.9299774169922
sample,2,1,2,65536,149777239,2285.4192962646484
sample,2,1,3,65536,145597711,2221.6447601318359
sample,2,1,4,65536,135349557,2065.2703399658203
sample,2,1,5,65536,145545412,2220.8467407226562
sample,2,1,6,65536,144755106,2208.7876281738281
sample,2,1,7,65536,162257167,2475.8478851318359
sample,2,1,8,65536,156887724,2393.9166870117188
sample,2,1,9,65536,157009571,2395.7759246826172
sample,2,1,10,65536,158832532,2423.5921020507812
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,3,1,1,65536,138182456,2108.4969482421875
sample,3,1,2,65536,141405658,2157.6791076660156
sample,3,1,3,65536,132405574,2020.3487243652344
sample,3,1,4,65536,136097127,2076.6773529052734
sample,3,1,5,65536,124994934,1907.2713317871094
sample,3,1,6,65536,115560063,1763.3066253662109
sample,3,1,7,65536,112025792,1709.3779296875
sample,3,1,8,65536,111324520,1698.6773681640625
sample,3,1,9,65536,111162240,1696.201171875
sample,3,1,10,65536,132414374,2020.4830017089844
case,4,1,scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,4,1,1,65536,90166816,1375.83642578125
sample,4,1,2,65536,89180550,1360.7872009277344
sample,4,1,3,65536,100701411,1536.5815887451172
sample,4,1,4,65536,92112018,1405.5178527832031
sample,4,1,5,65536,84432609,1288.3393707275391
sample,4,1,6,65536,79233846,1209.0125427246094
sample,4,1,7,65536,80390735,1226.6652679443359
sample,4,1,8,65536,73545407,1122.2138519287109
sample,4,1,9,65536,66558114,1015.5962219238281
sample,4,1,10,65536,67892181,1035.9524688720703
case,5,1,nrm2+4096+uniform,ok,direct,arithmetic,vendor-cblas
sample,5,1,1,131072,219553070,1675.0569915771484
sample,5,1,2,131072,228883271,1746.2407760620117
sample,5,1,3,131072,292503163,2231.6220321655273
sample,5,1,4,131072,221229263,1687.845329284668
sample,5,1,5,131072,226862401,1730.8227615356445
sample,5,1,6,131072,223601712,1705.9456787109375
sample,5,1,7,131072,230873920,1761.42822265625
sample,5,1,8,131072,225429749,1719.8924942016602
sample,5,1,9,131072,214292665,1634.9232864379883
sample,5,1,10,131072,207936906,1586.4326934814453
case,6,1,asum+4096+uniform,ok,direct,arithmetic,vendor-cblas
sample,6,1,1,524288,219176264,418.04554748535156
sample,6,1,2,524288,217115311,414.11459159851074
sample,6,1,3,524288,200749912,382.90007019042969
sample,6,1,4,524288,200131285,381.72013282775879
sample,6,1,5,524288,194318419,370.63297080993652
sample,6,1,6,524288,238032706,454.01135635375977
sample,6,1,7,524288,230723727,440.07058525085449
sample,6,1,8,524288,242164494,461.89211654663086
sample,6,1,9,524288,264091460,503.71448516845703
sample,6,1,10,524288,238628629,455.14798927307129
case,7,1,sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable
case,8,1,compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable
case,9,1,iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas
sample,9,1,1,131072,155078553,1183.1554641723633
sample,9,1,2,131072,160449686,1224.1339569091797
sample,9,1,3,131072,150644790,1149.3285369873047
sample,9,1,4,131072,156386016,1193.130615234375
sample,9,1,5,131072,165653897,1263.8389358520508
sample,9,1,6,131072,170174908,1298.3315124511719
sample,9,1,7,131072,153668718,1172.3992767333984
sample,9,1,8,131072,159680268,1218.2637634277344
sample,9,1,9,131072,114150390,870.89836120605469
sample,9,1,10,131072,94025583,717.35826873779297
case,10,1,swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,10,1,1,32768,134085395,4091.9615173339844
sample,10,1,2,32768,125116585,3818.2551574707031
sample,10,1,3,32768,127756644,3898.8233642578125
sample,10,1,4,32768,123092456,3756.483642578125
sample,10,1,5,32768,111209357,3393.8402404785156
sample,10,1,6,32768,115460677,3523.5802307128906
sample,10,1,7,32768,126541583,3861.7426452636719
sample,10,1,8,32768,148055585,4518.2978820800781
sample,10,1,9,32768,144715753,4416.3742980957031
sample,10,1,10,32768,141382725,4314.6583557128906
case,11,1,rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,11,1,1,32768,133495901,4073.9715881347656
sample,11,1,2,32768,142310743,4342.9792175292969
sample,11,1,3,32768,142426847,4346.5224304199219
sample,11,1,4,32768,136248856,4157.985107421875
sample,11,1,5,32768,124895755,3811.5159606933594
sample,11,1,6,32768,125373855,3826.1064147949219
sample,11,1,7,32768,129354302,3947.5800170898438
sample,11,1,8,32768,130310375,3976.7570495605469
sample,11,1,9,32768,127749844,3898.6158447265625
sample,11,1,10,32768,126327379,3855.2056579589844
case,12,1,rotm+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,12,1,1,32768,177197060,5407.6251220703125
sample,12,1,2,32768,171327078,5228.4874877929688
sample,12,1,3,32768,150503449,4593.0007629394531
sample,12,1,4,32768,163359849,4985.3469543457031
sample,12,1,5,32768,154947400,4728.619384765625
sample,12,1,6,32768,138246769,4218.9565734863281
sample,12,1,7,32768,141986057,4333.0705871582031
sample,12,1,8,32768,155732861,4752.5897521972656
sample,12,1,9,32768,137830901,4206.2652893066406
sample,12,1,10,32768,148467949,4530.8822326660156
case,13,1,rotmg+1+uniform,ok,direct,arithmetic,vendor-cblas
sample,13,1,1,1000000,50620907,50.620907000000003
sample,13,1,2,1000000,50295324,50.295324000000001
sample,13,1,3,1000000,49222074,49.222073999999999
sample,13,1,4,1000000,47145682,47.145682000000001
sample,13,1,5,1000000,56379409,56.379409000000003
sample,13,1,6,1000000,57887536,57.887535999999997
sample,13,1,7,1000000,54607153,54.607152999999997
sample,13,1,8,1000000,52111973,52.111972999999999
sample,13,1,9,1000000,48567248,48.567247999999999
sample,13,1,10,1000000,48654690,48.654690000000002
case,14,1,ssqd+4096+uniform,unsupported,unsupported,arithmetic,unavailable
case,15,1,dot4+4096+uniform,ok,composed,arithmetic,vendor-cblas
sample,15,1,1,32768,123775170,3777.3184204101562
sample,15,1,2,32768,113108929,3451.8105773925781
sample,15,1,3,32768,134838452,4114.9429931640625
sample,15,1,4,32768,139196038,4247.9259643554688
sample,15,1,5,32768,159409159,4864.7814636230469
sample,15,1,6,32768,153667284,4689.5533447265625
sample,15,1,7,32768,151380751,4619.7738952636719
sample,15,1,8,32768,142769815,4356.9889831542969
sample,15,1,9,32768,145912162,4452.8858032226562
sample,15,1,10,32768,148612412,4535.2908935546875
case,16,1,axpy4+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas
sample,16,1,1,32768,151302277,4617.3790588378906
sample,16,1,2,32768,150158985,4582.4885559082031
sample,16,1,3,32768,172722408,5271.069580078125
sample,16,1,4,32768,360834652,11011.799682617188
sample,16,1,5,32768,161152006,4917.9689331054688
sample,16,1,6,32768,152741803,4661.3099060058594
sample,16,1,7,32768,153748921,4692.0447082519531
sample,16,1,8,32768,154670704,4720.17529296875
sample,16,1,9,32768,161632903,4932.6447448730469
sample,16,1,10,32768,173578383,5297.1918640136719
case,17,1,dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas
sample,17,1,1,65536,188287980,2873.0465698242188
sample,17,1,2,65536,238135352,3633.6571044921875
sample,17,1,3,65536,215396666,3286.6922912597656
sample,17,1,4,65536,195354702,2980.8761901855469
sample,17,1,5,65536,195627852,2985.0441284179688
sample,17,1,6,65536,208758399,3185.4003753662109
sample,17,1,7,65536,194544766,2968.5175476074219
sample,17,1,8,65536,194296728,2964.7327880859375
sample,17,1,9,65536,177270622,2704.9350280761719
sample,17,1,10,65536,193497215,2952.5331878662109
case,18,1,gemv+32x21+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,18,1,1,524288,126043747,240.40936851501465
sample,18,1,2,524288,90016566,171.69297409057617
sample,18,1,3,524288,89769224,171.22120666503906
sample,18,1,4,524288,87240338,166.39773941040039
sample,18,1,5,524288,86473034,164.93422317504883
sample,18,1,6,524288,86106563,164.2352352142334
sample,18,1,7,524288,89425564,170.56572723388672
sample,18,1,8,524288,112952125,215.4390811920166
sample,18,1,9,524288,161133878,307.33848190307617
sample,18,1,10,524288,110379015,210.53126335144043
case,19,1,gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas
sample,19,1,1,262144,198619682,757.67395782470703
sample,19,1,2,262144,193253601,737.20398330688477
sample,19,1,3,262144,201478326,768.57881927490234
sample,19,1,4,262144,199444642,760.82093048095703
sample,19,1,5,262144,216961625,827.64291763305664
sample,19,1,6,262144,183834889,701.27444839477539
sample,19,1,7,262144,188588054,719.40633392333984
sample,19,1,8,262144,193658615,738.74898910522461
sample,19,1,9,262144,211246437,805.84120559692383
sample,19,1,10,262144,192843327,735.63891220092773
case,20,1,symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas
sample,20,1,1,131072,206044518,1571.9949188232422
sample,20,1,2,131072,178791665,1364.072151184082
sample,20,1,3,131072,185108090,1412.2626495361328
sample,20,1,4,131072,209571247,1598.901725769043
sample,20,1,5,131072,185082863,1412.070182800293
sample,20,1,6,131072,193911211,1479.4251327514648
sample,20,1,7,131072,183945877,1403.3956680297852
sample,20,1,8,131072,169316979,1291.7860336303711
sample,20,1,9,131072,239720005,1828.9184951782227
sample,20,1,10,131072,199818829,1524.4966812133789
