run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,openblas,1,ns,4651056efd0b86423730c3545912091ec2f5f3db,true,OpenBLAS 0.3.32 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Haswell MAX_THREADS=128; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,dot+4096+uniform,ok,direct,arithmetic,vendor-cblas
sample,1,1,1,262144,158935367,606.29030990600586
sample,1,1,2,262144,158735285,605.52705764770508
sample,1,1,3,262144,157703248,601.59014892578125
sample,1,1,4,262144,158445029,604.41981887817383
sample,1,1,5,262144,163674481,624.36859512329102
sample,1,1,6,262144,160435516,612.01292419433594
sample,1,1,7,262144,162482271,619.82067489624023
sample,1,1,8,262144,161064878,614.41374969482422
sample,1,1,9,262144,159530757,608.56154251098633
sample,1,1,10,262144,158175462,603.39150238037109
case,2,1,axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,2,1,1,131072,175128775,1336.1265182495117
sample,2,1,2,131072,174326701,1330.0071792602539
sample,2,1,3,131072,179363879,1368.4377975463867
sample,2,1,4,131072,174422916,1330.7412414550781
sample,2,1,5,131072,174870032,1334.1524658203125
sample,2,1,6,131072,180952327,1380.5566940307617
sample,2,1,7,131072,184601979,1408.4013290405273
sample,2,1,8,131072,174283667,1329.6788558959961
sample,2,1,9,131072,174081242,1328.1344757080078
sample,2,1,10,131072,173818311,1326.1284713745117
case,3,1,axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas
sample,3,1,1,65536,110411620,1684.7476196289062
sample,3,1,2,65536,110300805,1683.0567169189453
sample,3,1,3,65536,94105449,1435.9351959228516
sample,3,1,4,65536,89007670,1358.1492614746094
sample,3,1,5,65536,88291662,1347.2238464355469
sample,3,1,6,65536,86964917,1326.9793243408203
sample,3,1,7,65536,87229737,1331.0201568603516
