run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,1,ns,1be759ff22bbd5a3e5c23b8983643fd46472a593,false,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
case,1,1,iamax+1+uniform,ok,direct,arithmetic,policy
sample,1,1,1,95171495,200302825,2.104651450520978
sample,1,1,2,93832725,200160109,2.1331588632857033
sample,1,1,3,93160462,200222553,2.14922241368876
sample,1,1,4,94188838,200156156,2.1250517603795047
sample,1,1,5,95396105,200122668,2.097807536272052
sample,1,2,6,89158284,200159335,2.2449886428949215
sample,1,2,7,92010658,200253261,2.1764137476334535
sample,1,2,8,93438669,200173076,2.1422937435035596
sample,1,2,9,93328899,200191490,2.1450107324206193
sample,1,2,10,92229080,200109367,2.169699264049907
case,2,1,iamax+8+uniform,ok,direct,arithmetic,policy
sample,2,1,1,35375822,200165799,5.6582656651766285
sample,2,1,2,35439190,200146437,5.647601906251244
sample,2,1,3,35526256,200210277,5.635558022213205
sample,2,1,4,35649932,200131919,5.61380927739217
sample,2,1,5,34701845,200098807,5.766229634188038
sample,2,2,6,35447993,200138221,5.645967629253368
sample,2,2,7,33945897,200136198,5.895740448396459
sample,2,2,8,34982674,200092621,5.719763474913324
sample,2,2,9,35412591,200087582,5.6501819367015536
sample,2,2,10,35589430,200093457,5.622272034140474
case,3,1,iamax+16+uniform,ok,direct,arithmetic,policy
sample,3,1,1,24558405,200288596,8.155602776320368
sample,3,1,2,24281051,200246261,8.247017849433288
sample,3,1,3,24475195,200181325,8.178947093169228
sample,3,1,4,24487556,200135757,8.172957603445603
sample,3,1,5,24631859,200143392,8.125387206868957
sample,3,2,6,24707472,200280405,8.106066253965603
sample,3,2,7,24299246,200165455,8.23751712295929
sample,3,2,8,24637881,200118199,8.12237866560034
sample,3,2,9,24643140,200201041,8.124006965021502
sample,3,2,10,24797123,200160757,8.071934675647654
case,4,1,iamax+32+uniform,ok,direct,arithmetic,policy
sample,4,1,1,13600406,200267938,14.725144087610326
sample,4,1,2,13889577,200205364,14.414072077213007
sample,4,1,3,13608426,200204330,14.711791797229157
sample,4,1,4,13667326,200200673,14.648123049088023
sample,4,1,5,12890823,200249165,15.53424207282964
sample,4,2,6,13669214,200169802,14.643841408876911
sample,4,2,7,13681583,200232916,14.63521553024968
sample,4,2,8,13691552,200225588,14.624024215808404
sample,4,2,9,13447453,200185495,14.88649895262694
sample,4,2,10,13149834,200255096,15.228716651480163
case,5,1,iamax+64+uniform,ok,direct,arithmetic,policy
sample,5,1,1,8164321,200271269,24.53005816405308
sample,5,1,2,8115060,200192003,24.669195668300667
sample,5,1,3,8200470,200168301,24.409369341025574
sample,5,1,4,8103683,200134612,24.696747392512762
sample,5,1,5,8088304,200272928,24.760806220933336
sample,5,2,6,6861891,200233042,29.180446323032527
sample,5,2,7,7118080,200213611,28.12747412223521
sample,5,2,8,4919171,200205299,40.69899155772385
sample,5,2,9,5596437,200204435,35.77355288731027
sample,5,2,10,5905749,200137479,33.88858534285829
case,6,1,iamax+128+uniform,ok,direct,arithmetic,policy
sample,6,1,1,4259244,200194199,47.002284677750325
sample,6,1,2,4383673,200167357,45.662018357664905
sample,6,1,3,4416010,200134140,45.32012835115862
sample,6,1,4,4188980,200129329,47.77519324513366
sample,6,1,5,4396219,200222643,45.544283166966885
sample,6,2,6,4480098,200159508,44.677484287174074
sample,6,2,7,4501332,200129685,44.460103142803064
sample,6,2,8,4409715,200272602,45.41622349743691
sample,6,2,9,4581684,200198593,43.69541701260934
sample,6,2,10,4441767,200150285,45.060959973812224
case,7,1,iamax+256+uniform,ok,direct,arithmetic,policy
sample,7,1,1,1598082,200165412,125.25353016929044
sample,7,1,2,2072261,200104606,96.56341841109783
sample,7,1,3,2336969,200094601,85.62141859819279
sample,7,1,4,2192259,200116412,91.28319783383259
sample,7,1,5,2050848,200098408,97.56861941986925
sample,7,2,6,2417979,200277007,82.82826567145537
sample,7,2,7,2440166,200162103,82.02806817241122
sample,7,2,8,2400901,200149684,83.36440527951798
sample,7,2,9,2383586,200143486,83.96738611487062
sample,7,2,10,2762247,200186803,72.47244833644493
case,8,1,iamax+4096+uniform,ok,direct,arithmetic,policy
sample,8,1,1,163468,200141640,1224.347517556953
sample,8,1,2,167402,200230471,1196.1056080572514
sample,8,1,3,168489,200117819,1187.720379371947
sample,8,1,4,170273,200209514,1175.814803286487
sample,8,1,5,170466,200153797,1174.1567057360412
sample,8,2,6,189937,200127043,1053.6495943391756
sample,8,2,7,189527,200106269,1055.8193238958038
sample,8,2,8,188389,200101093,1062.1697285934954
sample,8,2,9,190505,200109153,1050.4141781055616
sample,8,2,10,189924,200083780,1053.4939238853435
case,9,1,iamax+65536+uniform,ok,direct,arithmetic,policy
sample,9,1,1,11652,200244281,17185.400017164437
sample,9,1,2,11713,200124647,17085.686587552293
sample,9,1,3,11618,200173893,17229.634446548458
sample,9,1,4,11825,200196993,16929.978266384776
sample,9,1,5,11711,200153215,17091.04389035949
sample,9,2,6,10770,200158688,18584.836397400184
sample,9,2,7,10895,200147799,18370.61027994493
sample,9,2,8,10915,200144844,18336.67833256986
sample,9,2,9,11920,200113246,16788.02399328859
sample,9,2,10,11662,200109642,17159.118676041846
