elapsed_s,cpu_percent
1.012,22.24
2.013,23.96
3.014,22.43
4.015,42.40
5.016,42.75
6.017,26.82
7.018,21.75
8.019,27.81
9.020,22.90
10.021,26.05
11.022,53.29
12.023,39.73
13.024,38.71
14.025,29.55
15.026,44.51
16.027,20.82
17.028,20.84
18.029,19.16
19.030,20.90
20.031,54.14
21.032,40.85
22.033,41.22
23.034,40.76
24.035,47.86
25.037,45.36
26.038,48.83
27.039,38.24
28.040,43.31
29.041,47.91
30.042,49.90
31.043,36.68
32.044,35.59
33.045,23.78
34.046,32.09
35.047,18.21
36.048,17.81
37.049,24.97
38.050,18.63
39.051,18.11
40.052,18.48
41.053,16.67
42.054,42.33
43.054,14.87
44.055,23.91
45.056,9.71
46.057,6.93
47.058,6.79
48.059,6.98
49.059,26.64
50.060,21.83
51.061,19.18
52.062,11.01
