elapsed_s,cpu_percent
1.010,2.46
2.011,1.65
3.012,1.66
4.013,6.35
5.013,6.60
6.014,6.75
7.014,7.02
8.015,6.66
9.015,6.61
10.016,6.66
11.017,6.64
12.017,6.81
13.018,7.31
14.019,6.95
15.019,7.11
16.020,6.76
17.021,6.95
18.021,6.70
19.022,6.60
20.022,7.27
21.023,6.46
22.024,6.55
23.024,6.68
24.025,6.89
25.025,6.75
26.026,7.16
27.027,6.81
28.027,6.46
29.028,6.67
30.028,6.49
31.029,6.73
32.029,6.40
33.030,6.56
34.031,6.71
35.031,6.91
36.032,6.62
37.032,6.70
38.033,6.44
39.034,6.75
40.034,6.87
41.035,7.02
42.035,6.96
43.036,6.62
44.037,7.33
45.037,6.83
46.038,6.64
47.038,6.58
48.039,6.73
49.040,6.75
50.041,14.49
51.041,25.95
52.042,26.99
53.043,30.78
54.043,30.53
55.044,19.46
56.044,17.93
57.045,15.18
58.045,15.16
59.046,13.75
60.047,14.05
61.047,15.42
62.048,12.08
63.048,13.76
64.049,14.66
65.050,16.78
66.051,14.21
67.051,12.52
68.052,17.33
69.053,23.15
70.054,15.38
71.055,14.15
72.055,12.69
73.056,14.06
74.057,18.57
75.058,17.61
76.059,40.78
77.059,28.87
78.060,35.89
79.061,29.49
80.062,33.72
81.063,36.65
82.063,29.47
83.064,33.25
84.065,39.34
85.066,36.01
86.067,28.41
87.067,51.19
88.068,30.11
89.069,31.41
90.069,25.25
91.070,18.95
92.071,20.64
93.071,20.43
94.072,19.84
95.072,20.69
96.073,18.62
97.074,21.42
98.074,26.42
99.075,32.23
100.075,33.43
101.076,22.80
102.077,23.31
103.077,10.30
104.078,6.85
105.078,7.11
106.079,6.96
107.079,6.80
108.080,7.87
109.080,7.70
110.081,6.74
111.081,6.70
112.082,20.10
113.082,16.55
114.083,14.23
115.083,14.68
116.084,13.75
117.084,13.07
118.085,12.14
119.085,14.37
120.086,14.65
121.086,15.18
122.087,19.02
123.088,48.86
124.088,22.69
125.089,22.12
126.090,45.26
127.090,18.75
128.091,19.48
129.092,21.07
130.093,20.79
131.093,30.58
132.094,41.81
133.095,48.62
134.096,13.37
135.097,13.93
136.097,16.72
137.098,12.61
138.099,14.03
139.099,18.54
140.100,24.47
141.101,23.32
142.101,21.04
143.102,19.54
144.103,20.16
145.104,19.28
146.104,23.86
147.105,30.57
148.106,35.71
149.107,24.48
150.108,22.04
151.109,22.41
152.109,19.52
153.110,19.93
154.111,19.11
155.112,18.42
156.112,18.82
157.113,36.54
158.114,37.54
159.115,40.48
160.116,54.99
161.116,50.73
162.117,59.39
163.118,63.47
164.119,32.76
165.120,34.49
166.121,31.30
167.121,23.06
168.122,21.04
169.123,19.38
170.123,25.18
171.124,19.07
172.125,12.71
173.125,13.30
174.126,13.09
175.127,14.12
176.127,12.58
177.128,11.84
