elapsed_s,cpu_percent
1.010,2.21
2.011,2.10
3.012,1.91
4.012,27.36
5.013,9.74
6.014,6.94
7.014,8.38
8.015,7.18
9.015,8.80
10.016,7.42
11.017,8.80
12.018,7.20
13.018,8.22
14.019,7.17
15.020,7.48
16.020,9.08
17.021,7.07
18.021,8.99
19.022,7.25
20.023,8.18
21.024,7.11
22.024,8.52
23.025,6.93
24.026,8.32
25.026,7.16
26.027,8.42
27.028,7.22
28.028,7.02
29.029,8.17
30.029,8.06
31.030,8.23
32.031,8.01
33.031,8.28
34.032,7.17
35.032,11.53
36.033,21.13
37.033,7.32
38.034,8.67
39.035,7.61
40.035,7.87
41.036,8.66
42.037,7.35
43.037,8.96
44.038,7.07
45.038,8.68
46.039,7.21
47.039,8.94
48.040,6.89
49.041,8.73
50.042,6.96
51.042,7.72
52.043,7.83
53.044,6.96
54.044,10.85
55.045,6.97
56.045,10.10
57.046,7.37
58.047,8.73
59.047,6.86
60.048,8.18
61.048,7.11
62.049,8.42
63.050,7.57
64.050,7.02
65.051,8.42
66.051,6.76
67.052,16.39
68.053,13.41
69.053,7.37
70.054,8.57
71.054,7.32
72.055,9.23
73.056,7.68
74.056,8.37
75.057,7.92
76.057,7.96
77.058,10.44
78.059,7.58
79.059,9.70
80.060,7.42
81.060,10.01
82.061,7.17
83.062,11.29
84.062,9.13
85.063,8.14
86.063,8.94
87.064,7.93
88.064,9.13
89.065,7.04
90.065,9.44
91.066,7.56
92.066,10.40
93.067,7.11
94.068,9.84
95.068,7.07
96.069,8.72
97.069,9.19
98.070,7.22
99.071,28.41
100.071,54.69
101.072,51.91
102.073,64.50
103.074,44.11
104.074,36.84
105.075,39.33
106.076,33.15
107.077,46.02
108.078,50.13
109.078,9.90
110.079,7.17
111.080,7.01
112.080,6.81
113.081,7.55
114.082,7.10
115.082,7.05
116.083,7.01
117.083,7.32
118.084,6.96
119.085,7.11
120.085,7.15
121.086,7.05
122.086,8.03
123.087,7.41
124.087,7.07
125.088,7.03
126.088,7.06
127.089,7.25
128.090,7.70
129.090,7.00
130.091,6.90
131.091,6.92
132.092,7.68
133.092,6.87
134.093,7.77
135.093,6.82
136.094,7.29
137.095,11.10
138.095,8.89
139.095,6.49
140.096,6.58
141.096,6.56
142.097,6.46
143.097,6.45
144.098,6.70
145.098,6.56
146.099,6.70
147.100,6.45
148.100,7.11
