run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-c/c/c-sparse/packed-4x4,1,ns,22929a90abb13057cc58efa8b32da4ced1eedaf9,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
case,1,1,iamax+64+uniform,ok,direct,arithmetic,policy
sample,1,1,1,9122417,200284055,21.95515234613809
sample,1,1,2,9081590,200174463,22.04178596479251
sample,1,1,3,9141394,200181999,21.898410570641634
sample,1,1,4,9115454,200196115,21.962275823014412
sample,1,1,5,9125540,200209710,21.93949179993732
sample,1,2,6,10384760,200201414,19.278386212103122
sample,1,2,7,10421552,200122087,19.20271443255285
sample,1,2,8,10402621,200183465,19.243560348877462
sample,1,2,9,10365594,200196557,19.313563409873087
sample,1,2,10,10359236,200248001,19.33038314794643
case,2,1,iamax+128+uniform,ok,direct,arithmetic,policy
sample,2,1,1,4343540,200245537,46.10192078350838
sample,2,1,2,4344499,200189983,46.078957090334235
sample,2,1,3,4355435,200219663,45.970072564508484
sample,2,1,4,4320466,200191692,46.33567119843091
sample,2,1,5,4317343,200217673,46.37520646379034
sample,2,2,6,4802641,200266426,41.69922882014292
sample,2,2,7,4873500,200231485,41.085766902636706
sample,2,2,8,4902340,200157569,40.82898554567819
sample,2,2,9,4856308,200162806,41.21707395824153
sample,2,2,10,4998000,200245934,40.06521288515406
case,3,1,iamax+256+uniform,ok,direct,arithmetic,policy
sample,3,1,1,2821563,200202500,70.95446743524776
sample,3,1,2,2830112,200205364,70.74114522676135
sample,3,1,3,2800183,200176499,71.48693460391696
sample,3,1,4,2779632,200136779,72.00117821351891
sample,3,1,5,2822559,200209253,70.93182215145902
sample,3,2,6,2577842,200119810,77.63075083732828
sample,3,2,7,2892529,200197851,69.21204627507623
sample,3,2,8,2547863,200180695,78.56807646250995
sample,3,2,9,2489651,200155227,80.3948935011373
sample,3,2,10,2833962,200219656,70.6500849340958
case,4,1,iamax+512+uniform,ok,direct,arithmetic,policy
sample,4,1,1,963324,200134623,207.7542166498499
sample,4,1,2,959784,200149558,208.53604352646013
sample,4,1,3,925459,200142811,216.26329313346133
sample,4,1,4,952242,200109786,210.14593559200287
sample,4,1,5,955503,200145757,209.4663826277887
sample,4,2,6,837492,200290436,239.15504386907577
sample,4,2,7,839279,200231926,238.57611831107414
sample,4,2,8,831517,200236329,240.80846092142434
sample,4,2,9,965150,200220303,207.4499331710097
sample,4,2,10,857493,200256889,233.53763704193503
case,5,1,iamax+1024+uniform,ok,direct,arithmetic,policy
sample,5,1,1,620327,200135097,322.6283830947226
sample,5,1,2,702114,200250174,285.2103419102881
sample,5,1,3,706282,200219250,283.4834386264976
sample,5,1,4,680078,200185208,294.35624737162505
sample,5,1,5,695041,200255327,288.1201641342021
sample,5,2,6,702783,200156205,284.80513188281446
sample,5,2,7,633921,200235012,315.86745351550115
sample,5,2,8,627416,200234673,319.1418022492254
sample,5,2,9,709868,200257224,282.10487583607096
sample,5,2,10,635032,200187162,315.23948714395493
case,6,1,iamax+4096+uniform,ok,direct,arithmetic,policy
sample,6,1,1,264604,200331292,757.0985019122916
sample,6,1,2,297570,200205288,672.8006452263332
sample,6,1,3,261199,200244532,766.6359059567609
sample,6,1,4,264908,200237983,755.8774480196898
sample,6,1,5,296768,200236472,674.7239324994608
sample,6,2,6,294936,200277118,679.0528046762688
sample,6,2,7,296110,200193523,676.078224308534
sample,6,2,8,269174,200164330,743.6243099259216
sample,6,2,9,258853,200104604,773.0434030125206
sample,6,2,10,260143,200191698,769.5448195800002
case,7,1,iamax+65536+uniform,ok,direct,arithmetic,policy
sample,7,1,1,21262,200311372,9421.097356786755
sample,7,1,2,20908,200238408,9577.119188827242
sample,7,1,3,21552,200214642,9289.84047884187
sample,7,1,4,20836,200178064,9607.31733538107
sample,7,1,5,20275,200225375,9875.480887792848
sample,7,2,6,20504,200187133,9763.320961763558
sample,7,2,7,22079,200191516,9067.05539200145
sample,7,2,8,21513,200244278,9308.059220006508
sample,7,2,9,20528,200172870,9751.211515978177
sample,7,2,10,20819,200189457,9615.709544166386
