run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-c/c/c-sparse/packed-4x4,1,ns,79dcf45e12c8d40de824bd29b763a05960f2973b,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
case,1,1,iamax+64+uniform,ok,direct,arithmetic,policy
sample,1,1,1,7749745,200222668,25.836033056571537
sample,1,1,2,7597732,200222660,26.3529511175177
sample,1,1,3,7713085,200285485,25.966974952305076
sample,1,1,4,8717713,200098621,22.953109490986915
sample,1,1,5,8926769,200097576,22.41545356444196
sample,1,2,6,7571995,200273715,26.449266672785704
sample,1,2,7,8231412,200157819,24.31634074445551
sample,1,2,8,8607076,200164221,23.25577478344562
sample,1,2,9,7798871,200200184,25.670405883107954
sample,1,2,10,8751725,200203659,22.875908349496815
case,2,1,iamax+128+uniform,ok,direct,arithmetic,policy
sample,2,1,1,3102218,200127658,64.51115234325891
sample,2,1,2,2377945,200277780,84.22304973411917
sample,2,1,3,2969330,200184374,67.41735475679698
sample,2,1,4,3151468,200206015,63.52785908027624
sample,2,1,5,2949309,200124372,67.85466426203561
sample,2,2,6,3371613,200142434,59.36103402140163
sample,2,2,7,3900960,200189210,51.317934559698124
sample,2,2,8,3660388,200162064,54.683291498059766
sample,2,2,9,3326732,200180666,60.17336713627668
sample,2,2,10,3156840,200214832,63.422546597230145
case,3,1,iamax+256+uniform,ok,direct,arithmetic,policy
sample,3,1,1,2307341,200139724,86.74041851637881
sample,3,1,2,2250194,200228233,88.98265349565415
sample,3,1,3,2305635,200216193,86.83776616853925
sample,3,1,4,2379894,200219189,84.12945660605052
sample,3,1,5,2385840,200268070,83.9402767997854
sample,3,2,6,2310629,200126056,86.61107256941725
sample,3,2,7,2276241,200104053,87.90987114281836
sample,3,2,8,2303316,200212252,86.92348422882488
sample,3,2,9,2304951,200214885,86.86296801971062
sample,3,2,10,2480129,200213217,80.72693678433662
case,4,1,iamax+512+uniform,ok,direct,arithmetic,policy
sample,4,1,1,1028747,200214747,194.6200056962499
sample,4,1,2,792350,200138645,252.58868555562566
sample,4,1,3,578624,200200768,345.99458024554804
sample,4,1,4,770997,200236508,259.71113765682617
sample,4,1,5,843585,200136420,237.2451146001885
sample,4,2,6,906409,200144907,220.81081167552395
sample,4,2,7,844493,200249289,237.12368130937733
sample,4,2,8,919737,200135081,217.60033683542144
sample,4,2,9,753322,200130247,265.663616620781
sample,4,2,10,839699,200201699,238.42079006882227
case,5,1,iamax+1024+uniform,ok,direct,arithmetic,policy
sample,5,1,1,376449,200192616,531.7921312050238
sample,5,1,2,364270,200247869,549.7237461223817
sample,5,1,3,303143,200187036,660.3716265920704
sample,5,1,4,404742,200186132,494.601825360353
sample,5,1,5,336053,200177782,595.6732479698143
sample,5,2,6,399503,200141532,500.9762930441073
sample,5,2,7,262703,200204660,762.0950655302756
sample,5,2,8,292308,200163296,684.7684497174214
sample,5,2,9,262434,200160070,762.7063185410427
sample,5,2,10,285956,200132929,699.8731588076487
case,6,1,iamax+4096+uniform,ok,direct,arithmetic,policy
sample,6,1,1,148917,200141904,1343.9829166582726
sample,6,1,2,157383,200136804,1271.6545243132994
sample,6,1,3,198980,200106414,1005.6609407980702
sample,6,1,4,223308,200113684,896.1330718111308
sample,6,1,5,187859,200166700,1065.515626081263
sample,6,2,6,222028,200178253,901.5901282721098
sample,6,2,7,212234,200196363,943.2812980012627
sample,6,2,8,167257,200238786,1197.1922610114973
sample,6,2,9,166719,200196303,1200.8007665593004
sample,6,2,10,192532,200190941,1039.7800936987098
case,7,1,iamax+65536+uniform,ok,direct,arithmetic,policy
sample,7,1,1,17293,200291553,11582.23286879084
sample,7,1,2,17911,200344082,11185.533024398414
sample,7,1,3,18275,200155932,10952.444979480164
sample,7,1,4,16880,200172538,11858.562677725118
sample,7,1,5,18989,200265666,10546.404023381958
sample,7,2,6,17612,200211719,11367.915001135589
sample,7,2,7,18183,200258769,11013.516416432933
sample,7,2,8,17724,200290222,11300.509027307606
sample,7,2,9,16101,200223709,12435.482827153593
sample,7,2,10,15124,200184868,13236.238296746893
