run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,1,ns,22929a90abb13057cc58efa8b32da4ced1eedaf9,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
case,1,1,iamax+64+uniform,ok,direct,arithmetic,policy
sample,1,1,1,8937285,200281681,22.409678218832678
sample,1,1,2,8960493,200156499,22.337665907445047
sample,1,1,3,8999811,200260283,22.25160983936218
sample,1,1,4,9049696,200199666,22.122253167399215
sample,1,1,5,9006860,200275253,22.235857224382304
sample,1,2,6,10237605,200248598,19.56010199651188
sample,1,2,7,9041155,200250152,22.14873564273591
sample,1,2,8,8950896,200157954,22.361778530328138
sample,1,2,9,8972136,200153434,22.308337055969726
sample,1,2,10,10405461,200267192,19.246354582463958
case,2,1,iamax+128+uniform,ok,direct,arithmetic,policy
sample,2,1,1,5203418,200219969,38.47854794675346
sample,2,1,2,5131992,200217026,39.01351093298665
sample,2,1,3,5324214,200145263,37.59151360181991
sample,2,1,4,5210834,200201931,38.42032407864077
sample,2,1,5,4790878,200111474,41.769269432450585
sample,2,2,6,4633632,200106858,43.185746731721466
sample,2,2,7,4631481,200097783,43.20384408356636
sample,2,2,8,4645346,200101864,43.075771750909404
sample,2,2,9,4635560,200095742,43.1653871376921
sample,2,2,10,4696260,200124360,42.61356057799185
case,3,1,iamax+256+uniform,ok,direct,arithmetic,policy
sample,3,1,1,3131954,200167707,63.9114453788274
sample,3,1,2,3141119,200212234,63.73914327983117
sample,3,1,3,3156018,200300854,63.46632180171343
sample,3,1,4,3161298,200178627,63.32165680046614
sample,3,1,5,3152566,200202950,63.50476088367381
sample,3,2,6,2793228,200210852,71.6772322202126
sample,3,2,7,3186278,200170224,62.822586102028765
sample,3,2,8,3130417,200128414,63.9302731872463
sample,3,2,9,3149144,200188425,63.56915561816163
sample,3,2,10,3128565,200162125,63.97889287900363
case,4,1,iamax+512+uniform,ok,direct,arithmetic,policy
sample,4,1,1,1432258,200089285,139.70198455864795
sample,4,1,2,1429821,200103715,139.95018607224262
sample,4,1,3,1433961,200082330,139.531221560419
sample,4,1,4,1427608,200087430,140.15572201892957
sample,4,1,5,1429697,200086903,139.95056504979726
sample,4,2,6,1556720,200246509,128.63360719975333
sample,4,2,7,1604714,200099694,124.69492632331992
sample,4,2,8,1622561,200291537,123.44160681786386
sample,4,2,9,1599436,200158819,125.14337491465741
sample,4,2,10,1612125,200179741,124.17135209738699
case,5,1,iamax+1024+uniform,ok,direct,arithmetic,policy
sample,5,1,1,1060359,200172141,188.77770736137478
sample,5,1,2,1076731,200138147,185.87571733329867
sample,5,1,3,1064588,200202224,188.05605924545458
sample,5,1,4,1068997,200190815,187.26976315181426
sample,5,1,5,1083432,200108411,184.6986345243633
sample,5,2,6,941616,200141470,212.55105053440045
sample,5,2,7,956309,200265378,209.4149255104783
sample,5,2,8,950047,200188029,210.71381626382694
sample,5,2,9,949515,200134243,210.7752305124195
sample,5,2,10,949093,200244908,210.9855493613376
case,6,1,iamax+4096+uniform,ok,direct,arithmetic,policy
sample,6,1,1,341157,200218137,586.8797562412614
sample,6,1,2,318073,200257190,629.5950615110368
sample,6,1,3,304591,200187881,657.2350496239219
sample,6,1,4,305940,200237472,654.4991566973916
sample,6,1,5,304438,200155717,657.4597027966286
sample,6,2,6,307694,200240991,650.779641461972
sample,6,2,7,298765,200218973,670.1553829933225
sample,6,2,8,341036,200160227,586.9181757937579
sample,6,2,9,288173,200200836,694.7244745343943
sample,6,2,10,278330,200127085,719.028078180577
case,7,1,iamax+65536+uniform,ok,direct,arithmetic,policy
sample,7,1,1,20912,200250407,9575.861084544758
sample,7,1,2,21447,200246684,9336.815591924278
sample,7,1,3,20927,200210851,9567.107134324078
sample,7,1,4,21305,200156581,9394.817226003286
sample,7,1,5,21428,200207006,9343.242766473773
sample,7,2,6,22155,200324572,9041.95766192733
sample,7,2,7,21021,200272814,9527.273393273394
sample,7,2,8,21146,200187902,9466.93946845739
sample,7,2,9,20710,200164904,9665.132979237083
sample,7,2,10,21065,200130402,9500.612485164966
