run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,native/c/c-sparse/packed-4x4,1,ns,22929a90abb13057cc58efa8b32da4ced1eedaf9,true,kotlin-native-2.4.10,1,5,200000000,native-calibrated,50000000,1
case,1,1,iamax+64+uniform,ok,direct,arithmetic,policy
sample,1,1,1,1000000,41131210,41.13121
sample,1,1,2,1000000,41087983,41.087983
sample,1,1,3,1000000,41377763,41.377763
sample,1,1,4,1000000,41132837,41.132837
sample,1,1,5,1000000,38978386,38.978386
case,2,1,iamax+128+uniform,ok,direct,arithmetic,policy
sample,2,1,1,1000000,96352774,96.352774
sample,2,1,2,1000000,92597140,92.59714
sample,2,1,3,1000000,84561530,84.56153
sample,2,1,4,1000000,84469168,84.469168
sample,2,1,5,1000000,85800840,85.80084
case,3,1,iamax+256+uniform,ok,direct,arithmetic,policy
sample,3,1,1,1000000,108851095,108.851095
sample,3,1,2,1000000,110797002,110.797002
sample,3,1,3,1000000,110311125,110.311125
sample,3,1,4,1000000,109682508,109.682508
sample,3,1,5,1000000,110078642,110.078642
case,4,1,iamax+512+uniform,ok,direct,arithmetic,policy
sample,4,1,1,807776,200489028,248.1987927346195
sample,4,1,2,807776,201452402,249.3914179178386
sample,4,1,3,807776,196869490,243.7179242760369
sample,4,1,4,807776,196310374,243.02575714059344
sample,4,1,5,807776,194741742,241.08384255041003
case,5,1,iamax+1024+uniform,ok,direct,arithmetic,policy
sample,5,1,1,646032,206198664,319.1771676944795
sample,5,1,2,646032,207789215,321.6391989870471
sample,5,1,3,646032,208409769,322.5997613121331
sample,5,1,4,646032,206884842,320.23931012705253
sample,5,1,5,646032,206851078,320.18704646209477
case,6,1,iamax+4096+uniform,ok,direct,arithmetic,policy
sample,6,1,1,263085,199440424,758.083600357299
sample,6,1,2,263085,197011528,748.8512381929795
sample,6,1,3,263085,196589204,747.2459623315658
sample,6,1,4,263085,198032928,752.7336336165117
sample,6,1,5,263085,202513410,769.764182678602
case,7,1,iamax+65536+uniform,ok,direct,arithmetic,policy
sample,7,1,1,20676,200128655,9679.27331205262
sample,7,1,2,20676,201980955,9768.860272780035
sample,7,1,3,20676,200934829,9718.264122654286
sample,7,1,4,20676,204178504,9875.145289224221
sample,7,1,5,20676,201718321,9756.15791255562
