run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,onemkl,1,ns,22929a90abb13057cc58efa8b32da4ced1eedaf9,true,Intel(R) oneAPI Math Kernel Library Version 2026.1-Product Build 20260612 for Intel(R) 64 architecture applications; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,iamax+64+uniform,ok,direct,arithmetic,vendor-cblas
sample,1,1,1,1000000,61422210,61.42221
sample,1,1,2,1000000,62814520,62.814520000000002
sample,1,1,3,1000000,62787350,62.787350000000004
sample,1,1,4,1000000,62491854,62.491853999999996
sample,1,1,5,1000000,62878900,62.878900000000002
case,2,1,iamax+128+uniform,ok,direct,arithmetic,vendor-cblas
sample,2,1,1,1000000,54291297,54.291297
sample,2,1,2,1000000,58327311,58.327311000000002
sample,2,1,3,1000000,53989775,53.989775000000002
sample,2,1,4,1000000,57516435,57.516435000000001
sample,2,1,5,1000000,55106873,55.106873
case,3,1,iamax+256+uniform,ok,direct,arithmetic,vendor-cblas
sample,3,1,1,1000000,81119759,81.119759000000002
sample,3,1,2,1000000,81159338,81.159338000000005
sample,3,1,3,1000000,81599857,81.599857
sample,3,1,4,1000000,82029966,82.029966000000002
sample,3,1,5,1000000,86010238,86.010238000000001
case,4,1,iamax+512+uniform,ok,direct,arithmetic,vendor-cblas
sample,4,1,1,1000000,155971472,155.97147200000001
sample,4,1,2,1000000,156119536,156.11953600000001
sample,4,1,3,1000000,154831762,154.831762
sample,4,1,4,1000000,156781960,156.78196
sample,4,1,5,1000000,155152447,155.152447
case,5,1,iamax+1024+uniform,ok,direct,arithmetic,vendor-cblas
sample,5,1,1,1000000,144654865,144.654865
sample,5,1,2,1000000,143938100,143.93809999999999
sample,5,1,3,1000000,146012926,146.01292599999999
sample,5,1,4,1000000,144516867,144.51686699999999
sample,5,1,5,1000000,144486735,144.48673500000001
case,6,1,iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas
sample,6,1,1,524288,150447934,286.95666122436523
sample,6,1,2,524288,151618354,289.18906021118164
sample,6,1,3,524288,153026501,291.87488746643066
sample,6,1,4,524288,148514972,283.26982879638672
sample,6,1,5,524288,150980835,287.97308921813965
case,7,1,iamax+65536+uniform,ok,direct,arithmetic,vendor-cblas
sample,7,1,1,32768,141950350,4331.9808959960938
sample,7,1,2,32768,142429187,4346.5938415527344
sample,7,1,3,32768,142576820,4351.0992431640625
sample,7,1,4,32768,145405721,4437.4304504394531
sample,7,1,5,32768,142482642,4348.2251586914062
