run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,openblas,1,ns,22929a90abb13057cc58efa8b32da4ced1eedaf9,true,OpenBLAS 0.3.32 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Haswell MAX_THREADS=128; compiler=15.2.0,1,5,200000000,vendor-calibrated,50000000,1
case,1,1,iamax+64+uniform,ok,direct,arithmetic,vendor-cblas
sample,1,1,1,1000000,30547868,30.547868000000001
sample,1,1,2,1000000,30663775,30.663775000000001
sample,1,1,3,1000000,30668808,30.668807999999999
sample,1,1,4,1000000,30576406,30.576405999999999
sample,1,1,5,1000000,30589362,30.589362000000001
case,2,1,iamax+128+uniform,ok,direct,arithmetic,vendor-cblas
sample,2,1,1,1000000,49625954,49.625954
sample,2,1,2,1000000,49862385,49.862385000000003
sample,2,1,3,1000000,49728347,49.728346999999999
sample,2,1,4,1000000,49837298,49.837297999999997
sample,2,1,5,1000000,49699806,49.699806000000002
case,3,1,iamax+256+uniform,ok,direct,arithmetic,vendor-cblas
sample,3,1,1,1000000,66671228,66.671227999999999
sample,3,1,2,1000000,67272821,67.272820999999993
sample,3,1,3,1000000,66895667,66.895667000000003
sample,3,1,4,1000000,67138308,67.138307999999995
sample,3,1,5,1000000,66940522,66.940522000000001
case,4,1,iamax+512+uniform,ok,direct,arithmetic,vendor-cblas
sample,4,1,1,1000000,145388906,145.38890599999999
sample,4,1,2,1000000,145161435,145.16143500000001
sample,4,1,3,1000000,144469459,144.469459
sample,4,1,4,1000000,144345902,144.345902
sample,4,1,5,1000000,144698410,144.69841
case,5,1,iamax+1024+uniform,ok,direct,arithmetic,vendor-cblas
sample,5,1,1,524288,112995812,215.52240753173828
sample,5,1,2,524288,114291199,217.99316215515137
sample,5,1,3,524288,114074607,217.58004570007324
sample,5,1,4,524288,112959801,215.45372200012207
sample,5,1,5,524288,112363732,214.31681060791016
case,6,1,iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas
sample,6,1,1,262144,147644785,563.22015762329102
sample,6,1,2,262144,149014541,568.44536209106445
sample,6,1,3,262144,151269337,577.04672622680664
sample,6,1,4,262144,148739848,567.39749145507812
sample,6,1,5,262144,147974034,564.47614288330078
case,7,1,iamax+65536+uniform,ok,direct,arithmetic,vendor-cblas
sample,7,1,1,16384,131053248,7998.85546875
sample,7,1,2,16384,130230938,7948.6656494140625
sample,7,1,3,16384,130418496,7960.11328125
sample,7,1,4,16384,130476968,7963.68212890625
sample,7,1,5,16384,130275217,7951.3682250976562
