run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-scalar/scalar/scalar/packed-4x4,1,ns,79dcf45e12c8d40de824bd29b763a05960f2973b,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
case,1,1,iamax+64+uniform,ok,direct,arithmetic,policy
sample,1,1,1,8645874,203200398,23.502586089040854
sample,1,1,2,8336936,201776966,24.202772577359355
sample,1,1,3,8624868,200126286,23.20340276512058
sample,1,1,4,8669380,203392213,23.460987175553498
sample,1,1,5,8727178,202581025,23.21266106867535
sample,1,2,6,8693833,200027385,23.007962655827413
sample,1,2,7,8614361,200090758,23.227579851831145
sample,1,2,8,8802463,203815867,23.154413372711705
sample,1,2,9,8653217,200091699,23.123388561733744
sample,1,2,10,8748797,201723351,23.05726730200735
case,2,1,iamax+128+uniform,ok,direct,arithmetic,policy
sample,2,1,1,4147987,200099937,48.24025171727877
sample,2,1,2,4145314,200792359,48.43839549911056
sample,2,1,3,4160021,199926316,48.058967971555916
sample,2,1,4,4073589,200945050,49.32874916934428
sample,2,1,5,4149624,201417484,48.53873121998523
sample,2,2,6,4129245,202776303,49.10735570304014
sample,2,2,7,4153524,205172006,49.39709172259508
sample,2,2,8,4179378,202209462,48.38266890432021
sample,2,2,9,3997751,200092757,50.05133061063583
sample,2,2,10,4083944,203339756,49.790045113253264
case,3,1,iamax+256+uniform,ok,direct,arithmetic,policy
sample,3,1,1,2062299,200087489,97.02157107189598
sample,3,1,2,2102274,203612980,96.85368320209449
sample,3,1,3,2071147,200097476,96.61191407466491
sample,3,1,4,2051200,201824353,98.39330781981279
sample,3,1,5,2083231,202487583,97.19881424575576
sample,3,2,6,2145228,200099294,93.27646944753658
sample,3,2,7,2108020,197942376,93.89966698608173
sample,3,2,8,2147744,204034908,94.99964055306405
sample,3,2,9,2150090,200090937,93.06165648879815
sample,3,2,10,2128648,203192875,95.45630606845285
case,4,1,iamax+512+uniform,ok,direct,arithmetic,policy
sample,4,1,1,1285828,200091407,155.61288679356804
sample,4,1,2,1284179,200090631,155.81210329712601
sample,4,1,3,1297432,203659194,156.9709965531912
sample,4,1,4,1280939,200089042,156.20497307053654
sample,4,1,5,1288795,201673939,156.48255851396073
sample,4,2,6,1278082,200085724,156.5515545950886
sample,4,2,7,1297516,203363740,156.73312699034153
sample,4,2,8,1282150,200089048,156.0574410170417
sample,4,2,9,1279055,200090291,156.4360336342065
sample,4,2,10,1297727,203750001,157.00528770689058
case,5,1,iamax+1024+uniform,ok,direct,arithmetic,policy
sample,5,1,1,588844,200075502,339.7767524165993
sample,5,1,2,585521,201302732,343.8010455645485
sample,5,1,3,590723,200086725,338.7149730076533
sample,5,1,4,591995,201437187,340.26839246953097
sample,5,1,5,587788,201467793,342.7558796709018
sample,5,2,6,589655,200087008,339.32894319559745
sample,5,2,7,589201,200941729,341.0410522045957
sample,5,2,8,597094,203853558,341.4094899630544
sample,5,2,9,571071,200521996,351.1332146090416
sample,5,2,10,597669,203726159,340.86787000831566
case,6,1,iamax+4096+uniform,ok,direct,arithmetic,policy
sample,6,1,1,165006,200568091,1215.5199871519824
sample,6,1,2,167733,203558551,1213.5867777956632
sample,6,1,3,165196,200156777,1211.6321036828979
sample,6,1,4,165637,200079527,1207.9398141719544
sample,6,1,5,167636,203630880,1214.7204657710754
sample,6,2,6,164592,200075199,1215.5827682997958
sample,6,2,7,166789,203548794,1220.3969926074262
sample,6,2,8,165166,200120516,1211.6326362568568
sample,6,2,9,165075,200082144,1212.0681144934122
sample,6,2,10,166544,201111048,1207.5550485157075
case,7,1,iamax+65536+uniform,ok,direct,arithmetic,policy
sample,7,1,1,10197,200104275,19623.837893498086
sample,7,1,2,10997,203255475,18482.81122124216
sample,7,1,3,10847,201205220,18549.38877108878
sample,7,1,4,10714,203717405,19014.131510173604
sample,7,1,5,10544,200697132,19034.25
sample,7,2,6,9899,200745492,20279.370845539954
sample,7,2,7,9960,200101575,20090.51957831325
sample,7,2,8,9889,201202024,20346.043482657496
sample,7,2,9,10016,201307272,20098.56948881789
sample,7,2,10,10303,202661792,19670.172959332234
