run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,jvm-simd/simd(4 lanes)/simd-sparse/packed-8x4,1,ns,79dcf45e12c8d40de824bd29b763a05960f2973b,true,kotlin-2.4.10/jvm/Eclipse Adoptium/25.0.1/JMH 1.37/forks=2,1,5,200000000,jmh-average-time,200000000,2
case,1,1,iamax+64+uniform,ok,direct,arithmetic,policy
sample,1,1,1,7696240,199828564,25.9644402981196
sample,1,1,2,8122767,203690664,25.07651198169294
sample,1,1,3,8361902,203414806,24.326380050854457
sample,1,1,4,8260166,200091987,24.223724680593588
sample,1,1,5,8340351,202752442,24.30982125332615
sample,1,2,6,8218687,200089235,24.345644870038242
sample,1,2,7,8266531,201342900,24.356395687622776
sample,1,2,8,8165224,200097283,24.506037188936887
sample,1,2,9,7044514,203742727,28.922183560143395
sample,1,2,10,7245891,201892286,27.86300345947793
case,2,1,iamax+128+uniform,ok,direct,arithmetic,policy
sample,2,1,1,3049540,200091961,65.61381749378594
sample,2,1,2,3693505,200103960,54.17725439656911
sample,2,1,3,3843246,200976370,52.29339209616038
sample,2,1,4,4077183,200457303,49.16563789263322
sample,2,1,5,3305585,200811891,60.74927463671332
sample,2,2,6,3895874,200098672,51.36168982877783
sample,2,2,7,3813444,200093267,52.470487831996486
sample,2,2,8,3878093,201494753,51.95717405436125
sample,2,2,9,3719564,200102009,53.79716789387143
sample,2,2,10,3931233,202935888,51.62143480175304
case,3,1,iamax+256+uniform,ok,direct,arithmetic,policy
sample,3,1,1,2265876,203163478,89.66222246936725
sample,3,1,2,2464380,202314078,82.09532539624571
sample,3,1,3,2373849,200090908,84.28965279594448
sample,3,1,4,2385324,200091252,83.88430754061083
sample,3,1,5,2247625,202025891,89.88416261609477
sample,3,2,6,1826666,203602404,111.4612107522667
sample,3,2,7,1663301,201812113,121.33228621879023
sample,3,2,8,1561488,202646364,129.77772739848146
sample,3,2,9,1659166,201810347,121.63360808984756
sample,3,2,10,1678103,207860787,123.86652487958129
case,4,1,iamax+512+uniform,ok,direct,arithmetic,policy
sample,4,1,1,1405240,199943210,142.28402977427342
sample,4,1,2,1342213,201609442,150.20674214897338
sample,4,1,3,1377776,201028789,145.90818028474877
sample,4,1,4,1302445,202344221,155.35720970943112
sample,4,1,5,1284858,200930459,156.38339723144503
sample,4,2,6,1447038,203068763,140.33409143367348
sample,4,2,7,1366489,200090457,146.42668693271588
sample,4,2,8,1357481,202588002,149.23818602249312
sample,4,2,9,1356407,200061247,147.4935229617659
sample,4,2,10,1448759,201390907,139.00925343690704
case,5,1,iamax+1024+uniform,ok,direct,arithmetic,policy
sample,5,1,1,681588,200095496,293.57250421075486
sample,5,1,2,747877,199825077,267.1897611505635
sample,5,1,3,811093,203622796,251.04740886680074
sample,5,1,4,710881,200099687,281.48127042360113
sample,5,1,5,737200,201712544,273.61983722192076
sample,5,2,6,814186,200103805,245.77161115519058
sample,5,2,7,785069,202274968,257.6524713114389
sample,5,2,8,797847,200095654,250.79451824723287
sample,5,2,9,785600,200069674,254.6711736252546
sample,5,2,10,827917,203867053,246.24093115614247
case,6,1,iamax+4096+uniform,ok,direct,arithmetic,policy
sample,6,1,1,253406,200073595,789.5377181282212
sample,6,1,2,255268,203591481,797.5597450522588
sample,6,1,3,242300,200094813,825.8143334709039
sample,6,1,4,233530,202086501,865.3556331092365
sample,6,1,5,236301,202578921,857.2918481089796
sample,6,2,6,178790,200120334,1119.303842496784
sample,6,2,7,152162,200114163,1315.1388848727015
sample,6,2,8,175968,201576812,1145.5310738316057
sample,6,2,9,245797,203157842,826.5269388967318
sample,6,2,10,254227,201752657,793.5925649124601
case,7,1,iamax+65536+uniform,ok,direct,arithmetic,policy
sample,7,1,1,17253,200090468,11597.430475859272
sample,7,1,2,14619,200117830,13688.886380737396
sample,7,1,3,15472,203746750,13168.740305067218
sample,7,1,4,16311,200094563,12267.461406412851
sample,7,1,5,17315,201207882,11620.437886225816
sample,7,2,6,17115,200481163,11713.769383581654
sample,7,2,7,17680,203369691,11502.810576923077
sample,7,2,8,17160,200093286,11660.447902097902
sample,7,2,9,16895,201383636,11919.718023083753
sample,7,2,10,17654,202691358,11481.327631131755
