run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,native/c/c-sparse/packed-4x4,1,ns,22929a90abb13057cc58efa8b32da4ced1eedaf9,false,kotlin-native-2.4.10,1,5,200000000,native-calibrated,50000000,1
case,1,1,iamax+64+uniform,ok,direct,arithmetic,policy
sample,1,1,1,1000000,50273686,50.273686
sample,1,1,2,1000000,50783265,50.783265
sample,1,1,3,1000000,49394676,49.394676
sample,1,1,4,1000000,50225577,50.225577
sample,1,1,5,1000000,49954372,49.954372
case,2,1,iamax+128+uniform,ok,direct,arithmetic,policy
sample,2,1,1,1000000,109278889,109.278889
sample,2,1,2,1000000,109372485,109.372485
sample,2,1,3,1000000,122294569,122.294569
sample,2,1,4,1000000,159793668,159.793668
sample,2,1,5,1000000,159692279,159.692279
case,3,1,iamax+256+uniform,ok,direct,arithmetic,policy
sample,3,1,1,1000000,175767899,175.767899
sample,3,1,2,1000000,174185956,174.185956
sample,3,1,3,1000000,171554320,171.55432
sample,3,1,4,1000000,167765358,167.765358
sample,3,1,5,1000000,167749543,167.749543
case,4,1,iamax+512+uniform,ok,direct,arithmetic,policy
sample,4,1,1,445148,187950194,422.21956293187884
sample,4,1,2,445148,170992448,384.12493822279333
sample,4,1,3,445148,165873869,372.62633775733013
sample,4,1,4,445148,193906103,435.5991782508289
sample,4,1,5,445148,181776467,408.3506317000189
case,5,1,iamax+1024+uniform,ok,direct,arithmetic,policy
sample,5,1,1,302315,192581314,637.0220266940112
sample,5,1,2,302315,204703414,677.1196070323999
sample,5,1,3,302315,177403888,586.818014322809
sample,5,1,4,302315,151767447,502.0175876155665
sample,5,1,5,302315,178388746,590.075735573822
case,6,1,iamax+4096+uniform,ok,direct,arithmetic,policy
sample,6,1,1,126024,213881645,1697.1501063289531
sample,6,1,2,126024,189174369,1501.0979575318986
sample,6,1,3,126024,195358477,1550.1688329207136
sample,6,1,4,126024,173215664,1374.4656890750969
sample,6,1,5,126024,154031309,1222.2378991303244
case,7,1,iamax+65536+uniform,ok,direct,arithmetic,policy
sample,7,1,1,14862,223901961,15065.399071457408
sample,7,1,2,14862,237509064,15980.962454582155
sample,7,1,3,14862,205198990,13806.95666801238
sample,7,1,4,14862,208289702,14014.917373166465
sample,7,1,5,14862,225202229,15152.888507603284
