run,id,implementation,pass,unit,source_commit,dirty,runtime,threads,warmups,target_ns,harness,warmup_target_ns,forks
case,id,run_id,case,status,comparison_kind,timing_mode,actual_kernel
sample,case_id,fork,sample,operations,elapsed_ns,ns_per_op
run,1,native/c/c-sparse/packed-4x4,1,ns,22929a90abb13057cc58efa8b32da4ced1eedaf9,false,kotlin-native-2.4.10,1,5,200000000,native-calibrated,50000000,1
case,1,1,iamax+64+uniform,ok,direct,arithmetic,policy
sample,1,1,1,1000000,100013600,100.0136
sample,1,1,2,1000000,97062730,97.06273
sample,1,1,3,1000000,101730751,101.730751
sample,1,1,4,1000000,113602233,113.602233
sample,1,1,5,1000000,103699653,103.699653
case,2,1,iamax+128+uniform,ok,direct,arithmetic,policy
sample,2,1,1,1000000,167766157,167.766157
sample,2,1,2,1000000,170005152,170.005152
sample,2,1,3,1000000,182301473,182.301473
sample,2,1,4,1000000,182200148,182.200148
sample,2,1,5,1000000,165949365,165.949365
case,3,1,iamax+256+uniform,ok,direct,arithmetic,policy
sample,3,1,1,629452,199643926,317.17100906820536
sample,3,1,2,629452,218755196,347.5327681856599
sample,3,1,3,629452,216653700,344.19415618665124
sample,3,1,4,629452,202750810,322.10686438362256
sample,3,1,5,629452,212112125,336.9790309666186
case,4,1,iamax+512+uniform,ok,direct,arithmetic,policy
sample,4,1,1,259247,178956627,690.2939166123426
sample,4,1,2,259247,175179194,675.7231289079526
sample,4,1,3,259247,162331288,626.1645766392668
sample,4,1,4,259247,146863245,566.4993037527918
sample,4,1,5,259247,151447674,584.1829375074735
case,5,1,iamax+1024+uniform,ok,direct,arithmetic,policy
sample,5,1,1,181772,209035765,1149.9888046563826
sample,5,1,2,181772,200923797,1105.361645357921
sample,5,1,3,181772,201121401,1106.448743480844
sample,5,1,4,181772,200732542,1104.3094756068042
sample,5,1,5,181772,200283962,1101.8416587813304
case,6,1,iamax+4096+uniform,ok,direct,arithmetic,policy
sample,6,1,1,46384,199745497,4306.344795619179
sample,6,1,2,46384,207082868,4464.532338737496
sample,6,1,3,46384,200802376,4329.130217316316
sample,6,1,4,46384,197707172,4262.400224215246
sample,6,1,5,46384,200748568,4327.9701621248705
case,7,1,iamax+65536+uniform,ok,direct,arithmetic,policy
sample,7,1,1,3006,199090270,66230.9614105123
sample,7,1,2,3006,198378447,65994.16067864271
sample,7,1,3,3006,197800025,65801.7381902861
sample,7,1,4,3006,198430529,66011.48669328011
sample,7,1,5,3006,198138411,65914.30838323354
